,condition,sample_num,cell_a,cell_b,edge_angle_rad,mean_intensity,mean_int_minus_bkgd,mean_int_no_verts,mean_int_no_verts_minus_bkgd
0,fat2N1032,05,11,8,1.4089588955564736,6.583086053412463,0.4223466543074128,5.509859154929577,-0.6508802441754726
1,fat2N1032,05,12,11,1.2409596952686812,7.173745173745174,1.0130057746401242,4.830626450116009,-1.3301129489890409
2,fat2N1032,05,16,12,1.2815253211857547,4.901006711409396,-1.2597326876956538,5.262172284644195,-0.8985671144608549
3,fat2N1032,05,16,13,1.3156139361740782,7.404724409448819,1.2439850103437688,5.169329073482428,-0.9914103256226214
4,fat2N1032,05,19,8,0.4726971357145894,7.950746268656716,1.7900068695516662,6.678362573099415,0.5176231739943651
5,fat2N1032,05,21,8,0.4524748895620667,6.6297640653357535,0.4690246662307036,5.182242990654205,-0.9784964084508445
6,fat2N1032,05,21,11,0.38752380578027884,10.794943820224718,4.6342044211196685,9.48137535816619,3.32063595906114
7,fat2N1032,05,21,19,1.389869866040775,7.81391304347826,1.6531736443732106,7.065843621399177,0.9051042222941268
8,fat2N1032,05,22,19,1.2044019160456563,14.627760252365931,8.46702085326088,10.358803986710964,4.198064587605914
9,fat2N1032,05,22,20,1.192828015298623,16.226277372262775,10.065537973157724,12.811501597444089,6.650762198339039
10,fat2N1032,05,24,12,0.4923135895650864,7.968862275449101,1.8081228763440516,6.254,0.0932606008949497
11,fat2N1032,05,24,21,1.1819369220030453,10.950738916256158,4.7899995171511085,9.435045317220544,3.274305918115494
12,fat2N1032,05,25,13,0.3571340105207935,11.663983903420522,5.5032445043154725,12.150537634408602,5.989798235303552
13,fat2N1032,05,25,16,0.8076167287241671,8.147619047619047,1.9868796485139972,7.061264822134388,0.9005254230293378
14,fat2N1032,05,26,12,0.27716070733358933,5.62716049382716,-0.5335789052778894,4.093360995850622,-2.067378403254428
15,fat2N1032,05,26,16,0.9765826229944627,13.569767441860465,7.409028042755415,17.896296296296295,11.735556897191245
16,fat2N1032,05,26,24,1.4536875822280322,9.856175972927241,3.6954365738221915,6.595330739299611,0.4345913401945607
17,fat2N1032,05,28,20,1.0358412530088001,10.363746958637469,4.203007559532419,10.080578512396695,3.919839113291645
18,fat2N1032,05,29,13,0.47689186766553515,7.956603773584906,1.795864374479856,6.208333333333333,0.047593934228283175
19,fat2N1032,05,29,25,1.2512055962536608,11.561052631578947,5.400313232473898,12.195758564437194,6.035019165332144
20,fat2N1032,05,29,27,1.4177473181651183,8.577049180327869,2.416309781222819,8.004484304932735,1.843744905827685
21,fat2N1032,05,31,19,0.06912048084718236,7.498831775700935,1.3380923765958848,6.084942084942085,-0.07579731416296465
22,fat2N1032,05,31,21,1.0652152719206915,7.9737417943107225,1.8130023952056726,5.808333333333334,-0.3524060657717163
23,fat2N1032,05,31,22,1.1071487177940904,7.534267912772585,1.3735285136675355,5.669934640522876,-0.49080475858217376
24,fat2N1032,05,33,16,0.1920480172407301,7.80859375,1.6478543508949501,4.167539267015707,-1.9932001320893429
25,fat2N1032,05,33,25,1.409704422257316,7.082437275985663,0.9216978768806134,6.3,0.13926060089494996
26,fat2N1032,05,33,26,0.9756168129799074,8.56845965770171,2.407720258596661,7.209016393442623,1.0482769943375727
27,fat2N1032,05,34,27,1.134169166981355,7.534579439252337,1.3738400401472868,7.37465564738292,1.2139162482778705
28,fat2N1032,05,35,20,0.20963984587421258,22.392265193370164,16.231525794265114,14.481481481481481,8.32074208237643
29,fat2N1032,05,35,22,0.5006677248747361,16.235436893203882,10.074697494098832,12.366108786610878,6.2053693875058284
30,fat2N1032,05,35,28,0.9760370693115439,10.993355481727574,4.832616082622525,9.4,3.2392606008949505
31,fat2N1032,05,37,21,0.13188308319837283,7.648367952522255,1.4876285534172053,5.791907514450867,-0.36883188465418293
32,fat2N1032,05,37,24,0.7086262721276703,12.102150537634408,5.941411138529358,10.034782608695652,3.874043209590602
33,fat2N1032,05,37,31,1.1479424006619559,8.275167785234899,2.114428386129849,8.009685230024212,1.8489458309191624
34,fat2N1032,05,38,37,0.6448221119878905,11.972142170989434,5.811402771884384,11.547222222222222,5.386482823117173
35,fat2N1032,05,38,24,0.53303411017749,12.464935064935064,6.304195665830014,9.153318077803204,2.9925786786981545
36,fat2N1032,05,38,26,1.0244363023459175,14.442211055276381,8.28147165617133,10.837944664031621,4.677205264926571
37,fat2N1032,05,39,28,0.8124186125847132,12.467902995720399,6.307163596615349,8.919220055710307,2.758480656605257
38,fat2N1032,05,40,35,1.2411719193741537,11.250883392226148,5.0901439931210986,11.623376623376624,5.462637224271574
39,fat2N1032,05,40,22,0.2573237149710885,8.056338028169014,1.8955986290639641,5.50561797752809,-0.6551214215769603
40,fat2N1032,05,40,31,0.8253768505207384,6.615714285714286,0.4549748866092358,6.890756302521009,0.7300169034159589
41,fat2N1032,05,42,33,0.5933501461567179,6.667638483965015,0.506899084859965,6.671428571428572,0.5106891723235218
42,fat2N1032,05,42,25,0.4773453823736719,14.108225108225108,7.947485709120058,7.0390625,0.8783231008949501
43,fat2N1032,05,43,33,0.7188299996216245,8.5446735395189,2.3839341404138503,8.371428571428572,2.210689172323522
44,fat2N1032,05,43,38,1.4497691069856915,21.339015151515152,15.178275752410102,16.586734693877553,10.425995294772502
45,fat2N1032,05,43,42,1.4827889532671557,9.66597510373444,3.5052357046293894,6.443037974683544,0.28229857557849414
46,fat2N1032,05,43,26,0.31290122788038444,13.672654690618762,7.511915291513712,8.93167701863354,2.77093761952849
47,fat2N1032,05,44,34,1.2120256565243244,4.569230769230769,-1.5915086298742809,5.469387755102041,-0.6913516440030092
48,fat2N1032,05,45,42,1.4405848838305002,15.815699658703071,9.65496025959802,8.622047244094489,2.461307844989439
49,fat2N1032,05,45,25,0.11979402275275541,12.042234332425068,5.881494933320018,8.881773399014778,2.7210339999097277
50,fat2N1032,05,45,29,0.9936041129214357,6.093841642228739,-0.06689775687631094,4.841954022988506,-1.3187853761165442
51,fat2N1032,05,46,35,0.8198672643969563,12.798679867986799,6.637940468881749,13.843243243243244,7.682503844138194
52,fat2N1032,05,46,39,0.9783689733630179,15.780269058295964,9.619529659190913,10.722222222222221,4.561482823117172
53,fat2N1032,05,46,28,0.30587887140485215,12.904694167852062,6.743954768747012,10.258741258741258,4.098001859636208
54,fat2N1032,05,47,44,1.423717971406494,6.7727272727272725,0.6119878736222226,5.440886699507389,-0.7198526995976611
55,fat2N1032,05,48,37,0.6043055068662296,9.254703328509407,3.0939639294043575,9.902298850574713,3.741559451469663
56,fat2N1032,05,48,38,1.4219063791853992,6.699386503067485,0.5386471039624352,5.666666666666667,-0.4940727324383829
57,fat2N1032,05,48,40,1.388628016322133,3.7386363636363638,-2.422103035468686,2.704761904761905,-3.455977494343145
58,fat2N1032,05,48,31,0.2040179795925483,5.933774834437086,-0.22696456466796366,6.984962406015038,0.8242230069099881
59,fat2N1032,05,49,34,0.9025069079643125,6.549180327868853,0.3884409287638029,8.266666666666667,2.1059272675616176
60,fat2N1032,05,49,45,1.307801595113977,5.872817955112219,-0.2879214439928308,4.03125,-2.12948939910505
61,fat2N1032,05,49,27,0.22581168154335537,5.539622641509434,-0.6211167575956162,5.515,-0.6457393991050502
62,fat2N1032,05,49,29,0.3700589960377174,5.998780487804878,-0.1619589113001716,6.4471544715447155,0.2864150724396657
63,fat2N1032,05,50,34,0.3366748193867273,7.809178743961352,1.6484393448563024,9.146534653465347,2.985795254360297
64,fat2N1032,05,50,44,0.8341400147073799,5.405511811023622,-0.7552275880814276,6.096018735362998,-0.06472066374205188
65,fat2N1032,05,50,49,1.4711276743037345,6.408970976253298,0.24823157714824795,5.12,-1.0407393991050498
66,fat2N1032,05,51,35,0.01694752980640457,12.357598978288634,6.196859579183584,13.55939524838013,7.398655849275079
67,fat2N1032,05,51,40,1.1410340476982082,12.294366197183098,6.133626798078049,15.008086253369273,8.847346854264224
68,fat2N1032,05,51,46,1.2606282660069106,10.393414211438476,4.232674812333426,9.021008403361344,2.8602690042562946
69,fat2N1032,05,54,39,0.3138351524279086,10.867167919799499,4.706428520694449,9.168085106382978,3.0073457072779286
70,fat2N1032,05,54,46,1.171575557219644,13.098765432098766,6.938026032993716,9.99367088607595,3.8329314869709004
71,fat2N1032,05,55,38,0.9369367925086158,14.011099899091827,7.850360499986777,11.936842105263159,5.776102706158109
72,fat2N1032,05,55,43,0.5295895987820763,14.171779141104295,8.011039741999245,9.835483870967742,3.6747444718626925
73,fat2N1032,05,56,42,0.4862426330875049,9.392539964476022,3.231800565370972,7.25764192139738,1.0969025222923303
74,fat2N1032,05,56,45,0.6556956262415362,9.034172661870503,2.8734332627654533,6.534562211981567,0.37382281287651686
75,fat2N1032,05,57,42,0.6823165548747481,15.62037037037037,9.45963097126532,10.333333333333334,4.172593934228284
76,fat2N1032,05,57,43,0.35031421223540216,9.4425,3.281760600894951,6.972222222222222,0.8114828231171725
77,fat2N1032,05,57,55,1.1591249833630017,8.420731707317072,2.2599923082120226,7.940184049079755,1.779444649974705
78,fat2N1032,05,58,40,0.4973427163468225,5.726950354609929,-0.43378904449512046,5.293838862559242,-0.866900536545808
79,fat2N1032,05,58,48,0.7168036599431737,7.6552845528455284,1.4945451537404786,7.241007194244604,1.0802677951395543
80,fat2N1032,05,59,44,0.345002177207105,4.781316348195329,-1.379423050909721,3.863013698630137,-2.297725700474913
81,fat2N1032,05,59,47,0.45066132608063364,6.880081300813008,0.7193419017079581,7.940397350993377,1.7796579518883275
82,fat2N1032,05,59,50,1.1824776086224305,6.618131868131868,0.45739246902681785,5.7,-0.4607393991050497
83,fat2N1032,05,60,59,1.2823667682765016,3.4748427672955975,-2.6858966318094524,3.0259740259740258,-3.134765373131024
84,fat2N1032,05,60,47,0.29953198906992284,5.0095238095238095,-1.1512155895812404,6.1257142857142854,-0.03502511339076442
85,fat2N1032,05,61,38,0.6927678353971222,8.138952164009112,1.978212764904062,7.877959927140255,1.717220528035205
86,fat2N1032,05,61,48,0.4928363969936007,9.588807785888077,3.4280683867830275,11.26751592356688,5.1067765244618295
87,fat2N1032,05,61,58,1.2698760924344714,9.110834371108345,2.9500949720032947,8.492374727668846,2.331635328563796
88,fat2N1032,05,62,42,0.0,12.28834355828221,6.127604159177159,11.5,5.33926060089495
