,condition,sample_num,mean_tissue,mean_edges,mean_interiors,mean_edges_minus_interiors
0,fat2,01,5.723823882760945,7.631670263636749,5.1879344388256525,2.443735824811096
1,fat2,02,7.177098540303618,9.988661510253113,6.1933637165174416,3.7952977937356716
2,fat2,03,6.0093367906447615,7.8841685121840035,5.4083981377027355,2.475770374481268
3,fat2,04,6.476418504276161,8.48569019626212,5.936529587261857,2.5491606090002623
4,fat2,05,7.370622050404216,9.260080835651673,6.6126909743175695,2.647389861334103
5,fat2,06,6.946778285929081,9.21439204237298,6.07462067099443,3.13977137137855
6,fat2,07,5.733526294807482,8.300684580995878,4.955387271006181,3.3452973099896965
7,fat2,08,5.07743817752205,6.735475277800359,4.522487491899168,2.2129877859011904
8,fat2,09,7.455716651419174,9.939347259369605,6.557964723085359,3.381382536284246
9,fat2,10,7.378925175922801,10.238370220532147,6.248628597475676,3.989741623056471
10,fat2,11,7.398649154104713,9.863750648722458,6.535154033488759,3.3285966152336997
11,fat2,12,6.664822044071408,9.018758639670239,5.756758337156685,3.2620003025135533
12,fat2,13,5.836270560407171,7.696568671656596,5.232207412707456,2.4643612589491406
13,fat2,14,5.45546918018981,7.6555731379421355,4.705168056758456,2.9504050811836793
14,fat2,15,4.636234698619376,5.948741299000367,4.072236934988557,1.8765043640118098
15,fat2,16,5.628954102898639,7.171640171039413,5.0272606332863505,2.1443795377530623
16,fat2,17,6.732771645675279,9.277952674779344,5.780043969010978,3.497908705768366
17,fat2,18,6.19037672307033,8.070914858696371,5.608687873830429,2.462226984865942
18,fat2,19,3.6641835734036396,4.583174132094081,3.377794073638719,1.2053800584553622
19,fat2,20,6.451501094366453,8.60720785013381,5.719893486947874,2.8873143631859355
20,wt,01,5.6844482841840955,9.557730411287901,4.211116036735184,5.346614374552717
21,wt,02,5.458539446378345,8.908936769123232,4.236385543323847,4.672551225799385
22,wt,03,5.011351249254669,8.331516271988255,3.5913908526430722,4.7401254193451825
23,wt,04,5.6979096494729005,9.613572305425976,4.20877399905928,5.404798306366696
24,wt,05,6.023075608768289,9.845917818256758,4.406980934099928,5.43893688415683
25,wt,06,5.744584363428184,9.266560605872288,4.393150429959424,4.873410175912864
26,wt,07,6.553526932625137,10.395725206029152,4.882358309115669,5.513366896913483
27,wt,08,6.776781794399461,10.727715806271569,4.983596899224806,5.744118907046762
28,wt,09,7.023013076952994,10.986842988521179,5.519573334334015,5.467269654187164
29,wt,10,7.3529939273775655,11.771011809473151,5.857431935842104,5.913579873631047
30,wt,11,6.461394655589656,10.111247841010472,5.019406601636556,5.091841239373917
31,wt,12,7.0266555014933685,10.89544929705768,5.3916226518421375,5.503826645215543
32,wt,13,7.456546481242662,11.362023216007534,5.882334337695793,5.479688878311741
33,wt,14,7.0943003921618155,11.258729335806178,5.1993161559333325,6.059413179872846
34,wt,15,7.579610762083864,11.72162651782217,5.965629048123074,5.755997469699095
35,wt,16,5.992293704661701,9.411500370838969,4.549529642528322,4.861970728310647
36,wt,17,7.070755175430071,11.054370308509501,5.645076192036703,5.409294116472798
37,wt,18,7.574269060550609,11.697198509077792,6.171563483131182,5.52563502594661
38,wt,19,6.953034331183225,10.416265559237038,5.514871886959742,4.901393672277296
