Distance_(microns),Value,X1,Y1,X2,Y2,X3,Y3
0.0000,11.5928,0.0000,8.3437,0.0000,1.7415,0.0000,4.3704
0.0689,11.7203,0.0689,7.2186,0.0689,2.0990,0.0689,3.2580
0.1378,9.5242,0.1378,6.6825,0.1378,2.7370,0.1378,2.7846
0.2067,6.6636,0.2067,5.6288,0.2067,2.8178,0.2067,3.4325
0.2756,5.3639,0.2756,4.6460,0.2756,2.0834,0.2756,2.4070
0.3445,4.4250,0.3445,3.8079,0.3445,2.5970,0.3445,2.0863
0.4134,4.5310,0.4134,2.7485,0.4134,1.9254,0.4134,1.9178
0.4823,3.9598,0.4823,2.5904,0.4823,1.3731,0.4823,2.4251
0.5512,3.2359,0.5512,2.8499,0.5512,1.2145,0.5512,3.9535
0.6201,1.9594,0.6201,3.2758,0.6201,1.4174,0.6201,2.6405
0.6889,1.9214,0.6889,2.6586,0.6889,1.5736,0.6889,2.5493
0.7578,1.7562,0.7578,2.5366,0.7578,1.4680,0.7578,2.9338
0.8267,1.9453,0.8267,2.6126,0.8267,1.7329,0.8267,2.8411
0.8956,1.4946,0.8956,2.7934,0.8956,1.7382,0.8956,2.9849
0.9645,2.0376,0.9645,2.6673,0.9645,1.8391,0.9645,3.8054
1.0334,1.7097,1.0334,3.2423,1.0334,2.2526,1.0334,3.1614
1.1023,2.0631,1.1023,3.7628,1.1023,2.3388,1.1023,2.6280
1.1712,1.4715,1.1712,2.9645,1.1712,2.1448,1.1712,2.5140
1.2401,2.5153,1.2401,2.4649,1.2401,1.4313,1.2401,2.0897
1.3090,2.5551,1.3090,3.6527,1.3090,1.7616,1.3090,2.9058
1.3779,2.1876,1.3779,3.4519,1.3779,1.9380,1.3779,3.2144
1.4468,2.5874,1.4468,3.9988,1.4468,2.4606,1.4468,2.9147
1.5157,2.5248,1.5157,2.7873,1.5157,2.9761,1.5157,3.3005
1.5846,1.4159,1.5846,2.9029,1.5846,3.2895,1.5846,3.7594
1.6535,1.7203,1.6535,2.1024,1.6535,3.1667,1.6535,2.5638
1.7224,2.2878,1.7224,1.5472,1.7224,3.0025,1.7224,1.9595
1.7913,1.8834,1.7913,1.4905,1.7913,3.4233,1.7913,1.2016
1.8602,1.7214,1.8602,1.7418,1.8602,2.4040,1.8602,1.1090
1.9290,1.5443,1.9290,2.1020,1.9290,2.7009,1.9290,1.2019
1.9979,1.3348,1.9979,2.3279,1.9979,1.8291,1.9979,1.4525
2.0668,1.5595,2.0668,2.8668,2.0668,2.1062,2.0668,1.8828
2.1357,1.7338,2.1357,3.1823,2.1357,2.2839,2.1357,1.4441
2.2046,1.6353,2.2046,3.3649,2.2046,2.2111,2.2046,1.6574
2.2735,1.3615,2.2735,3.3846,2.2735,2.2008,2.2735,1.7514
2.3424,1.5791,2.3424,4.0642,2.3424,2.9747,2.3424,1.7064
2.4113,1.9217,2.4113,4.7210,2.4113,4.6116,2.4113,2.1252
2.4802,1.9069,2.4802,4.6563,2.4802,5.1874,2.4802,2.7167
2.5491,2.2311,2.5491,7.0175,2.5491,5.7711,2.5491,1.9099
2.6180,2.4589,2.6180,6.1284,2.6180,5.5392,2.6180,2.8973
2.6869,2.6958,2.6869,6.1342,2.6869,4.3524,2.6869,3.2612
2.7558,2.0406,2.7558,4.8314,2.7558,3.0963,2.7558,4.3134
2.8247,3.7445,2.8247,3.1664,2.8247,2.4525,2.8247,3.5556
2.8936,4.9679,2.8936,2.0688,2.8936,3.0451,2.8936,3.3939
2.9625,4.3286,2.9625,1.3661,2.9625,2.0855,2.9625,3.2766
3.0314,4.1338,3.0314,1.1437,3.0314,1.7834,3.0314,3.1557
3.1003,2.9696,3.1003,1.0927,3.1003,2.4793,3.1003,2.8752
3.1691,2.8307,3.1691,1.7436,3.1691,2.8954,3.1691,2.4263
3.2380,3.6038,3.2380,1.6677,3.2380,3.6282,3.2380,2.8932
3.3069,3.6624,3.3069,1.7883,3.3069,4.7825,3.3069,3.3445
3.3758,3.2283,3.3758,1.9633,3.3758,5.5916,3.3758,3.1201
3.4447,3.3868,3.4447,1.6267,3.4447,5.1541,3.4447,2.6144
3.5136,3.6119,3.5136,1.7779,3.5136,5.1032,3.5136,2.2476
3.5825,3.8822,3.5825,1.2685,3.5825,4.5463,3.5825,2.4533
3.6514,3.5637,3.6514,1.0617,3.6514,3.8302,3.6514,2.4204
3.7203,3.1494,3.7203,0.9163,3.7203,3.6446,3.7203,2.9205
3.7892,4.2766,3.7892,2.0853,3.7892,3.3846,3.7892,2.5225
3.8581,6.0053,3.8581,2.8549,3.8581,4.2137,3.8581,2.3297
3.9270,10.0767,3.9270,4.7269,3.9270,4.4430,3.9270,3.2957
3.9959,15.3151,3.9959,6.8577,3.9959,7.0278,3.9959,3.0198
4.0648,15.8249,4.0648,6.8133,4.0648,8.5828,4.0648,2.6048
4.1337,16.3685,4.1337,7.6310,4.1337,10.6433,4.1337,2.0551
4.2026,14.6755,4.2026,6.2556,4.2026,10.3592,4.2026,2.0392
4.2715,12.7400,4.2715,5.6894,4.2715,9.4554,4.2715,1.8164
4.3404,10.5747,4.3404,4.6980,4.3404,9.2732,4.3404,1.3302
