Distance_(microns),Value,X1,Y1,X2,Y2
0.0000,4.0027,0.0000,3.4334,0.0000,2.6806
0.0689,6.4141,0.0689,3.7043,0.0689,3.5681
0.1378,6.4832,0.1378,3.3457,0.1378,4.2231
0.2067,6.4774,0.2067,3.1033,0.2067,4.1338
0.2756,7.3304,0.2756,3.7673,0.2756,3.5001
0.3445,7.0899,0.3445,3.1141,0.3445,2.8018
0.4134,7.3687,0.4134,2.7273,0.4134,2.7998
0.4823,4.9680,0.4823,2.9794,0.4823,2.0962
0.5512,4.4206,0.5512,2.1730,0.5512,1.6607
0.6201,3.9811,0.6201,2.1973,0.6201,2.5021
0.6889,3.7694,0.6889,2.5329,0.6889,2.4557
0.7578,3.1746,0.7578,1.7921,0.7578,2.8025
0.8267,2.9718,0.8267,1.9469,0.8267,2.7518
0.8956,2.5379,0.8956,1.7168,0.8956,1.7318
0.9645,2.4796,0.9645,1.4320,0.9645,2.0320
1.0334,2.0417,1.0334,1.4888,1.0334,2.1817
1.1023,2.6490,1.1023,0.9200,1.1023,2.6983
1.1712,2.8557,1.1712,0.9823,1.1712,3.0907
1.2401,4.3004,1.2401,1.3884,1.2401,2.9497
1.3090,5.5393,1.3090,1.5874,1.3090,1.5267
1.3779,6.2414,1.3779,1.1161,1.3779,1.5546
1.4468,7.4553,1.4468,1.2029,1.4468,1.8992
1.5157,8.0321,1.5157,1.5810,1.5157,1.7832
1.5846,6.2306,1.5846,1.3453,1.5846,1.8636
1.6535,5.5584,1.6535,1.2527,1.6535,1.6445
1.7224,3.4802,1.7224,2.1373,1.7224,2.1587
1.7913,2.5647,1.7913,2.8538,1.7913,1.6002
1.8602,1.9536,1.8602,2.5731,1.8602,2.4775
1.9290,2.4148,1.9290,3.2632,1.9290,3.8404
1.9979,2.7448,1.9979,3.7039,1.9979,4.0209
2.0668,2.2515,2.0668,3.6429,2.0668,5.5471
2.1357,2.8870,2.1357,3.6642,2.1357,6.9077
2.2046,3.5099,2.2046,3.8166,2.2046,8.5081
2.2735,4.1365,2.2735,2.9249,2.2735,9.4205
2.3424,3.9697,2.3424,2.2727,2.3424,9.8361
2.4113,3.3576,2.4113,2.0807,2.4113,8.4528
2.4802,2.9845,2.4802,1.6439,2.4802,7.8878
2.5491,3.5381,2.5491,1.7878,2.5491,6.0568
2.6180,3.3788,2.6180,2.2873,2.6180,5.5013
2.6869,3.3105,2.6869,2.0683,2.6869,4.9881
2.7558,3.2453,2.7558,3.3396,2.7558,3.4942
2.8247,2.8342,2.8247,3.9537,2.8247,2.5181
2.8936,2.3535,2.8936,4.1306,2.8936,2.3454
