Distance_(microns),Value,X1,Y1,X2,Y2
0.0000,21.5121,0.0000,15.0341,0.0000,13.0155
0.0689,18.1627,0.0689,15.8896,0.0689,16.6606
0.1378,15.6497,0.1378,18.1580,0.1378,17.5438
0.2067,15.5210,0.2067,16.1314,0.2067,17.6699
0.2756,16.1850,0.2756,20.8723,0.2756,14.2582
0.3445,12.5051,0.3445,19.9449,0.3445,11.3255
0.4134,12.6208,0.4134,21.1637,0.4134,14.4874
0.4823,10.7856,0.4823,28.3636,0.4823,15.7050
0.5512,10.6519,0.5512,31.0542,0.5512,10.4842
0.6201,10.6379,0.6201,30.6921,0.6201,8.5432
0.6889,12.4067,0.6889,29.3155,0.6889,8.2534
0.7578,12.7996,0.7578,27.0562,0.7578,8.1537
0.8267,14.0875,0.8267,25.6567,0.8267,8.7856
0.8956,10.5516,0.8956,23.6858,0.8956,10.3456
0.9645,8.9080,0.9645,18.7527,0.9645,7.6751
1.0334,8.8030,1.0334,17.0705,1.0334,6.6176
1.1023,9.2215,1.1023,11.9470,1.1023,5.5855
1.1712,9.3320,1.1712,13.9318,1.1712,7.1167
1.2401,10.7374,1.2401,12.0592,1.2401,6.8351
1.3090,10.4173,1.3090,10.4711,1.3090,8.9078
1.3779,7.8996,1.3779,12.3997,1.3779,7.3248
1.4468,8.9458,1.4468,12.2844,1.4468,9.9704
1.5157,8.9837,1.5157,13.3500,1.5157,11.6742
1.5846,10.3842,1.5846,16.0809,1.5846,11.7393
1.6535,10.1338,1.6535,16.9331,1.6535,14.1732
1.7224,12.5699,1.7224,18.0131,1.7224,11.5472
1.7913,15.1170,1.7913,17.9113,1.7913,12.8612
1.8602,12.7602,1.8602,14.6857,1.8602,13.7246
1.9290,13.2921,1.9290,14.5332,1.9290,18.5544
1.9979,13.4472,1.9979,15.6449,1.9979,19.4410
2.0668,14.7545,2.0668,15.2458,2.0668,19.8584
2.1357,19.0119,2.1357,16.3376,2.1357,17.9566
2.2046,14.7181,2.2046,20.4149,2.2046,16.7012
2.2735,13.6106,2.2735,24.0830,2.2735,17.7374
2.3424,12.4548,2.3424,23.6419,2.3424,19.7861
2.4113,12.8844,2.4113,22.1018,2.4113,17.4856
2.4802,13.2894,2.4802,23.7760,2.4802,13.1910
2.5491,13.3157,2.5491,20.5647,2.5491,11.0168
2.6180,10.4455,2.6180,17.8155,2.6180,9.5995
2.6869,9.1413,2.6869,20.2074,2.6869,9.3470
2.7558,8.1421,2.7558,18.0132,2.7558,8.6279
2.8247,6.7350,2.8247,17.7262,2.8247,10.0592
2.8936,7.6975,2.8936,16.5852,2.8936,8.4942
2.9625,6.3851,2.9625,18.7588,2.9625,7.7664
3.0314,6.1733,3.0314,16.5305,3.0314,7.7838
3.1003,4.9609,3.1003,17.0760,3.1003,8.4410
3.1691,4.6442,3.1691,16.9885,3.1691,11.8775
3.2380,5.9876,3.2380,15.8941,3.2380,12.1178
3.3069,5.1312,3.3069,17.2060,3.3069,11.1563
3.3758,5.6939,3.3758,18.4219,3.3758,11.3576
3.4447,5.3640,3.4447,19.3427,3.4447,14.7094
3.5136,6.3863,3.5136,19.9683,3.5136,15.5571
3.5825,7.2952,3.5825,19.2588,3.5825,13.5942
3.6514,8.6730,3.6514,19.4953,3.6514,16.2281
3.7203,10.9482,3.7203,17.6460,3.7203,16.6262
3.7892,12.6935,3.7892,20.1476,3.7892,18.2885
3.8581,13.0025,3.8581,20.3333,3.8581,24.4007
3.9270,12.4039,3.9270,20.6493,3.9270,23.3326
3.9959,14.3740,3.9959,20.7619,3.9959,21.9938
4.0648,18.5680,4.0648,20.1814,4.0648,19.2085
4.1337,20.6322,4.1337,18.9930,4.1337,16.3690
4.2026,26.0012,4.2026,21.5823,4.2026,15.2416
4.2715,30.0555,4.2715,24.6879,4.2715,12.7247
4.3404,16.9230,4.3404,23.7856,4.3404,11.1922
4.4092,12.7920,4.4092,22.0301,4.4092,10.5586
4.4781,11.1647,4.4781,19.1067,4.4781,12.6448
4.5470,8.7944,4.5470,13.9433,4.5470,14.4996
4.6159,9.2177,4.6159,9.6983,4.6159,13.5579
4.6848,8.9923,4.6848,7.3510,4.6848,12.0181
4.7537,9.5031,4.7537,6.4791,4.7537,12.0895
4.8226,9.7192,4.8226,5.4496,4.8226,11.6387
4.8915,8.4560,4.8915,4.9093,4.8915,10.4380
4.9604,10.9787,4.9604,4.4165,4.9604,10.1099
5.0293,10.6271,5.0293,4.9339,5.0293,11.0183
5.0982,12.9650,5.0982,3.8247,5.0982,12.2129
5.1671,17.3138,5.1671,5.2087,5.1671,13.6224
5.2360,19.4051,5.2360,5.5033,5.2360,10.4674
5.3049,20.4069,5.3049,4.9316,5.3049,11.6425
5.3738,27.4360,5.3738,5.4024,5.3738,10.7808
5.4427,30.0646,5.4427,4.8647,5.4427,8.6611
5.5116,28.3245,5.5116,3.4691,5.5116,6.4283
5.5805,24.8470,5.5805,5.5983,5.5805,4.8852
5.6493,22.9354,5.6493,4.8652,5.6493,3.3800
5.7182,17.6984,5.7182,5.7665,5.7182,6.1551
5.7871,19.7398,5.7871,7.8618,5.7871,6.8566
5.8560,22.4760,5.8560,9.3090,5.8560,8.4977
5.9249,23.9710,5.9249,10.0032,5.9249,9.5943
5.9938,29.0455,5.9938,8.1928,5.9938,12.1898
6.0627,28.7941,6.0627,8.4350,6.0627,11.6986
6.1316,25.9955,6.1316,9.6275,6.1316,9.4964
6.2005,22.6712,6.2005,7.3527,6.2005,9.2431
6.2694,17.5762,6.2694,6.2590,6.2694,8.6333
6.3383,15.3037,6.3383,6.4827,6.3383,8.7083
6.4072,13.2207,6.4072,7.2959,6.4072,10.6831
6.4761,13.6162,6.4761,5.6399,6.4761,10.7761
6.5450,17.6224,6.5450,4.1012,6.5450,7.6748
6.6139,17.5195,6.6139,6.1722,6.6139,4.5327
6.6828,17.7180,6.6828,4.9254,6.6828,5.1387
