Distance_(microns),Value,X1,Y1,X2,Y2,X3,Y3
0.0000,29.0989,0.0000,12.1859,0.0000,26.6360,0.0000,11.5120
0.0689,27.3069,0.0689,14.5043,0.0689,28.4938,0.0689,13.7465
0.1378,27.2560,0.1378,12.1617,0.1378,32.3743,0.1378,13.4452
0.2067,25.6829,0.2067,11.4684,0.2067,31.0930,0.2067,12.1376
0.2756,25.9627,0.2756,12.9731,0.2756,28.2923,0.2756,12.8556
0.3445,24.0413,0.3445,17.7585,0.3445,27.6415,0.3445,16.2871
0.4134,23.6743,0.4134,17.7822,0.4134,24.6921,0.4134,14.8982
0.4823,26.3339,0.4823,15.2279,0.4823,27.8103,0.4823,13.4701
0.5512,25.5803,0.5512,13.3264,0.5512,24.8281,0.5512,13.1785
0.6201,23.7741,0.6201,11.1820,0.6201,24.8973,0.6201,14.1676
0.6889,22.8525,0.6889,10.3634,0.6889,20.9559,0.6889,12.7589
0.7578,21.1904,0.7578,8.9966,0.7578,19.3289,0.7578,12.8846
0.8267,25.5853,0.8267,11.6059,0.8267,17.5128,0.8267,12.9847
0.8956,27.2983,0.8956,9.6570,0.8956,17.8596,0.8956,11.5922
0.9645,26.6703,0.9645,8.8763,0.9645,14.2388,0.9645,12.3045
1.0334,24.5679,1.0334,9.0736,1.0334,14.0049,1.0334,13.6568
1.1023,23.9589,1.1023,8.9909,1.1023,13.4522,1.1023,8.8715
1.1712,21.5317,1.1712,9.2131,1.1712,10.9806,1.1712,8.4896
1.2401,19.6138,1.2401,11.9995,1.2401,10.4620,1.2401,7.6768
1.3090,15.0771,1.3090,13.9137,1.3090,12.0287,1.3090,8.6200
1.3779,13.6335,1.3779,14.9340,1.3779,11.0547,1.3779,10.0046
1.4468,14.6955,1.4468,13.7297,1.4468,13.1095,1.4468,11.1452
1.5157,16.5032,1.5157,13.5941,1.5157,11.6683,1.5157,12.2692
1.5846,14.4199,1.5846,13.4803,1.5846,13.0149,1.5846,12.5840
1.6535,11.7351,1.6535,13.4077,1.6535,11.4439,1.6535,11.7016
1.7224,11.4271,1.7224,10.8107,1.7224,10.6578,1.7224,8.9356
1.7913,11.7800,1.7913,9.6661,1.7913,8.3613,1.7913,7.1512
1.8602,10.7746,1.8602,10.6107,1.8602,9.8253,1.8602,6.1596
1.9290,12.0430,1.9290,10.0587,1.9290,9.8304,1.9290,7.3287
1.9979,12.8992,1.9979,10.4335,1.9979,10.2525,1.9979,6.2485
2.0668,13.9388,2.0668,10.9051,2.0668,9.6349,2.0668,6.4823
2.1357,17.1742,2.1357,10.6561,2.1357,9.3780,2.1357,8.0428
2.2046,18.4552,2.2046,11.9545,2.2046,10.2066,2.2046,10.6880
2.2735,15.9098,2.2735,12.8445,2.2735,10.3820,2.2735,9.4504
2.3424,16.1839,2.3424,13.9144,2.3424,10.9644,2.3424,12.5976
2.4113,15.1203,2.4113,12.4480,2.4113,10.5324,2.4113,13.8722
2.4802,11.7778,2.4802,11.4566,2.4802,11.9701,2.4802,12.9285
2.5491,13.8876,2.5491,9.0491,2.5491,18.1788,2.5491,10.7236
2.6180,15.3757,2.6180,8.8714,2.6180,19.0937,2.6180,13.5559
2.6869,14.7855,2.6869,10.1321,2.6869,13.9062,2.6869,16.1589
2.7558,15.3861,2.7558,11.4736,2.7558,12.9114,2.7558,16.3650
2.8247,21.4739,2.8247,11.9589,2.8247,13.4787,2.8247,17.0930
2.8936,21.2559,2.8936,10.9247,2.8936,11.6719,2.8936,18.0459
2.9625,19.6361,2.9625,14.0894,2.9625,15.7038,2.9625,16.4100
3.0314,18.7987,3.0314,19.9247,3.0314,17.3478,3.0314,14.2719
3.1003,14.1465,3.1003,14.6217,3.1003,17.2893,3.1003,14.5728
3.1691,12.9971,3.1691,16.1882,3.1691,19.2430,3.1691,13.9984
3.2380,15.7684,3.2380,17.3842,3.2380,18.6546,3.2380,11.2062
3.3069,15.2673,3.3069,19.9174,3.3069,17.3853,3.3069,11.1180
3.3758,14.7586,3.3758,20.2370,3.3758,20.2634,3.3758,8.7015
3.4447,13.9051,3.4447,16.4605,3.4447,20.4294,3.4447,6.0491
3.5136,15.3777,3.5136,16.7639,3.5136,20.9170,3.5136,6.3021
3.5825,15.8844,3.5825,15.5894,3.5825,20.7415,3.5825,5.6157
3.6514,15.0034,3.6514,18.9022,3.6514,22.0681,3.6514,5.4116
3.7203,13.1099,3.7203,17.2184,3.7203,20.6944,3.7203,7.2841
3.7892,12.3851,3.7892,17.0353,3.7892,15.7151,3.7892,6.3466
3.8581,13.9058,3.8581,19.8418,3.8581,17.0419,3.8581,6.9019
3.9270,12.0729,3.9270,20.2789,3.9270,15.9445,3.9270,8.3329
3.9959,11.8355,3.9959,19.2354,3.9959,15.7080,3.9959,7.9176
4.0648,9.2655,4.0648,20.0199,4.0648,13.1719,4.0648,9.2498
4.1337,7.3924,4.1337,20.1985,4.1337,13.7284,4.1337,9.0140
4.2026,7.9256,4.2026,26.4092,4.2026,11.7871,4.2026,8.0118
4.2715,7.1541,4.2715,25.4635,4.2715,11.2300,4.2715,9.5745
4.3404,9.3809,4.3404,26.5419,4.3404,12.8678,4.3404,9.8140
4.4092,12.0954,4.4092,24.0530,4.4092,12.3164,4.4092,8.4047
4.4781,11.9577,4.4781,23.8168,4.4781,14.1469,4.4781,8.9440
4.5470,10.9861,4.5470,19.3424,4.5470,12.6716,4.5470,9.9163
4.6159,13.0886,4.6159,17.0575,4.6159,14.8943,4.6159,6.3894
4.6848,14.3111,4.6848,19.6894,4.6848,13.4864,4.6848,4.7426
4.7537,13.7107,4.7537,19.0777,4.7537,12.2647,4.7537,5.3594
4.8226,13.5052,4.8226,21.5842,4.8226,12.7159,4.8226,6.6564
4.8915,14.7445,4.8915,28.1018,4.8915,13.9184,4.8915,7.3133
4.9604,11.3619,4.9604,25.6699,4.9604,16.3644,4.9604,7.7951
5.0293,8.8908,5.0293,21.9352,5.0293,18.7480,5.0293,6.3791
5.0982,10.3312,5.0982,24.6377,5.0982,18.1540,5.0982,9.3744
5.1671,10.9656,5.1671,22.4163,5.1671,16.0375,5.1671,9.7664
5.2360,8.7689,5.2360,22.4314,5.2360,18.3645,5.2360,9.1935
5.3049,7.6410,5.3049,19.7916,5.3049,15.1835,5.3049,9.4761
5.3738,7.0832,5.3738,15.5586,5.3738,13.7858,5.3738,8.4233
5.4427,6.4582,5.4427,12.8419,5.4427,14.5327,5.4427,7.8368
5.5116,6.4461,5.5116,12.7162,5.5116,18.7885,5.5116,9.0811
5.5805,5.8608,5.5805,11.8085,5.5805,17.5566,5.5805,10.1573
5.6493,4.8520,5.6493,10.4705,5.6493,17.0149,5.6493,12.4362
5.7182,3.9767,5.7182,12.2991,5.7182,18.5170,5.7182,16.7809
5.7871,4.3914,5.7871,11.2238,5.7871,17.0318,5.7871,16.5808
5.8560,4.0396,5.8560,8.7760,5.8560,14.8660,5.8560,12.4115
5.9249,5.6690,5.9249,9.5328,5.9249,16.9366,5.9249,11.4461
5.9938,6.6260,5.9938,8.6635,5.9938,19.9208,5.9938,10.2103
6.0627,6.1918,6.0627,7.8723,6.0627,19.6079,6.0627,8.8615
6.1316,6.6842,6.1316,6.8572,6.1316,17.4729,6.1316,10.4052
6.2005,10.9183,6.2005,7.9610,6.2005,17.7565,6.2005,11.8520
6.2694,12.9637,6.2694,8.8441,6.2694,19.1280,6.2694,11.5654
6.3383,13.9768,6.3383,6.5475,6.3383,23.4020,6.3383,10.3711
6.4072,13.5075,6.4072,6.4943,6.4072,25.8289,6.4072,12.3100
6.4761,12.8535,6.4761,8.1133,6.4761,27.9122,6.4761,12.6432
6.5450,11.2206,6.5450,6.9706,6.5450,28.1069,6.5450,11.9817
6.6139,9.8078,6.6139,7.2026,6.6139,33.1745,6.6139,11.1008
6.6828,8.5689,6.6828,6.6937,6.6828,37.1589,6.6828,9.5673
6.7517,7.2220,6.7517,5.9750,6.7517,33.5349,6.7517,10.5357
6.8206,6.3056,6.8206,5.6096,6.8206,32.8075,6.8206,12.4163
6.8894,7.0929,6.8894,5.6609,6.8894,34.4483,6.8894,10.0765
6.9583,8.7307,6.9583,4.0765,6.9583,37.3587,6.9583,11.3443
7.0272,9.9125,7.0272,6.1070,7.0272,32.7962,7.0272,9.6969
7.0961,9.8946,7.0961,8.1002,7.0961,28.6380,7.0961,10.1190
7.1650,10.7223,7.1650,8.1227,7.1650,23.7884,7.1650,9.0607
7.2339,11.8802,7.2339,6.7477,7.2339,20.7623,7.2339,10.8004
7.3028,11.0875,7.3028,6.1840,7.3028,17.1565,7.3028,10.0489
7.3717,12.9050,7.3717,7.3626,7.3717,15.0082,7.3717,10.6069
7.4406,15.0930,7.4406,9.5316,7.4406,16.3289,7.4406,11.4073
7.5095,14.6820,7.5095,12.7509,7.5095,17.7136,7.5095,11.0470
7.5784,16.7013,7.5784,13.4130,7.5784,15.9770,7.5784,10.7077
7.6473,19.1005,7.6473,13.9251,7.6473,15.8789,7.6473,11.0188
7.7162,19.3463,7.7162,13.8362,7.7162,15.6529,7.7162,15.1985
7.7851,15.5579,7.7851,10.7401,7.7851,14.4669,7.7851,17.9693
7.8540,14.8446,7.8540,9.0650,7.8540,14.3313,7.8540,15.0587
7.9229,10.9472,7.9229,10.6263,7.9229,15.8885,7.9229,11.8677
7.9918,13.4888,7.9918,12.9268,7.9918,13.5456,7.9918,11.7220
8.0607,13.5463,8.0607,11.4737,8.0607,14.2373,8.0607,11.5318
8.1296,11.8323,8.1296,15.0416,8.1296,18.3327,8.1296,9.1804
8.1984,11.8573,8.1984,15.3663,8.1984,16.6108,8.1984,7.4252
8.2673,10.3128,8.2673,11.9929,8.2673,14.6153,8.2673,8.9584
8.3362,11.2042,8.3362,11.5273,8.3362,18.2113,8.3362,8.5753
8.4051,9.0598,8.4051,10.1244,8.4051,22.0201,8.4051,8.5847
8.4740,8.2024,8.4740,13.9276,8.4740,18.0372,8.4740,9.6268
