,position (um),Ecad intensity,Abi intensity
0,0.0,16.8954,1.7525
1,0.0689,17.1438,2.2787
2,0.1378,18.6598,2.6421
3,0.2067,21.9719,2.8207
4,0.2756,18.7879,3.1597
5,0.3445,20.7187,2.3825
6,0.4134,18.1345,3.1701
7,0.4823,17.6491,3.6957
8,0.5512,15.2623,3.2244
9,0.6201,14.8926,3.9369
10,0.6889,14.0745,4.1053
11,0.7578,16.3851,3.6487
12,0.8267,16.3972,4.7208
13,0.8956,17.7839,6.2222
14,0.9645,17.9643,5.3128
15,1.0334,18.7357,4.3527
16,1.1023,20.423,3.4323
17,1.1712,18.172,3.1346
18,1.2401,17.1354,3.5624
19,1.309,17.1686,3.3241
20,1.3779,15.346,2.993
21,1.4468,13.902,2.7098
22,1.5157,12.5786,3.191
23,1.5846,14.9921,4.4678
24,1.6535,14.5727,4.6649
25,1.7224,12.2507,5.847
26,1.7913,10.2038,5.6545
27,1.8602,10.8783,4.5523
28,1.929,9.5592,3.6673
29,1.9979,8.3524,2.2349
30,2.0668,8.1922,1.9126
31,2.1357,11.233,2.439
32,2.2046,11.7567,1.9498
33,2.2735,15.6656,1.6685
34,2.3424,14.4367,1.6245
35,2.4113,12.6872,1.6624
36,2.4802,12.8246,1.9145
37,2.5491,10.4208,1.4766
38,2.618,7.5194,1.9736
39,2.6869,8.0173,2.3845
40,2.7558,7.1368,2.8561
41,2.8247,7.0766,2.2749
42,2.8936,9.3062,1.9292
43,2.9625,8.9154,1.8322
44,3.0314,8.9366,1.9256
45,3.1003,9.9839,2.6215
46,3.1691,11.6859,2.3533
47,3.238,11.9772,2.1397
48,3.3069,12.4975,2.34
49,3.3758,14.8517,2.1767
50,3.4447,14.5682,2.0171
51,3.5136,13.2224,2.1952
52,3.5825,12.3816,1.7188
53,3.6514,12.4443,1.5458
54,3.7203,16.8043,1.6829
55,3.7892,20.3716,2.0178
56,3.8581,16.5076,2.8672
57,3.927,14.6387,2.4187
58,3.9959,10.169,2.4852
59,4.0648,11.5993,2.3474
60,4.1337,10.8013,2.4474
61,4.2026,10.9925,2.5965
62,4.2715,13.4818,2.9918
63,4.3404,13.9381,3.2316
64,4.4092,16.6914,2.5872
65,4.4781,19.4155,3.8194
66,4.547,19.2056,4.6527
67,4.6159,17.8888,6.5466
68,4.6848,16.4085,7.5527
69,4.7537,16.2058,6.3715
70,4.8226,15.0757,5.3319
71,4.8915,13.874,3.0033
72,4.9604,14.6988,2.4252
73,5.0293,15.5911,2.0087
74,5.0982,12.9094,1.5482
75,5.1671,9.4286,1.5273
76,5.236,8.96,1.0017
77,5.3049,7.8474,0.836
78,5.3738,8.3157,0.9657
79,5.4427,10.1246,1.2687
80,5.5116,9.7082,0.7986
81,5.5805,8.2215,0.9119
82,5.6493,8.8586,1.2094
83,5.7182,8.4086,1.5622
84,5.7871,8.3143,1.6584
85,5.856,7.6847,1.636
86,5.9249,8.9907,1.7981
87,5.9938,9.9349,1.8918
