Distance_(microns),Value,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5
0.0000,4.9189,0.0000,6.14464,0.0000,5.54812,0.0000,13.5887,0.0000,6.7218,0.0000,6.3481
0.0689,7.0565,0.0689,4.55991,0.0689,5.50894,0.0689,15.7114,0.0689,6.7594,0.0689,9.9663
0.1378,7.8693,0.1378,4.86935,0.1378,4.79247,0.1378,12.4621,0.1378,7.2285,0.1378,10.1638
0.2067,9.4559,0.2067,3.13924,0.2067,3.97247,0.2067,10.2014,0.2067,6.2893,0.2067,10.1647
0.2756,8.0276,0.2756,2.45310,0.2756,3.34292,0.2756,8.3112,0.2756,5.5211,0.2756,9.2033
0.3445,6.0090,0.3445,1.83578,0.3445,2.54373,0.3445,6.1655,0.3445,5.5563,0.3445,8.3480
0.4134,3.1823,0.4134,1.86165,0.4134,1.83193,0.4134,4.3782,0.4134,4.9384,0.4134,8.2338
0.4823,2.1533,0.4823,2.13322,0.4823,1.95206,0.4823,2.7379,0.4823,4.2179,0.4823,7.1662
0.5512,1.5014,0.5512,1.14335,0.5512,2.45269,0.5512,2.7171,0.5512,4.0172,0.5512,5.5207
0.6201,1.4497,0.6201,0.44003,0.6201,2.59577,0.6201,3.0311,0.6201,2.9720,0.6201,4.7302
0.6889,1.7732,0.6889,1.27217,0.6889,2.63905,0.6889,2.6186,0.6889,3.0701,0.6889,2.8704
0.7578,1.9430,0.7578,1.50781,0.7578,2.15790,0.7578,2.8331,0.7578,3.3840,0.7578,2.3503
0.8267,1.5036,0.8267,2.08110,0.8267,1.93427,0.8267,3.5445,0.8267,2.2319,0.8267,2.4143
0.8956,1.9350,0.8956,2.35041,0.8956,1.52450,0.8956,3.6462,0.8956,2.9465,0.8956,2.3845
0.9645,3.0262,0.9645,1.95590,0.9645,1.74188,0.9645,3.3864,0.9645,3.5062,0.9645,2.1412
1.0334,2.5587,1.0334,1.47756,1.0334,1.53406,1.0334,3.0017,1.0334,3.2322,1.0334,2.5057
1.1023,1.8109,1.1023,1.37373,1.1023,1.59001,1.1023,2.7813,1.1023,3.2088,1.1023,1.7616
1.1712,2.8972,1.1712,1.32175,1.1712,1.17210,1.1712,2.9267,1.1712,2.8058,1.1712,1.4312
1.2401,2.7045,1.2401,2.15557,1.2401,1.29231,1.2401,2.8817,1.2401,2.7977,1.2401,1.4028
1.3090,2.4469,1.3090,1.68100,1.3090,1.90604,1.3090,3.3887,1.3090,3.3716,1.3090,1.6495
1.3779,2.6349,1.3779,2.94802,1.3779,1.37477,1.3779,3.0703,1.3779,3.8584,1.3779,1.4011
1.4468,2.3859,1.4468,3.30103,1.4468,1.65277,1.4468,2.8714,1.4468,3.3685,1.4468,1.8601
1.5157,3.1426,1.5157,3.44301,1.5157,1.44377,1.5157,3.1088,1.5157,3.7512,1.5157,2.5834
1.5846,2.6583,1.5846,3.90533,1.5846,1.69128,1.5846,3.5079,1.5846,3.0892,1.5846,2.5948
1.6535,2.2836,1.6535,4.07048,1.6535,1.83945,1.6535,3.7101,1.6535,2.5354,1.6535,2.9872
1.7224,2.1141,1.7224,4.70159,1.7224,1.67841,1.7224,3.8304,1.7224,2.8391,1.7224,2.5485
1.7913,2.1051,1.7913,3.69677,1.7913,2.68365,1.7913,3.6445,1.7913,2.6275,1.7913,1.7293
1.8602,2.2112,1.8602,2.59681,1.8602,1.88284,1.8602,4.0109,1.8602,2.5631,1.8602,2.0764
1.9290,1.8403,1.9290,1.67482,1.9290,2.18622,1.9290,4.5667,1.9290,2.5947,1.9290,1.6681
1.9979,1.6622,1.9979,1.26202,1.9979,2.42942,1.9979,4.7013,1.9979,2.2728,1.9979,2.2657
2.0668,1.2551,2.0668,1.87233,2.0668,2.62666,2.0668,5.0683,2.0668,2.5716,2.0668,1.7485
2.1357,2.5924,2.1357,1.41993,2.1357,2.03250,2.1357,5.0229,2.1357,1.8035,2.1357,2.3421
2.2046,2.8490,2.2046,1.40142,2.2046,1.84831,2.2046,5.1603,2.2046,2.1044,2.2046,1.6935
2.2735,3.0784,2.2735,0.69043,2.2735,1.90031,2.2735,6.1288,2.2735,2.6047,2.2735,1.6267
2.3424,3.3793,2.3424,1.08660,2.3424,2.03448,2.3424,4.9144,2.3424,2.5655,2.3424,1.5334
2.4113,3.2354,2.4113,1.79305,2.4113,2.35518,2.4113,4.5682,2.4113,2.8174,2.4113,1.0144
2.4802,3.1379,2.4802,1.90582,2.4802,3.39849,2.4802,4.2664,2.4802,3.8110,2.4802,1.6250
2.5491,3.2133,2.5491,1.14853,2.5491,2.95464,2.5491,3.2012,2.5491,4.6096,2.5491,2.0359
2.6180,2.2812,2.6180,1.03170,2.6180,3.70243,2.6180,2.5988,2.6180,3.9433,2.6180,2.6226
2.6869,2.4878,2.6869,1.24506,2.6869,4.74982,2.6869,2.5994,2.6869,3.6877,2.6869,2.6516
2.7558,2.5311,2.7558,1.27927,2.7558,4.52263,2.7558,2.4105,2.7558,3.1446,2.7558,2.3757
2.8247,2.9546,2.8247,1.19064,2.8247,4.57659,2.8247,3.4677,2.8247,2.0675,2.8247,2.1247
2.8936,2.7065,2.8936,1.38576,2.8936,3.98138,2.8936,4.7924,2.8936,2.1505,2.8936,2.6232
2.9625,2.5306,2.9625,1.82834,2.9625,3.58275,2.9625,6.1405,2.9625,3.6276,2.9625,2.3189
3.0314,2.0868,3.0314,1.93632,3.0314,3.56953,3.0314,6.2334,3.0314,3.3014,3.0314,2.2814
3.1003,1.9694,3.1003,2.67860,3.1003,3.15877,3.1003,5.5824,3.1003,4.7604,3.1003,3.0760
3.1691,1.5104,3.1691,3.12223,3.1691,2.85457,3.1691,4.4118,3.1691,5.7209,3.1691,2.3987
3.2380,1.0618,3.2380,3.30581,3.2380,2.82112,3.2380,4.5456,3.2380,6.0307,3.2380,3.0496
3.3069,0.6605,3.3069,3.39387,3.3069,2.79245,3.3069,4.6309,3.3069,5.4096,3.3069,2.5364
3.3758,0.8653,3.3758,3.29873,3.3758,3.85612,3.3758,4.6401,3.3758,5.2078,3.3758,3.3371
3.4447,0.9003,3.4447,3.55599,3.4447,3.04742,3.4447,5.1207,3.4447,3.7594,3.4447,3.0203
3.5136,0.9353,3.5136,3.60723,3.5136,2.36802,3.5136,5.6916,3.5136,4.0380,3.5136,3.1823
