Distance_(microns),Value,X1,Y1,X2,Y2,X3,Y3,X4,Y4
0.0000,2.5926,0.0000,1.6794,0.0000,5.81669,0.0000,2.21888,0.0000,3.4517
0.0689,1.6615,0.0689,1.3229,0.0689,4.39199,0.0689,5.21258,0.0689,4.2289
0.1378,1.4239,0.1378,1.4147,0.1378,3.89503,0.1378,7.01579,0.1378,4.7036
0.2067,1.7381,0.2067,1.6721,0.2067,3.66684,0.2067,6.15079,0.2067,4.1424
0.2756,1.0464,0.2756,1.8688,0.2756,2.80078,0.2756,4.63318,0.2756,4.5040
0.3445,1.0570,0.3445,1.6616,0.3445,2.26633,0.3445,3.30985,0.3445,4.7819
0.4134,0.6877,0.4134,1.3466,0.4134,1.30556,0.4134,2.64784,0.4134,3.7349
0.4823,1.2214,0.4823,1.3569,0.4823,0.91623,0.4823,2.20281,0.4823,3.9211
0.5512,1.6331,0.5512,1.4913,0.5512,1.42650,0.5512,2.82704,0.5512,4.2031
0.6201,1.8178,0.6201,0.7558,0.6201,0.91259,0.6201,2.07162,0.6201,4.2633
0.6889,1.9158,0.6889,0.9676,0.6889,1.03231,0.6889,1.50740,0.6889,4.1144
0.7578,1.5254,0.7578,1.4032,0.7578,1.09720,0.7578,1.06916,0.7578,3.9381
0.8267,1.1854,0.8267,1.4650,0.8267,1.30214,0.8267,0.90670,0.8267,2.9431
0.8956,0.5103,0.8956,1.5157,0.8956,0.96170,0.8956,1.02149,0.8956,2.4612
0.9645,0.9082,0.9645,1.4912,0.9645,1.04916,0.9645,0.94190,0.9645,1.7434
1.0334,0.8868,1.0334,1.1502,1.0334,1.43640,1.0334,0.74818,1.0334,2.2794
1.1023,0.9572,1.1023,0.9306,1.1023,1.26411,1.1023,0.97220,1.1023,2.3848
1.1712,0.9576,1.1712,1.2104,1.1712,1.81844,1.1712,0.89721,1.1712,2.2730
1.2401,1.5150,1.2401,1.1230,1.2401,2.31534,1.2401,0.92358,1.2401,1.5632
1.3090,2.1993,1.3090,1.3531,1.3090,1.68033,1.3090,1.02180,1.3090,1.5992
1.3779,1.8879,1.3779,1.5955,1.3779,0.84826,1.3779,1.26286,1.3779,1.7957
1.4468,1.5768,1.4468,1.6361,1.4468,1.66676,1.4468,1.36906,1.4468,1.4435
1.5157,1.4967,1.5157,1.9372,1.5157,2.81203,1.5157,0.92212,1.5157,1.3909
1.5846,1.2612,1.5846,1.7357,1.5846,3.71412,1.5846,0.80249,1.5846,0.6653
1.6535,1.4104,1.6535,1.7631,1.6535,3.88039,1.6535,1.04337,1.6535,1.1592
1.7224,0.6630,1.7224,1.5038,1.7224,3.95905,1.7224,0.59059,1.7224,0.9441
1.7913,1.1419,1.7913,1.1865,1.7913,4.12390,1.7913,0.92771,1.7913,0.6069
1.8602,1.2249,1.8602,1.6318,1.8602,4.24411,1.8602,1.53020,1.8602,1.0708
1.9290,0.9776,1.9290,1.2259,1.9290,3.04507,1.9290,2.01882,1.9290,1.1415
1.9979,1.2673,1.9979,2.1777,1.9979,2.26919,1.9979,1.97328,1.9979,0.9886
2.0668,1.4039,2.0668,2.1972,2.0668,2.01871,2.0668,1.68948,2.0668,0.8995
2.1357,1.2039,2.1357,1.7160,2.1357,2.22243,2.1357,1.96189,2.1357,0.6450
2.2046,1.8510,2.2046,1.1929,2.2046,1.41857,2.2046,2.01093,2.2046,0.5836
2.2735,1.7995,2.2735,1.9900,2.2735,0.95181,2.2735,2.02680,2.2735,0.7762
2.3424,1.6672,2.3424,2.0231,2.3424,0.91228,2.3424,2.23204,2.3424,1.3197
2.4113,1.8227,2.4113,1.6415,2.4113,0.93795,2.4113,2.22103,2.4113,1.2057
2.4802,1.4092,2.4802,1.8284,2.4802,0.71375,2.4802,1.54152,2.4802,1.4164
2.5491,1.4603,2.5491,1.7314,2.5491,0.91012,2.5491,1.22690,2.5491,1.0818
2.6180,1.1307,2.6180,1.5216,2.6180,1.95414,2.6180,1.78116,2.6180,1.6729
2.6869,0.8499,2.6869,1.4857,2.6869,1.53366,2.6869,1.41315,2.6869,1.4356
2.7558,1.5828,2.7558,1.3975,2.7558,1.54913,2.7558,1.08321,2.7558,1.0916
2.8247,1.1128,2.8247,2.0459,2.8247,1.06974,2.8247,1.52043,2.8247,1.0294
2.8936,1.2131,2.8936,1.8005,2.8936,1.32663,2.8936,1.10336,2.8936,1.0321
2.9625,1.2264,2.9625,1.3317,2.9625,1.71139,2.9625,1.13674,2.9625,0.7347
3.0314,1.5825,3.0314,2.1351,3.0314,1.51036,3.0314,1.40285,3.0314,0.6572
3.1003,2.0933,3.1003,2.0727,3.1003,1.70811,3.1003,1.68802,3.1003,0.7172
3.1691,1.2598,3.1691,2.5333,3.1691,2.37172,3.1691,2.15142,3.1691,1.7313
3.2380,1.9043,3.2380,2.9274,3.2380,2.95346,3.2380,1.87878,3.2380,1.3397
3.3069,2.1254,3.3069,2.9097,3.3069,2.71150,3.3069,1.85316,3.3069,1.3519
3.3758,1.7615,3.3758,3.1935,3.3758,2.31390,3.3758,1.19217,3.3758,1.2948
3.4447,1.5047,3.4447,2.5550,3.4447,1.72354,3.4447,1.44917,3.4447,0.8546
3.5136,2.1162,3.5136,3.0308,3.5136,1.46802,3.5136,2.27699,3.5136,0.7272
3.5825,1.4697,3.5825,2.8207,3.5825,1.19674,3.5825,2.97414,3.5825,0.6482
3.6514,1.5528,3.6514,3.5818,3.6514,1.34877,3.6514,4.17773,3.6514,1.4532
3.7203,1.2219,3.7203,4.5846,3.7203,1.05380,3.7203,5.57123,3.7203,1.1196
3.7892,1.3136,3.7892,6.2223,3.7892,1.38364,3.7892,5.95199,3.7892,0.9776
3.8581,2.3240,3.8581,6.5147,3.8581,1.37736,3.8581,4.39489,3.8581,1.5381
3.9270,2.3860,3.9270,5.4028,3.9270,1.66197,3.9270,3.57780,3.9270,1.8985
3.9959,3.1250,3.9959,4.3614,3.9959,1.17404,3.9959,3.18415,3.9959,1.7246
4.0648,5.3816,4.0648,4.0019,4.0648,1.71094,4.0648,2.69147,4.0648,1.9934
4.1337,4.7419,4.1337,3.8644,4.1337,1.36835,4.1337,1.69822,4.1337,1.6980
4.2026,6.1858,4.2026,4.0679,4.2026,1.04473,4.2026,2.06362,4.2026,2.1091
4.2715,5.4546,4.2715,3.4027,4.2715,2.71401,4.2715,1.86821,4.2715,2.6937
4.3404,5.6619,4.3404,3.5113,4.3404,2.03029,4.3404,1.60710,4.3404,2.4963
4.4092,4.2741,4.4092,2.6867,4.4092,3.07379,4.4092,1.59433,4.4092,2.7774
4.4781,3.5365,4.4781,2.1352,4.4781,3.73911,4.4781,1.92083,4.4781,2.4316
4.5470,2.9735,4.5470,2.2802,4.5470,4.52374,4.5470,2.42076,4.5470,2.9046
4.6159,2.5721,4.6159,2.5658,4.6159,4.41358,4.6159,1.86987,4.6159,3.9191
4.6848,2.5603,4.6848,1.8967,4.6848,4.89744,4.6848,1.28225,4.6848,4.9287
4.7537,1.8503,4.7537,1.0204,4.7537,5.42315,4.7537,2.05128,4.7537,5.2149
4.8226,1.5246,4.8226,1.7363,4.8226,5.85399,4.8226,1.56532,4.8226,5.2970
4.8915,1.8200,4.8915,1.6273,4.8915,5.92221,4.8915,1.43842,4.8915,3.9624
4.9604,2.0197,4.9604,1.4688,4.9604,5.36727,4.9604,1.80787,4.9604,3.5369
5.0293,1.6870,5.0293,1.4858,5.0293,6.65840,5.0293,2.52646,5.0293,4.5001
5.0982,2.1817,5.0982,1.5687,5.0982,5.64545,5.0982,2.73598,5.0982,4.2513
5.1671,1.8070,5.1671,2.0294,5.1671,3.14242,5.1671,2.28441,5.1671,4.4287
5.2360,2.0059,5.2360,1.4552,5.2360,1.78076,5.2360,2.14552,5.2360,4.5150
5.3049,1.9162,5.3049,1.2880,5.3049,1.11086,5.3049,1.96113,5.3049,4.3786
5.3738,2.0409,5.3738,1.3229,5.3738,1.59688,5.3738,1.44347,5.3738,4.8852
5.4427,2.9546,5.4427,0.8873,5.4427,1.03367,5.4427,2.02678,5.4427,3.3953
5.5116,3.1641,5.5116,1.7333,5.5116,0.90008,5.5116,2.39317,5.5116,4.0496
5.5805,2.8086,5.5805,2.0286,5.5805,1.07263,5.5805,2.97283,5.5805,2.8265
5.6493,2.3411,5.6493,2.8266,5.6493,0.96215,5.6493,4.31456,5.6493,2.4647
5.7182,2.1637,5.7182,3.1993,5.7182,1.13572,5.7182,5.51450,5.7182,1.7354
5.7871,2.2062,5.7871,2.5827,5.7871,1.89776,5.7871,7.34933,5.7871,2.4042
5.8560,1.7633,5.8560,1.6522,5.8560,2.26846,5.8560,7.39325,5.8560,2.6693
5.9249,1.5077,5.9249,0.8335,5.9249,2.71195,5.9249,5.24841,5.9249,1.7678
5.9938,1.6192,5.9938,0.8829,5.9938,3.58002,5.9938,3.93853,5.9938,2.0680
6.0627,2.0263,6.0627,0.8935,6.0627,2.37080,6.0627,3.15100,6.0627,1.9022
6.1316,2.0049,6.1316,0.6404,6.1316,1.52129,6.1316,2.77143,6.1316,1.7262
6.2005,2.6232,6.2005,0.8394,6.2005,1.27863,6.2005,2.28337,6.2005,1.4659
6.2694,2.6913,6.2694,0.8449,6.2694,1.23702,6.2694,2.29833,6.2694,1.7660
6.3383,2.8672,6.3383,0.4698,6.3383,1.08472,6.3383,2.83027,6.3383,1.9846
6.4072,2.1886,6.4072,0.5625,6.4072,1.27308,6.4072,2.77433,6.4072,1.6560
6.4761,2.4267,6.4761,0.5862,6.4761,1.87299,6.4761,3.65771,6.4761,1.9495
6.5450,2.5767,6.5450,0.7546,6.5450,2.12941,6.5450,3.95204,6.5450,1.8937
6.6139,3.1198,6.6139,0.9744,6.6139,1.76357,6.6139,4.04736,6.6139,2.4030
6.6828,3.7632,6.6828,0.4282,6.6828,2.61409,6.6828,4.90007,6.6828,2.0474
6.7517,5.6484,6.7517,0.3356,6.7517,2.55630,6.7517,5.32028,6.7517,1.7358
6.8206,7.0725,6.8206,0.3742,6.8206,2.21620,6.8206,6.83230,6.8206,1.4577
6.8894,7.8757,6.8894,0.5178,6.8894,1.40755,6.8894,8.50369,6.8894,2.0476
6.9583,7.8916,6.9583,0.6550,6.9583,1.47112,6.9583,7.31800,6.9583,1.6351
7.0272,7.8536,7.0272,0.4636,7.0272,1.83659,7.0272,5.71709,7.0272,1.8849
7.0961,7.5124,7.0961,0.1756,7.0961,1.47098,7.0961,3.80160,7.0961,2.0249
7.1650,7.1279,7.1650,0.5274,7.1650,1.66375,7.1650,2.84746,7.1650,2.0890
7.2339,6.0582,7.2339,0.5899,7.2339,2.32415,7.2339,1.91683,7.2339,3.4088
7.3028,3.4202,7.3028,0.8842,7.3028,2.30235,7.3028,1.85206,7.3028,3.1253
7.3717,2.4321,7.3717,0.6684,7.3717,2.96589,7.3717,2.16046,7.3717,2.6715
7.4406,2.1242,7.4406,0.6217,7.4406,3.57151,7.4406,1.87520,7.4406,2.5520
7.5095,2.3140,7.5095,1.1122,7.5095,2.70979,7.5095,1.44993,7.5095,2.8960
7.5784,2.7749,7.5784,0.9175,7.5784,1.50835,7.5784,1.22943,7.5784,2.4332
7.6473,3.1011,7.6473,0.8591,7.6473,1.67946,7.6473,1.70206,7.6473,2.9275
7.7162,3.1247,7.7162,0.9013,7.7162,1.73226,7.7162,1.55335,7.7162,2.6692
7.7851,3.6790,7.7851,1.4333,7.7851,1.13867,7.7851,1.92456,7.7851,3.5541
7.8540,4.8788,7.8540,1.7701,7.8540,0.71997,7.8540,2.42294,7.8540,3.5959
7.9229,5.7342,7.9229,2.7553,7.9229,1.03926,7.9229,2.02253,7.9229,4.2580
7.9918,6.1871,7.9918,3.4580,7.9918,1.41637,7.9918,1.75893,7.9918,3.7514
8.0607,5.6254,8.0607,5.3443,8.0607,1.21973,8.0607,1.20824,8.0607,2.7342
8.1296,3.8903,8.1296,6.7466,8.1296,1.79918,8.1296,0.94986,8.1296,2.9460
8.1984,3.7875,8.1984,6.2386,8.1984,1.58993,8.1984,1.34285,8.1984,3.0931
8.2673,3.7528,8.2673,5.4842,8.2673,2.30403,8.2673,1.45254,8.2673,2.7998
8.3362,3.0267,8.3362,4.8249,8.3362,1.81686,8.3362,1.35432,8.3362,2.0911
8.4051,1.8845,8.4051,3.6565,8.4051,1.30609,8.4051,1.44282,8.4051,1.4210
8.4740,1.7135,8.4740,2.6733,8.4740,1.45250,8.4740,1.13614,8.4740,1.9530
8.5429,1.4467,8.5429,2.2973,8.5429,1.33337,8.5429,0.84733,8.5429,1.6531
8.6118,1.5641,8.6118,2.0577,8.6118,1.59166,8.6118,0.81324,8.6118,2.1922
8.6807,1.9760,8.6807,1.4808,8.6807,2.44426,8.6807,1.13247,8.6807,1.8217
8.7496,1.4248,8.7496,1.5033,8.7496,2.63483,8.7496,0.86007,8.7496,1.7168
8.8185,0.8842,8.8185,1.5275,8.8185,3.46293,8.8185,1.26770,8.8185,1.3780
8.8874,0.5459,8.8874,0.9284,8.8874,2.45516,8.8874,1.18582,8.8874,1.4671
8.9563,0.9590,8.9563,0.6647,8.9563,2.39757,8.9563,1.13576,8.9563,1.3043
9.0252,0.6786,9.0252,0.8690,9.0252,2.66252,9.0252,1.24045,9.0252,1.1910
9.0941,0.6930,9.0941,1.2153,9.0941,1.74011,9.0941,1.15673,9.0941,1.3001
9.1630,0.6153,9.1630,0.5131,9.1630,1.98348,9.1630,1.26720,9.1630,1.3411
9.2319,0.7826,9.2319,0.8457,9.2319,2.25875,9.2319,1.62630,9.2319,1.4959
9.3008,1.1562,9.3008,0.5538,9.3008,2.22564,9.3008,2.55070,9.3008,2.0032
9.3697,1.1088,9.3697,0.2562,9.3697,2.47087,9.3697,2.36480,9.3697,3.0283
9.4385,0.6915,9.4385,0.3372,9.4385,3.19076,9.4385,2.68732,9.4385,5.0180
9.5074,0.9033,9.5074,0.3895,9.5074,3.34268,9.5074,2.97385,9.5074,8.6044
9.5763,1.0353,9.5763,0.5569,9.5763,2.79933,9.5763,3.21047,9.5763,10.0521
9.6452,1.1242,9.6452,0.5686,9.6452,2.00618,9.6452,2.25771,9.6452,10.0912
9.7141,1.2799,9.7141,0.8303,9.7141,1.70638,9.7141,2.90298,9.7141,7.4117
9.7830,1.4041,9.7830,0.6261,9.7830,1.72761,9.7830,1.94566,9.7830,4.8564
9.8519,1.7710,9.8519,0.7458,9.8519,1.03577,9.8519,1.62082,9.8519,3.5193
9.9208,1.7720,9.9208,0.9660,9.9208,0.73902,9.9208,2.05367,9.9208,3.8955
9.9897,2.2518,9.9897,0.7390,9.9897,1.45983,9.9897,2.54770,9.9897,2.6569
10.0586,2.7832,10.0586,0.6424,10.0586,1.27941,10.0586,2.33073,10.0586,3.2041
10.1275,4.2509,10.1275,0.6568,10.1275,1.54466,10.1275,3.06492,10.1275,2.6757
10.1964,3.9595,10.1964,0.5706,10.1964,2.11196,10.1964,3.01407,10.1964,1.9133
10.2653,3.6577,10.2653,0.2171,10.2653,2.61198,10.2653,3.32074,10.2653,2.1672
10.3342,4.2513,10.3342,0.4520,10.3342,3.55811,10.3342,4.35863,10.3342,1.8112
10.4031,3.4776,10.4031,0.4827,10.4031,3.18245,10.4031,4.36286,10.4031,1.6071
10.4720,2.9681,10.4720,0.4236,10.4720,2.46819,10.4720,4.35211,10.4720,1.6760
10.5409,2.6513,10.5409,0.5789,10.5409,2.14574,10.5409,3.44761,10.5409,1.3382
10.6098,2.0174,10.6098,0.7582,10.6098,2.09602,10.6098,2.91349,10.6098,1.3895
10.6786,1.7982,10.6786,0.5176,10.6786,1.80196,10.6786,2.07644,10.6786,1.0024
10.7475,1.7460,10.7475,0.7386,10.7475,2.14142,10.7475,1.33396,10.7475,1.2358
10.8164,1.7801,10.8164,0.5974,10.8164,2.55566,10.8164,1.98177,10.8164,1.4301
10.8853,1.6726,10.8853,0.5482,10.8853,3.91854,10.8853,1.91312,10.8853,1.5007
10.9542,1.5908,10.9542,0.9019,10.9542,3.32468,10.9542,1.39874,10.9542,2.7140
