Distance_(microns),Value,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9
0.0000,5.36342,0.0000,1.14462,0.0000,1.11549,0.0000,2.59480,0.0000,3.36863,0.00000,2.28023,0.0000,6.46869,0.0000,1.3751,0.0000,3.13171,0.0000,0.88659
0.0689,3.93822,0.0689,1.34061,0.0689,1.44301,0.0689,1.84922,0.0689,4.73840,0.06889,2.30603,0.0689,5.63502,0.0689,1.6296,0.0689,2.69971,0.0689,1.17764
0.1378,3.85527,0.1378,2.15091,0.1378,1.98504,0.1378,2.07766,0.1378,4.87099,0.13779,2.48629,0.1378,4.86031,0.1378,2.5644,0.1378,2.49714,0.1378,1.94796
0.2067,3.13058,0.2067,3.33449,0.2067,2.30242,0.2067,1.80295,0.2067,4.61825,0.20668,2.59322,0.2067,5.38919,0.2067,1.7134,0.2067,2.60923,0.2067,2.28440
0.2756,2.81822,0.2756,2.80729,0.2756,3.56697,0.2756,1.24346,0.2756,5.06216,0.27558,3.35949,0.2756,3.65682,0.2756,2.2474,0.2756,3.39520,0.2756,2.22822
0.3445,3.01067,0.3445,1.80733,0.3445,4.38478,0.3445,1.03269,0.3445,4.35203,0.34447,2.17716,0.3445,3.56340,0.3445,2.5305,0.3445,3.84977,0.3445,2.22731
0.4134,2.65652,0.4134,1.65027,0.4134,5.03020,0.4134,1.90869,0.4134,3.77422,0.41337,2.11542,0.4134,3.17216,0.4134,3.9341,0.4134,3.83006,0.4134,3.01167
0.4823,2.20143,0.4823,1.27527,0.4823,4.65654,0.4823,1.81623,0.4823,4.39337,0.48226,2.44238,0.4823,4.04446,0.4823,3.3349,0.4823,4.21818,0.4823,3.01535
0.5512,1.67685,0.5512,0.81753,0.5512,3.50407,0.5512,1.49817,0.5512,3.39346,0.55116,2.13286,0.5512,3.61926,0.5512,2.2233,0.5512,4.03549,0.5512,3.15371
0.6201,1.44727,0.6201,0.87818,0.6201,3.80013,0.6201,1.28035,0.6201,2.80222,0.62005,1.79067,0.6201,3.85778,0.6201,1.3125,0.6201,2.47404,0.6201,3.36860
0.6889,1.00107,0.6889,1.16427,0.6889,3.29001,0.6889,1.35624,0.6889,3.99268,0.68894,2.49916,0.6889,3.75272,0.6889,1.3741,0.6889,2.29523,0.6889,2.96583
0.7578,0.66890,0.7578,1.15620,0.7578,2.62520,0.7578,0.85052,0.7578,3.89177,0.75784,2.07147,0.7578,4.97301,0.7578,1.1076,0.7578,1.40242,0.7578,3.52851
