Distance_(microns),Value,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9
0.0000,5.2217,0.0000,13.9374,0.0000,3.5023,0.0000,22.3577,0.0000,23.0199,0.00000,15.6773,0.0000,10.6974,0.0000,7.4927,0.0000,16.4295,0.0000,2.9061
0.0689,4.2692,0.0689,18.3967,0.0689,6.2042,0.0689,21.4188,0.0689,30.6753,0.06889,15.1642,0.0689,10.2511,0.0689,10.2164,0.0689,24.4621,0.0689,2.8228
0.1378,4.1338,0.1378,22.4654,0.1378,10.9353,0.1378,13.4360,0.1378,35.6654,0.13779,14.4678,0.1378,11.1305,0.1378,13.9018,0.1378,24.4515,0.1378,3.9649
0.2067,7.4426,0.2067,18.1993,0.2067,18.4243,0.2067,7.9479,0.2067,43.2695,0.20668,12.5247,0.2067,16.0358,0.2067,19.8039,0.2067,24.9356,0.2067,5.2516
0.2756,7.5579,0.2756,9.8464,0.2756,23.1601,0.2756,6.3211,0.2756,39.9820,0.27558,8.5082,0.2756,25.6199,0.2756,31.2910,0.2756,26.2220,0.2756,6.6947
0.3445,7.7364,0.3445,6.3918,0.3445,26.7331,0.3445,4.5235,0.3445,37.1857,0.34447,7.7021,0.3445,29.8533,0.3445,41.4976,0.3445,34.5774,0.3445,10.1001
0.4134,9.7962,0.4134,4.8898,0.4134,19.8886,0.4134,3.1663,0.4134,37.4771,0.41337,6.5364,0.4134,26.9379,0.4134,47.8559,0.4134,40.3708,0.4134,14.3454
0.4823,10.3608,0.4823,4.7684,0.4823,11.2073,0.4823,3.8164,0.4823,40.0448,0.48226,5.1424,0.4823,21.8755,0.4823,45.1491,0.4823,39.9760,0.4823,12.4083
0.5512,10.8086,0.5512,5.6504,0.5512,6.7575,0.5512,2.7032,0.5512,37.5875,0.55116,4.3646,0.5512,14.4512,0.5512,27.0930,0.5512,34.0531,0.5512,12.1426
0.6201,8.1403,0.6201,5.9913,0.6201,6.4822,0.6201,1.7695,0.6201,29.2598,0.62005,3.4602,0.6201,12.9643,0.6201,20.8983,0.6201,26.2495,0.6201,13.4667
0.6889,5.1164,0.6889,6.1789,0.6889,4.4832,0.6889,3.2120,0.6889,25.8921,0.68894,5.4494,0.6889,14.1888,0.6889,16.4846,0.6889,17.9837,0.6889,15.7199
0.7578,4.7617,0.7578,5.3404,0.7578,3.3716,0.7578,1.8075,0.7578,23.9840,0.75784,2.8576,0.7578,20.0928,0.7578,14.2005,0.7578,11.6522,0.7578,14.8740
0.8267,5.4884,0.8267,4.7441,0.8267,2.1772,0.8267,1.4675,0.8267,21.4822,0.82673,2.5901,0.8267,28.3879,0.8267,10.0938,0.8267,8.6739,0.8267,12.9655
0.8956,3.7594,0.8956,4.2254,0.8956,1.9005,0.8956,1.4974,0.8956,21.4432,0.89563,2.6713,0.8956,33.3056,0.8956,7.9870,0.8956,7.7395,0.8956,9.1715
0.9645,4.0548,0.9645,3.7246,0.9645,1.3042,0.9645,1.9944,0.9645,18.4735,0.96452,4.7792,0.9645,32.0365,0.9645,8.4844,0.9645,7.7122,0.9645,9.3831
1.0334,3.5435,1.0334,2.3597,1.0334,1.4944,1.0334,3.2648,1.0334,15.1897,1.03342,5.3928,1.0334,27.9593,1.0334,8.9644,1.0334,10.2045,1.0334,9.3946
1.1023,2.8245,1.1023,2.0428,1.1023,1.6732,1.1023,2.4953,1.1023,12.1879,1.10231,6.9334,1.1023,19.7628,1.1023,8.6413,1.1023,10.7863,1.1023,11.1502
1.1712,2.5991,1.1712,2.3136,1.1712,1.7377,1.1712,3.1047,1.1712,8.6339,1.17121,6.9269,1.1712,16.7053,1.1712,11.5803,1.1712,8.5247,1.1712,10.5669
1.2401,2.3415,1.2401,1.6030,1.2401,1.3667,1.2401,2.0208,1.2401,6.5094,1.24010,6.7740,1.2401,13.9086,1.2401,10.7092,1.2401,7.3954,1.2401,8.7564
