Distance_(microns),Value,X1,Y1,X2,Y2,X3,Y3
0.0000,11.5147,0.0000,21.1217,0.0000,66.8625,0.0000,32.9231
0.0689,13.5635,0.0689,16.9907,0.0689,42.9725,0.0689,32.1270
0.1378,11.8757,0.1378,12.4881,0.1378,22.5151,0.1378,28.1715
0.2067,9.9334,0.2067,9.7366,0.2067,12.8718,0.2067,20.8357
0.2756,10.1776,0.2756,8.9526,0.2756,9.3288,0.2756,14.6357
0.3445,11.4115,0.3445,7.8334,0.3445,7.2873,0.3445,12.7220
0.4134,12.6779,0.4134,9.1143,0.4134,4.0258,0.4134,15.7477
0.4823,6.7562,0.4823,9.6025,0.4823,4.9878,0.4823,18.4509
0.5512,4.1025,0.5512,12.1456,0.5512,4.1392,0.5512,18.1707
0.6201,2.8404,0.6201,13.1861,0.6201,3.5965,0.6201,23.4756
0.6889,4.0621,0.6889,14.0596,0.6889,2.4811,0.6889,23.8586
0.7578,1.6256,0.7578,9.6453,0.7578,2.6165,0.7578,28.1998
0.8267,2.4839,0.8267,9.0421,0.8267,1.8790,0.8267,30.9251
0.8956,1.7272,0.8956,13.2043,0.8956,1.3284,0.8956,21.3928
0.9645,1.6383,0.9645,14.4752,0.9645,2.4176,0.9645,21.0715
1.0334,1.8996,1.0334,18.2154,1.0334,3.1850,1.0334,14.4900
1.1023,2.8439,1.1023,14.1776,1.1023,4.4527,1.1023,7.0247
1.1712,2.9257,1.1712,12.7896,1.1712,4.2418,1.1712,6.8164
1.2401,3.2156,1.2401,9.6832,1.2401,3.4373,1.2401,4.5077
1.3090,4.0327,1.3090,8.3286,1.3090,2.4701,1.3090,4.8789
1.3779,2.9700,1.3779,8.9590,1.3779,2.5522,1.3779,8.7629
1.4468,3.1638,1.4468,8.5112,1.4468,2.3498,1.4468,10.3991
1.5157,2.0786,1.5157,6.1421,1.5157,3.0830,1.5157,16.1342
1.5846,1.3160,1.5846,4.3536,1.5846,2.8100,1.5846,14.0782
1.6535,2.3166,1.6535,3.4093,1.6535,4.7698,1.6535,11.6653
1.7224,1.6485,1.7224,2.5943,1.7224,7.4577,1.7224,7.4555
1.7913,3.5303,1.7913,2.3107,1.7913,15.2269,1.7913,5.8163
1.8602,5.5758,1.8602,4.2586,1.8602,17.0681,1.8602,6.6439
1.9290,4.7356,1.9290,5.6531,1.9290,18.6288,1.9290,6.3157
1.9979,6.3341,1.9979,8.0507,1.9979,19.9059,1.9979,4.2629
2.0668,6.0732,2.0668,11.6996,2.0668,25.8283,2.0668,4.5449
2.1357,4.9943,2.1357,18.4456,2.1357,28.2504,2.1357,3.6492
2.2046,4.6561,2.2046,17.5091,2.2046,24.3410,2.2046,3.6049
2.2735,2.2506,2.2735,17.0302,2.2735,23.0105,2.2735,4.1191
2.3424,2.2596,2.3424,16.8587,2.3424,19.1911,2.3424,3.7799
2.4113,3.8787,2.4113,15.1631,2.4113,13.6915,2.4113,3.1259
2.4802,4.4452,2.4802,13.8508,2.4802,14.6202,2.4802,4.5517
2.5491,5.1842,2.5491,12.1539,2.5491,14.4398,2.5491,5.4079
2.6180,5.5861,2.6180,11.4912,2.6180,16.0763,2.6180,7.3529
2.6869,7.1426,2.6869,9.2341,2.6869,15.5815,2.6869,9.3441
2.7558,5.1729,2.7558,11.0282,2.7558,17.4511,2.7558,7.9404
2.8247,4.6265,2.8247,13.0398,2.8247,16.7032,2.8247,9.0420
2.8936,5.9874,2.8936,16.5619,2.8936,13.8303,2.8936,11.5576
2.9625,5.4279,2.9625,20.1636,2.9625,10.6284,2.9625,11.6333
3.0314,5.5552,3.0314,22.0895,3.0314,7.1782,3.0314,10.3598
3.1003,7.7605,3.1003,27.1779,3.1003,7.7049,3.1003,11.6578
3.1691,8.1737,3.1691,29.2325,3.1691,7.6576,3.1691,17.1944
3.2380,8.1658,3.2380,22.8978,3.2380,6.3085,3.2380,17.9929
3.3069,7.6509,3.3069,17.9866,3.3069,5.1073,3.3069,19.9673
3.3758,6.4329,3.3758,14.0145,3.3758,4.0325,3.3758,22.4691
3.4447,7.2604,3.4447,11.6455,3.4447,5.0057,3.4447,23.3726
3.5136,7.8904,3.5136,12.1749,3.5136,7.3030,3.5136,30.6969
3.5825,7.0510,3.5825,12.5606,3.5825,6.5589,3.5825,39.9009
3.6514,7.4722,3.6514,12.0421,3.6514,6.6858,3.6514,54.5510
3.7203,8.7376,3.7203,8.6707,3.7203,8.4648,3.7203,58.5247
3.7892,8.3508,3.7892,8.3416,3.7892,10.1720,3.7892,48.8366
3.8581,10.4531,3.8581,10.1418,3.8581,7.9249,3.8581,34.1956
3.9270,15.4399,3.9270,12.1850,3.9270,9.5449,3.9270,20.9419
3.9959,18.2886,3.9959,13.4940,3.9959,9.4047,3.9959,11.3466
4.0648,21.1016,4.0648,14.5111,4.0648,9.9942,4.0648,7.5978
4.1337,18.9217,4.1337,14.1087,4.1337,11.0993,4.1337,9.5751
4.2026,18.6814,4.2026,14.2259,4.2026,10.8465,4.2026,9.8420
4.2715,20.7701,4.2715,17.4537,4.2715,9.3776,4.2715,10.4784
4.3404,19.8695,4.3404,16.8784,4.3404,6.2002,4.3404,10.4816
