Distance_(microns),Value,X1,Y1,X2,Y2,X3,Y3
0.0000,3.7513,0.0000,2.8041,0.0000,4.7367,0.0000,6.28550
0.0689,2.7671,0.0689,3.8551,0.0689,6.1120,0.0689,6.39559
0.1378,2.6530,0.1378,3.6100,0.1378,7.4042,0.1378,6.17132
0.2067,2.4480,0.2067,3.5223,0.2067,6.8408,0.2067,5.75577
0.2756,2.4133,0.2756,3.8939,0.2756,6.0250,0.2756,4.92549
0.3445,2.8989,0.3445,3.8553,0.3445,6.2127,0.3445,5.34155
0.4134,3.3660,0.4134,4.7028,0.4134,6.9967,0.4134,5.38870
0.4823,2.9070,0.4823,4.8341,0.4823,6.7366,0.4823,4.92312
0.5512,3.4777,0.5512,4.1026,0.5512,6.9805,0.5512,5.28433
0.6201,3.3150,0.6201,3.9098,0.6201,5.9286,0.6201,4.22145
0.6889,2.8539,0.6889,4.6896,0.6889,4.6030,0.6889,4.57971
0.7578,2.6759,0.7578,3.9711,0.7578,3.5699,0.7578,3.06639
0.8267,2.9455,0.8267,3.8366,0.8267,3.3281,0.8267,3.04905
0.8956,2.5197,0.8956,3.8071,0.8956,2.5490,0.8956,2.94355
0.9645,2.4521,0.9645,3.4322,0.9645,1.7006,0.9645,2.63287
1.0334,2.4439,1.0334,2.6182,1.0334,2.2089,1.0334,2.25672
1.1023,2.4506,1.1023,2.1710,1.1023,1.4709,1.1023,2.21485
1.1712,2.2494,1.1712,2.4074,1.1712,2.1453,1.1712,2.53896
1.2401,2.5379,1.2401,2.2177,1.2401,1.8518,1.2401,2.68873
1.3090,2.1304,1.3090,2.7322,1.3090,1.8374,1.3090,4.19397
1.3779,2.0173,1.3779,3.0450,1.3779,2.0371,1.3779,4.23760
1.4468,2.8077,1.4468,3.6798,1.4468,1.3411,1.4468,4.62325
1.5157,2.6885,1.5157,2.5372,1.5157,1.0650,1.5157,4.82194
1.5846,4.1934,1.5846,2.4787,1.5846,0.9950,1.5846,5.08497
1.6535,5.8877,1.6535,2.8805,1.6535,1.2551,1.6535,4.72031
1.7224,5.7018,1.7224,2.2541,1.7224,1.2700,1.7224,3.26362
1.7913,5.7805,1.7913,3.2100,1.7913,0.8139,1.7913,2.84878
1.8602,6.4488,1.8602,3.4873,1.8602,1.1338,1.8602,2.74571
1.9290,5.9383,1.9290,3.0494,1.9290,1.1593,1.9290,2.66042
1.9979,6.8346,1.9979,3.9498,1.9979,1.7079,1.9979,2.52064
2.0668,7.8342,2.0668,2.9738,2.0668,1.5365,2.0668,2.69431
2.1357,8.4388,2.1357,2.8899,2.1357,1.2740,2.1357,2.10464
2.2046,7.4422,2.2046,3.0400,2.2046,1.1275,2.2046,1.93459
2.2735,6.8282,2.2735,2.0529,2.2735,0.7779,2.2735,2.09202
2.3424,5.7351,2.3424,1.7325,2.3424,1.5420,2.3424,2.00514
2.4113,5.1911,2.4113,1.7970,2.4113,1.6118,2.4113,2.41822
2.4802,4.4512,2.4802,2.0487,2.4802,1.0273,2.4802,3.01852
2.5491,4.1882,2.5491,1.9775,2.5491,1.5865,2.5491,3.85400
2.6180,2.8484,2.6180,1.6493,2.6180,1.3537,2.6180,4.66869
2.6869,2.0126,2.6869,1.7913,2.6869,1.3905,2.6869,4.67363
2.7558,1.7102,2.7558,1.2296,2.7558,1.6434,2.7558,3.53711
2.8247,1.2863,2.8247,0.7319,2.8247,1.3080,2.8247,2.31307
2.8936,1.4337,2.8936,0.6343,2.8936,1.2712,2.8936,2.41002
2.9625,1.4250,2.9625,0.8948,2.9625,1.4283,2.9625,2.92656
3.0314,1.7144,3.0314,0.8393,3.0314,1.9940,3.0314,2.12145
3.1003,1.4987,3.1003,0.9040,3.1003,2.2802,3.1003,1.89493
3.1691,1.6717,3.1691,1.5191,3.1691,2.4947,3.1691,1.79626
3.2380,1.9084,3.2380,1.8332,3.2380,3.0416,3.2380,1.74609
3.3069,2.4525,3.3069,1.0837,3.3069,3.1302,3.3069,2.24086
3.3758,1.9028,3.3758,1.5791,3.3758,3.3396,3.3758,2.40270
3.4447,2.6165,3.4447,2.4081,3.4447,3.2881,3.4447,1.65673
3.5136,2.7894,3.5136,2.1666,3.5136,3.2512,3.5136,2.60961
3.5825,2.6709,3.5825,2.0384,3.5825,4.6556,3.5825,4.13346
3.6514,1.6351,3.6514,2.2896,3.6514,5.3856,3.6514,5.10702
3.7203,2.5349,3.7203,2.0961,3.7203,4.8211,3.7203,5.80578
3.7892,1.9523,3.7892,1.3273,3.7892,4.1023,3.7892,5.95590
3.8581,2.3666,3.8581,0.9170,3.8581,3.7575,3.8581,4.60935
3.9270,2.6470,3.9270,0.7338,3.9270,3.0826,3.9270,3.77585
3.9959,2.1105,3.9959,0.7347,3.9959,3.7382,3.9959,3.65251
4.0648,1.6197,4.0648,1.2855,4.0648,3.0890,4.0648,3.67411
4.1337,1.9938,4.1337,1.0342,4.1337,3.1069,4.1337,3.08676
4.2026,1.6370,4.2026,1.5166,4.2026,2.8649,4.2026,3.47062
4.2715,2.0895,4.2715,1.3217,4.2715,3.6091,4.2715,3.99248
4.3404,1.7706,4.3404,1.3226,4.3404,2.5023,4.3404,3.61179
4.4092,1.3096,4.4092,1.4785,4.4092,1.7629,4.4092,3.11179
4.4781,1.2890,4.4781,1.4486,4.4781,1.9809,4.4781,3.04756
4.5470,1.1193,4.5470,1.7772,4.5470,2.4883,4.5470,3.44540
4.6159,1.8147,4.6159,1.9928,4.6159,3.3856,4.6159,2.03529
4.6848,2.7368,4.6848,2.1752,4.6848,3.5736,4.6848,1.74617
4.7537,3.1460,4.7537,2.6501,4.7537,3.1737,4.7537,2.32230
4.8226,4.2064,4.8226,3.8829,4.8226,3.3201,4.8226,1.50030
4.8915,3.8862,4.8915,5.5092,4.8915,2.4897,4.8915,1.88231
4.9604,3.4960,4.9604,6.9651,4.9604,2.4420,4.9604,2.42094
5.0293,3.4357,5.0293,8.0692,5.0293,2.3644,5.0293,2.20044
5.0982,3.1749,5.0982,7.6708,5.0982,2.2099,5.0982,2.92050
5.1671,2.6287,5.1671,6.9366,5.1671,1.9280,5.1671,2.49256
5.2360,2.4673,5.2360,6.1621,5.2360,1.8866,5.2360,1.94819
5.3049,2.8077,5.3049,5.1460,5.3049,1.7986,5.3049,1.95366
5.3738,1.7161,5.3738,4.0513,5.3738,1.6177,5.3738,2.14180
5.4427,2.1465,5.4427,3.6557,5.4427,2.3262,5.4427,2.41558
5.5116,2.3123,5.5116,2.2724,5.5116,2.1548,5.5116,2.18302
5.5805,3.7454,5.5805,2.6990,5.5805,2.2254,5.5805,1.44726
5.6493,3.9488,5.6493,3.0506,5.6493,3.0060,5.6493,1.74855
5.7182,4.4338,5.7182,2.5487,5.7182,3.1490,5.7182,2.10391
5.7871,4.0729,5.7871,2.2328,5.7871,3.3062,5.7871,1.95360
5.8560,4.1451,5.8560,2.6758,5.8560,4.6632,5.8560,1.64242
5.9249,4.9267,5.9249,2.4710,5.9249,5.7532,5.9249,1.36934
5.9938,4.9461,5.9938,2.4781,5.9938,8.1480,5.9938,1.44183
6.0627,4.9421,6.0627,2.6423,6.0627,8.2850,6.0627,1.34514
6.1316,4.1855,6.1316,2.7313,6.1316,8.3604,6.1316,0.95263
6.2005,3.1716,6.2005,3.2330,6.2005,8.0227,6.2005,1.38944
6.2694,3.1815,6.2694,3.1599,6.2694,6.1951,6.2694,1.75407
6.3383,3.4268,6.3383,3.6150,6.3383,4.5543,6.3383,1.80666
6.4072,2.4298,6.4072,4.0519,6.4072,3.8755,6.4072,1.96395
6.4761,3.3459,6.4761,2.6071,6.4761,3.7316,6.4761,1.57161
6.5450,3.2740,6.5450,2.5934,6.5450,4.7847,6.5450,1.54140
6.6139,2.2359,6.6139,2.8898,6.6139,4.4552,6.6139,1.48249
6.6828,2.1965,6.6828,2.0027,6.6828,3.4204,6.6828,1.25090
6.7517,1.5537,6.7517,1.7953,6.7517,2.6904,6.7517,1.31894
6.8206,1.0153,6.8206,1.8138,6.8206,3.6216,6.8206,0.51881
6.8894,1.6234,6.8894,2.7462,6.8894,3.9440,6.8894,0.64402
6.9583,2.5699,6.9583,1.9922,6.9583,2.6817,6.9583,1.49190
7.0272,1.9844,7.0272,2.1560,7.0272,3.7928,7.0272,1.50981
7.0961,1.4002,7.0961,2.3650,7.0961,4.7118,7.0961,1.92342
7.1650,1.8688,7.1650,1.9977,7.1650,5.4329,7.1650,2.35964
