Distance_(microns),Value,X1,Y1,X2,Y2,X3,Y3,X4,Y4
0.0000,20.3086,0.0000,46.4767,0.0000,6.4946,0.0000,41.9411,0.0000,5.745
0.0689,24.1201,0.0689,44.4052,0.0689,4.8275,0.0689,29.8214,0.0689,5.066
0.1378,27.7245,0.1378,40.4439,0.1378,4.9195,0.1378,23.0562,0.1378,5.269
0.2067,23.5123,0.2067,33.5435,0.2067,5.9051,0.2067,23.8840,0.2067,5.367
0.2756,20.3779,0.2756,24.1716,0.2756,9.8928,0.2756,20.4924,0.2756,6.700
0.3445,19.2994,0.3445,18.5570,0.3445,15.2253,0.3445,16.3364,0.3445,4.885
0.4134,13.8140,0.4134,14.8371,0.4134,18.3162,0.4134,12.2807,0.4134,4.975
0.4823,14.4682,0.4823,9.1639,0.4823,15.1840,0.4823,9.8252,0.4823,5.918
0.5512,12.9867,0.5512,7.2895,0.5512,14.2287,0.5512,10.7766,0.5512,6.926
0.6201,10.6978,0.6201,5.3152,0.6201,10.9333,0.6201,11.2951,0.6201,7.238
0.6889,11.3358,0.6889,6.0520,0.6889,14.9615,0.6889,13.2136,0.6889,6.139
0.7578,13.0096,0.7578,6.5921,0.7578,22.3809,0.7578,18.1641,0.7578,6.873
0.8267,11.5980,0.8267,9.7566,0.8267,27.5555,0.8267,21.1335,0.8267,6.111
0.8956,10.7654,0.8956,13.5156,0.8956,25.0740,0.8956,19.7387,0.8956,6.624
0.9645,6.8023,0.9645,12.8976,0.9645,25.7749,0.9645,16.0578,0.9645,6.609
1.0334,5.7800,1.0334,7.3429,1.0334,19.1974,1.0334,14.3489,1.0334,7.738
1.1023,3.0916,1.1023,6.0649,1.1023,18.5320,1.1023,9.5928,1.1023,7.212
1.1712,3.6411,1.1712,5.0859,1.1712,20.7807,1.1712,6.5522,1.1712,10.172
1.2401,2.9110,1.2401,4.7700,1.2401,22.6889,1.2401,5.4510,1.2401,8.884
1.3090,2.5203,1.3090,4.4213,1.3090,24.7656,1.3090,4.9704,1.3090,8.956
1.3779,3.2471,1.3779,4.4864,1.3779,22.6764,1.3779,7.4955,1.3779,11.338
1.4468,4.3093,1.4468,5.3134,1.4468,24.6809,1.4468,8.2030,1.4468,12.861
1.5157,5.6435,1.5157,4.3922,1.5157,22.6070,1.5157,9.3640,1.5157,16.732
1.5846,5.1783,1.5846,3.0619,1.5846,19.3180,1.5846,9.7005,1.5846,19.573
1.6535,6.8570,1.6535,1.9764,1.6535,16.4866,1.6535,5.9759,1.6535,21.511
1.7224,10.1852,1.7224,2.8116,1.7224,21.9951,1.7224,4.3759,1.7224,19.541
1.7913,14.0320,1.7913,3.2046,1.7913,30.8705,1.7913,2.4866,1.7913,16.974
1.8602,15.7325,1.8602,2.6642,1.8602,37.2848,1.8602,1.6782,1.8602,13.943
1.9290,16.9771,1.9290,3.0038,1.9290,38.1629,1.9290,2.3881,1.9290,9.347
1.9979,23.0987,1.9979,3.2554,1.9979,38.9821,1.9979,2.4319,1.9979,6.807
2.0668,27.8692,2.0668,3.8274,2.0668,34.1824,2.0668,3.6934,2.0668,7.751
2.1357,30.1636,2.1357,4.6142,2.1357,32.2395,2.1357,4.8193,2.1357,6.778
2.2046,27.5520,2.2046,5.4693,2.2046,36.9645,2.2046,4.5690,2.2046,6.585
2.2735,16.0373,2.2735,8.8252,2.2735,34.7803,2.2735,4.4751,2.2735,7.314
2.3424,9.9054,2.3424,12.4231,2.3424,33.2644,2.3424,4.0544,2.3424,7.384
2.4113,5.3418,2.4113,17.3989,2.4113,30.2530,2.4113,3.7384,2.4113,6.222
2.4802,4.5006,2.4802,21.5013,2.4802,28.7982,2.4802,5.1753,2.4802,6.063
2.5491,3.4969,2.5491,20.5170,2.5491,24.9339,2.5491,3.1403,2.5491,4.423
2.6180,5.5918,2.6180,18.0511,2.6180,20.9750,2.6180,1.9539,2.6180,2.875
2.6869,10.7501,2.6869,15.6872,2.6869,20.9483,2.6869,1.7091,2.6869,3.004
2.7558,17.5852,2.7558,15.8328,2.7558,19.8134,2.7558,1.1107,2.7558,3.808
2.8247,23.3668,2.8247,16.9968,2.8247,20.7502,2.8247,2.2758,2.8247,5.575
2.8936,31.7956,2.8936,17.4564,2.8936,24.6940,2.8936,3.3144,2.8936,6.731
2.9625,35.2275,2.9625,18.1298,2.9625,28.4055,2.9625,4.5491,2.9625,7.673
3.0314,37.2975,3.0314,19.2749,3.0314,33.2748,3.0314,5.9650,3.0314,5.158
3.1003,40.0707,3.1003,18.8562,3.1003,37.2846,3.1003,7.4740,3.1003,4.508
3.1691,41.4393,3.1691,18.8846,3.1691,36.9791,3.1691,10.0115,3.1691,3.456
3.2380,39.8628,3.2380,17.8587,3.2380,35.1193,3.2380,14.5586,3.2380,2.674
3.3069,35.6036,3.3069,14.6838,3.3069,27.6924,3.3069,20.2766,3.3069,2.346
3.3758,33.2132,3.3758,13.9919,3.3758,22.2924,3.3758,25.9084,3.3758,3.241
3.4447,33.7330,3.4447,15.5597,3.4447,15.4066,3.4447,35.3231,3.4447,3.537
3.5136,30.6790,3.5136,16.4737,3.5136,11.3504,3.5136,46.4089,3.5136,4.953
3.5825,29.3302,3.5825,15.4088,3.5825,8.6830,3.5825,49.1060,3.5825,6.658
3.6514,24.7838,3.6514,15.3625,3.6514,6.3305,3.6514,48.3857,3.6514,7.577
3.7203,22.5353,3.7203,11.8632,3.7203,5.0265,3.7203,39.3312,3.7203,7.346
3.7892,19.2973,3.7892,12.5309,3.7892,6.1988,3.7892,26.7361,3.7892,6.014
3.8581,12.9530,3.8581,14.4274,3.8581,4.4258,3.8581,23.5075,3.8581,7.589
3.9270,7.1424,3.9270,16.1750,3.9270,5.2723,3.9270,25.4595,3.9270,14.730
3.9959,8.5970,3.9959,14.8013,3.9959,5.5881,3.9959,29.2130,3.9959,21.664
4.0648,5.7793,4.0648,9.6348,4.0648,10.1092,4.0648,31.9564,4.0648,33.225
4.1337,8.3399,4.1337,8.5640,4.1337,17.0389,4.1337,31.2888,4.1337,36.225
4.2026,9.1835,4.2026,16.5109,4.2026,21.4606,4.2026,29.9404,4.2026,38.749
4.2715,9.4206,4.2715,25.2215,4.2715,26.1355,4.2715,26.9475,4.2715,41.298
4.3404,9.4848,4.3404,28.7879,4.3404,27.7677,4.3404,23.1231,4.3404,48.401
4.4092,6.1030,4.4092,21.5550,4.4092,23.4150,4.4092,20.3787,4.4092,61.696
4.4781,3.5985,4.4781,19.5574,4.4781,21.2187,4.4781,14.8129,4.4781,80.279
4.5470,2.7061,4.5470,20.5142,4.5470,19.9261,4.5470,10.7488,4.5470,94.915
4.6159,3.3212,4.6159,22.2698,4.6159,15.7788,4.6159,7.6606,4.6159,105.502
4.6848,1.8997,4.6848,22.8500,4.6848,11.4240,4.6848,5.2708,4.6848,85.547
4.7537,2.5399,4.7537,24.3228,4.7537,7.7906,4.7537,4.4449,4.7537,62.773
4.8226,3.1177,4.8226,23.9129,4.8226,5.1417,4.8226,5.4613,4.8226,50.888
4.8915,3.7467,4.8915,25.8772,4.8915,5.5677,4.8915,6.6902,4.8915,47.181
4.9604,2.1310,4.9604,27.5468,4.9604,5.5267,4.9604,6.9322,4.9604,43.904
5.0293,2.5608,5.0293,27.9757,5.0293,6.4043,5.0293,7.9864,5.0293,36.648
5.0982,2.2320,5.0982,29.1595,5.0982,5.2852,5.0982,6.7787,5.0982,32.236
5.1671,3.4835,5.1671,27.8765,5.1671,4.4333,5.1671,7.9230,5.1671,31.319
5.2360,3.2182,5.2360,22.9006,5.2360,6.3923,5.2360,7.1724,5.2360,31.234
5.3049,3.8694,5.3049,18.5426,5.3049,10.7517,5.3049,5.8228,5.3049,28.340
5.3738,5.5287,5.3738,15.6968,5.3738,10.4887,5.3738,4.3714,5.3738,25.025
5.4427,6.0898,5.4427,13.8199,5.4427,9.5316,5.4427,6.3914,5.4427,23.656
5.5116,6.5656,5.5116,12.0218,5.5116,5.7437,5.5116,11.3923,5.5116,22.263
5.5805,3.9103,5.5805,11.4678,5.5805,4.3269,5.5805,12.1452,5.5805,21.274
5.6493,1.6894,5.6493,9.5222,5.6493,3.1812,5.6493,12.5205,5.6493,18.437
5.7182,2.2022,5.7182,8.5280,5.7182,3.5021,5.7182,8.1271,5.7182,15.866
5.7871,2.1312,5.7871,6.2825,5.7871,2.4196,5.7871,7.4809,5.7871,13.474
5.8560,1.5687,5.8560,4.7841,5.8560,2.0307,5.8560,6.3089,5.8560,12.176
5.9249,1.4866,5.9249,4.6024,5.9249,1.7287,5.9249,7.3354,5.9249,12.157
5.9938,2.1986,5.9938,4.7031,5.9938,2.7809,5.9938,9.0032,5.9938,14.749
6.0627,3.7868,6.0627,4.4252,6.0627,3.7417,6.0627,11.2487,6.0627,12.842
6.1316,6.6257,6.1316,3.5742,6.1316,6.3145,6.1316,14.1662,6.1316,9.301
6.2005,13.7299,6.2005,3.2160,6.2005,6.3358,6.2005,13.5214,6.2005,9.489
6.2694,21.5949,6.2694,2.6618,6.2694,5.1547,6.2694,8.9836,6.2694,11.256
6.3383,32.7597,6.3383,2.4443,6.3383,5.0126,6.3383,8.3172,6.3383,7.919
6.4072,31.2919,6.4072,2.1484,6.4072,3.0265,6.4072,4.7898,6.4072,5.407
6.4761,18.9792,6.4761,2.2656,6.4761,3.1060,6.4761,3.0908,6.4761,3.629
6.5450,11.7581,6.5450,1.8893,6.5450,1.9666,6.5450,3.5359,6.5450,3.823
6.6139,8.5571,6.6139,1.9154,6.6139,1.4943,6.6139,2.9213,6.6139,2.820
6.6828,6.7557,6.6828,2.8375,6.6828,2.1290,6.6828,2.4295,6.6828,2.845
6.7517,8.9784,6.7517,3.8940,6.7517,1.9326,6.7517,5.0470,6.7517,4.523
6.8206,8.8473,6.8206,3.0570,6.8206,1.0602,6.8206,3.9978,6.8206,5.770
6.8894,10.9618,6.8894,2.7695,6.8894,1.8406,6.8894,4.6346,6.8894,6.778
6.9583,11.3491,6.9583,3.0680,6.9583,3.7637,6.9583,4.7413,6.9583,7.057
7.0272,8.3236,7.0272,3.1283,7.0272,3.8256,7.0272,8.2377,7.0272,6.598
7.0961,7.1734,7.0961,2.3048,7.0961,3.3703,7.0961,11.2680,7.0961,5.019
7.1650,4.7654,7.1650,2.1894,7.1650,4.6056,7.1650,11.3565,7.1650,3.924
7.2339,4.8524,7.2339,3.7913,7.2339,2.9348,7.2339,10.2630,7.2339,4.675
7.3028,6.1041,7.3028,2.8807,7.3028,1.8392,7.3028,6.2263,7.3028,5.888
7.3717,7.1161,7.3717,2.7401,7.3717,2.2000,7.3717,4.5324,7.3717,7.257
7.4406,9.2112,7.4406,3.7093,7.4406,2.0269,7.4406,3.3671,7.4406,8.678
7.5095,10.6784,7.5095,6.2940,7.5095,2.4095,7.5095,3.6692,7.5095,12.492
7.5784,10.0759,7.5784,7.3793,7.5784,1.9519,7.5784,4.1703,7.5784,14.951
7.6473,12.4474,7.6473,10.5172,7.6473,1.2500,7.6473,5.3334,7.6473,15.589
7.7162,12.9512,7.7162,12.0580,7.7162,1.5984,7.7162,5.9488,7.7162,15.132
7.7851,13.8957,7.7851,14.3445,7.7851,2.8512,7.7851,7.9089,7.7851,6.785
7.8540,13.8907,7.8540,13.9725,7.8540,3.0652,7.8540,7.2991,7.8540,4.390
7.9229,12.5284,7.9229,14.6708,7.9229,5.2754,7.9229,6.2479,7.9229,3.121
7.9918,10.0427,7.9918,11.2448,7.9918,4.4195,7.9918,5.7755,7.9918,3.955
8.0607,12.0081,8.0607,7.0152,8.0607,4.5849,8.0607,3.6981,8.0607,4.174
8.1296,13.3937,8.1296,4.4317,8.1296,3.8628,8.1296,3.2001,8.1296,5.667
8.1984,12.3053,8.1984,3.1176,8.1984,6.4369,8.1984,2.8458,8.1984,5.684
8.2673,12.0960,8.2673,2.1034,8.2673,9.0715,8.2673,3.5441,8.2673,5.697
8.3362,10.4355,8.3362,3.0809,8.3362,11.6111,8.3362,5.1617,8.3362,6.863
8.4051,9.9574,8.4051,4.6897,8.4051,16.9944,8.4051,6.0856,8.4051,10.536
8.4740,7.3054,8.4740,6.0634,8.4740,24.0556,8.4740,5.5806,8.4740,10.411
8.5429,8.2754,8.5429,7.7328,8.5429,29.9056,8.5429,5.4503,8.5429,11.041
8.6118,7.7822,8.6118,9.2782,8.6118,38.7247,8.6118,5.6806,8.6118,10.266
8.6807,10.3340,8.6807,7.4479,8.6807,31.3493,8.6807,5.2874,8.6807,11.162
8.7496,11.2394,8.7496,5.2844,8.7496,25.4899,8.7496,7.7810,8.7496,13.428
8.8185,12.2356,8.8185,4.3069,8.8185,20.2188,8.8185,9.7987,8.8185,9.661
8.8874,17.0816,8.8874,2.8511,8.8874,16.6188,8.8874,14.2270,8.8874,9.774
8.9563,21.5908,8.9563,4.1279,8.9563,10.4957,8.9563,19.2980,8.9563,11.238
9.0252,30.8259,9.0252,3.7490,9.0252,5.9897,9.0252,23.5136,9.0252,13.471
9.0941,47.8103,9.0941,4.4297,9.0941,4.6733,9.0941,19.9610,9.0941,12.775
9.1630,59.9282,9.1630,2.2633,9.1630,4.5628,9.1630,16.5173,9.1630,13.010
9.2319,66.7042,9.2319,3.4823,9.2319,3.1629,9.2319,16.8560,9.2319,18.448
9.3008,60.6598,9.3008,3.5829,9.3008,3.4108,9.3008,14.8383,9.3008,26.626
9.3697,42.6288,9.3697,5.0907,9.3697,3.2220,9.3697,19.5026,9.3697,32.822
9.4385,23.7891,9.4385,4.7204,9.4385,2.7329,9.4385,26.4969,9.4385,32.614
9.5074,14.1487,9.5074,4.9459,9.5074,3.1579,9.5074,32.4272,9.5074,30.865
9.5763,11.0106,9.5763,4.7239,9.5763,3.0875,9.5763,35.6422,9.5763,35.629
9.6452,11.8576,9.6452,4.8042,9.6452,2.8395,9.6452,35.9994,9.6452,30.638
9.7141,11.8705,9.7141,4.8187,9.7141,2.9695,9.7141,35.5304,9.7141,26.976
9.7830,13.6541,9.7830,4.5808,9.7830,3.5182,9.7830,30.7577,9.7830,26.365
9.8519,8.8184,9.8519,3.7225,9.8519,4.8407,9.8519,29.1695,9.8519,20.761
9.9208,6.8713,9.9208,4.0049,9.9208,4.6927,9.9208,26.1212,9.9208,15.028
9.9897,2.6577,9.9897,4.9155,9.9897,5.4099,9.9897,21.7372,9.9897,11.187
10.0586,3.1367,10.0586,7.0695,10.0586,7.1765,10.0586,16.8344,10.0586,6.181
10.1275,3.6720,10.1275,11.3607,10.1275,9.2180,10.1275,14.0388,10.1275,5.483
10.1964,3.4657,10.1964,17.2770,10.1964,12.9267,10.1964,13.5220,10.1964,4.284
10.2653,2.9151,10.2653,23.1166,10.2653,15.2156,10.2653,12.8327,10.2653,5.938
10.3342,5.0968,10.3342,27.0831,10.3342,17.5882,10.3342,13.0222,10.3342,11.380
10.4031,7.6532,10.4031,35.9137,10.4031,14.9908,10.4031,11.9062,10.4031,20.525
10.4720,8.6390,10.4720,41.8757,10.4720,12.4112,10.4720,11.4891,10.4720,28.098
10.5409,9.4335,10.5409,39.8710,10.5409,10.0223,10.5409,10.2770,10.5409,29.334
10.6098,8.7732,10.6098,39.2306,10.6098,7.0368,10.6098,9.4207,10.6098,22.283
10.6786,7.7952,10.6786,38.1096,10.6786,5.3826,10.6786,7.0301,10.6786,13.297
10.7475,7.5277,10.7475,34.2536,10.7475,4.4474,10.7475,7.2702,10.7475,6.801
10.8164,6.0455,10.8164,35.1941,10.8164,4.7407,10.8164,4.3143,10.8164,5.300
10.8853,6.1766,10.8853,39.5645,10.8853,6.5374,10.8853,4.1176,10.8853,6.311
10.9542,6.5508,10.9542,46.7464,10.9542,7.6013,10.9542,3.5400,10.9542,7.232
11.0231,5.7469,11.0231,46.2796,11.0231,10.1642,11.0231,2.9385,11.0231,8.368
11.0920,4.6463,11.0920,45.6912,11.0920,17.9478,11.0920,2.7211,11.0920,8.041
11.1609,5.5847,11.1609,51.6695,11.1609,26.8477,11.1609,5.0345,11.1609,8.078
11.2298,5.4205,11.2298,56.9850,11.2298,36.2899,11.2298,7.3860,11.2298,7.548
11.2987,3.6403,11.2987,66.9882,11.2987,38.3349,11.2987,6.3468,11.2987,7.382
11.3676,3.0244,11.3676,65.2422,11.3676,28.0210,11.3676,6.0686,11.3676,5.595
11.4365,3.1810,11.4365,51.3630,11.4365,16.9511,11.4365,7.6436,11.4365,4.637
11.5054,5.1506,11.5054,34.6997,11.5054,8.2161,11.5054,6.2524,11.5054,7.487
11.5743,5.7004,11.5743,22.9522,11.5743,5.5735,11.5743,6.7272,11.5743,11.376
11.6432,9.8039,11.6432,13.0056,11.6432,2.7752,11.6432,6.1339,11.6432,14.915
11.7121,11.3543,11.7121,7.5034,11.7121,1.3508,11.7121,5.5855,11.7121,19.420
11.7810,13.8627,11.7810,5.2648,11.7810,1.2518,11.7810,4.6845,11.7810,17.026
11.8499,13.2146,11.8499,3.5408,11.8499,1.8126,11.8499,4.7843,11.8499,9.284
11.9187,13.2491,11.9187,2.4215,11.9187,1.7254,11.9187,3.7257,11.9187,4.828
11.9876,10.4914,11.9876,3.2043,11.9876,2.0005,11.9876,2.9603,11.9876,3.029
12.0565,8.4012,12.0565,3.9029,12.0565,2.4043,12.0565,2.1289,12.0565,2.270
12.1254,7.1141,12.1254,5.9317,12.1254,3.0921,12.1254,2.1812,12.1254,2.457
12.1943,5.3615,12.1943,8.3783,12.1943,4.9524,12.1943,2.8230,12.1943,1.933
12.2632,5.1352,12.2632,7.9439,12.2632,5.5714,12.2632,4.3518,12.2632,1.495
12.3321,6.0862,12.3321,5.9678,12.3321,7.8402,12.3321,7.7509,12.3321,1.062
12.4010,4.7349,12.4010,4.2317,12.4010,10.4243,12.4010,8.3900,12.4010,1.854
12.4699,6.1219,12.4699,4.2462,12.4699,11.7309,12.4699,10.8460,12.4699,1.862
12.5388,6.1139,12.5388,5.1968,12.5388,15.4447,12.5388,13.8416,12.5388,1.377
12.6077,6.5377,12.6077,3.0902,12.6077,18.6920,12.6077,20.9015,12.6077,2.525
12.6766,6.7490,12.6766,3.4891,12.6766,20.0391,12.6766,21.6802,12.6766,2.969
12.7455,6.1164,12.7455,3.6521,12.7455,23.0911,12.7455,15.2054,12.7455,2.320
12.8144,4.9825,12.8144,4.7481,12.8144,19.8072,12.8144,12.5214,12.8144,1.939
12.8833,5.4906,12.8833,4.4033,12.8833,16.2491,12.8833,8.3230,12.8833,2.394
12.9522,6.0051,12.9522,5.5300,12.9522,14.3472,12.9522,5.5369,12.9522,1.858
13.0211,5.8002,13.0211,5.6033,13.0211,12.2358,13.0211,4.4148,13.0211,2.478
13.0900,6.9001,13.0900,5.2580,13.0900,15.1343,13.0900,3.4756,13.0900,1.561
13.1588,7.1993,13.1588,3.5562,13.1588,12.5358,13.1588,2.7209,13.1588,1.503
13.2277,5.9818,13.2277,3.2878,13.2277,12.0631,13.2277,1.8000,13.2277,2.069
13.2966,5.2084,13.2966,2.4008,13.2966,14.8255,13.2966,1.5619,13.2966,2.161
13.3655,4.7393,13.3655,2.6492,13.3655,18.3607,13.3655,1.8241,13.3655,2.016
13.4344,5.6934,13.4344,3.2376,13.4344,13.5657,13.4344,1.5696,13.4344,3.917
13.5033,8.9166,13.5033,2.8301,13.5033,9.8149,13.5033,1.5332,13.5033,4.390
13.5722,12.7490,13.5722,2.3739,13.5722,7.5243,13.5722,2.2593,13.5722,3.735
13.6411,16.4542,13.6411,1.9219,13.6411,7.2502,13.6411,1.0836,13.6411,3.484
13.7100,17.9826,13.7100,1.9434,13.7100,6.4880,13.7100,1.0237,13.7100,4.225
13.7789,20.7596,13.7789,1.7142,13.7789,5.9347,13.7789,1.2558,13.7789,3.229
13.8478,25.8360,13.8478,2.0192,13.8478,2.9807,13.8478,2.3062,13.8478,3.001
13.9167,27.7519,13.9167,1.5194,13.9167,2.5997,13.9167,1.4955,13.9167,3.690
13.9856,36.4964,13.9856,1.6522,13.9856,2.5056,13.9856,2.6050,13.9856,3.667
14.0545,39.6963,14.0545,2.8033,14.0545,3.3126,14.0545,2.6271,14.0545,5.443
14.1234,42.1633,14.1234,2.4881,14.1234,3.9223,14.1234,3.9954,14.1234,9.366
14.1923,34.6932,14.1923,4.3206,14.1923,3.7781,14.1923,7.3322,14.1923,11.961
14.2612,29.0241,14.2612,5.4568,14.2612,5.5027,14.2612,8.8753,14.2612,11.498
14.3301,29.7925,14.3301,5.6302,14.3301,3.4534,14.3301,7.3520,14.3301,12.066
14.3989,29.0915,14.3989,5.2150,14.3989,3.3064,14.3989,6.4297,14.3989,17.427
14.4678,29.6836,14.4678,5.4395,14.4678,3.2290,14.4678,5.1652,14.4678,24.023
14.5367,29.4936,14.5367,6.2001,14.5367,4.1110,14.5367,3.6572,14.5367,27.406
14.6056,31.7500,14.6056,7.3538,14.6056,5.3630,14.6056,4.9376,14.6056,35.596
14.6745,27.4309,14.6745,6.9444,14.6745,4.7502,14.6745,5.6391,14.6745,39.197
14.7434,28.6139,14.7434,6.9416,14.7434,4.4263,14.7434,7.2332,14.7434,41.405
14.8123,26.5968,14.8123,7.0457,14.8123,5.1837,14.8123,12.1348,14.8123,44.439
14.8812,29.8651,14.8812,12.6573,14.8812,6.9987,14.8812,18.1204,14.8812,42.215
14.9501,28.7867,14.9501,16.2231,14.9501,5.9895,14.9501,21.7447,14.9501,35.869
15.0190,35.7831,15.0190,17.2420,15.0190,6.2567,15.0190,21.8470,15.0190,25.949
15.0879,32.6507,15.0879,24.9233,15.0879,8.3313,15.0879,16.9157,15.0879,18.629
15.1568,26.7807,15.1568,32.3846,15.1568,13.4143,15.1568,14.1545,15.1568,12.202
15.2257,15.0616,15.2257,41.1323,15.2257,13.3204,15.2257,13.3359,15.2257,10.700
15.2946,11.8786,15.2946,44.8878,15.2946,13.0084,15.2946,10.5543,15.2946,9.739
15.3635,6.7972,15.3635,34.9269,15.3635,13.1656,15.3635,9.7120,15.3635,11.931
15.4324,5.7069,15.4324,25.8623,15.4324,12.9648,15.4324,7.5655,15.4324,11.451
15.5013,5.1770,15.5013,17.2463,15.5013,11.7990,15.5013,4.9283,15.5013,9.953
15.5702,4.0664,15.5702,12.0018,15.5702,8.4476,15.5702,4.9539,15.5702,9.795
