Distance_(microns),Value,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5
0.0000,17.8670,0.0000,28.8800,0.0000,3.6398,0.0000,12.1533,0.0000,13.7167,0.0000,11.0528
0.0689,20.6579,0.0689,29.8610,0.0689,3.3264,0.0689,16.9744,0.0689,14.6708,0.0689,10.2540
0.1378,22.1246,0.1378,29.6425,0.1378,3.3131,0.1378,18.7433,0.1378,17.9984,0.1378,8.5186
0.2067,20.1042,0.2067,24.5912,0.2067,2.9062,0.2067,23.3037,0.2067,15.3585,0.2067,8.9678
0.2756,20.4832,0.2756,20.5119,0.2756,3.8005,0.2756,24.1816,0.2756,18.5345,0.2756,9.3186
0.3445,22.4910,0.3445,16.8343,0.3445,3.1322,0.3445,20.3232,0.3445,20.7154,0.3445,10.3671
0.4134,23.5788,0.4134,11.4300,0.4134,2.4872,0.4134,19.9720,0.4134,20.0117,0.4134,13.5760
0.4823,27.6021,0.4823,7.4499,0.4823,2.0717,0.4823,16.4800,0.4823,22.1465,0.4823,11.4353
0.5512,33.4406,0.5512,8.6275,0.5512,2.2554,0.5512,17.1936,0.5512,19.0403,0.5512,12.1350
0.6201,30.0500,0.6201,6.7944,0.6201,2.9777,0.6201,24.9248,0.6201,13.0806,0.6201,13.4373
0.6889,21.9971,0.6889,5.9815,0.6889,2.8251,0.6889,37.6577,0.6889,11.6803,0.6889,12.6654
0.7578,22.6136,0.7578,4.1943,0.7578,3.4165,0.7578,43.1084,0.7578,5.2805,0.7578,11.9072
0.8267,20.4821,0.8267,4.2613,0.8267,2.4299,0.8267,50.5582,0.8267,6.2472,0.8267,10.3972
0.8956,18.0138,0.8956,5.2519,0.8956,2.7922,0.8956,51.1499,0.8956,6.9521,0.8956,7.8360
0.9645,23.5077,0.9645,5.0153,0.9645,3.2583,0.9645,52.3595,0.9645,6.8440,0.9645,5.8888
1.0334,26.4455,1.0334,8.2476,1.0334,3.1078,1.0334,56.3423,1.0334,7.8176,1.0334,8.0844
1.1023,23.5905,1.1023,9.5729,1.1023,4.2463,1.1023,51.2083,1.1023,10.1013,1.1023,10.3208
1.1712,21.1557,1.1712,9.9836,1.1712,4.9618,1.1712,40.7125,1.1712,9.1657,1.1712,11.1902
1.2401,20.6114,1.2401,13.8491,1.2401,6.1010,1.2401,30.7599,1.2401,9.7882,1.2401,13.9331
1.3090,24.7980,1.3090,13.2285,1.3090,6.0543,1.3090,21.7063,1.3090,7.6340,1.3090,16.6720
1.3779,28.3239,1.3779,13.1248,1.3779,4.7059,1.3779,13.7096,1.3779,7.3301,1.3779,19.3376
1.4468,27.0835,1.4468,10.3139,1.4468,5.2909,1.4468,8.1732,1.4468,12.6839,1.4468,18.7109
1.5157,25.6533,1.5157,9.6309,1.5157,6.6326,1.5157,8.1387,1.5157,16.9778,1.5157,16.9286
1.5846,22.8538,1.5846,10.4092,1.5846,9.3642,1.5846,12.2950,1.5846,17.7172,1.5846,17.1023
1.6535,17.9783,1.6535,12.6764,1.6535,10.5083,1.6535,16.2846,1.6535,16.6375,1.6535,16.0472
1.7224,11.7785,1.7224,13.2579,1.7224,8.5665,1.7224,19.1882,1.7224,9.1603,1.7224,14.6232
1.7913,7.7177,1.7913,11.4028,1.7913,8.4455,1.7913,21.6240,1.7913,8.5588,1.7913,11.8798
1.8602,5.8504,1.8602,8.8511,1.8602,6.0850,1.8602,17.2104,1.8602,5.1094,1.8602,11.2922
1.9290,4.6764,1.9290,8.3910,1.9290,4.6441,1.9290,8.9850,1.9290,4.6896,1.9290,10.9853
1.9979,9.1046,1.9979,9.0015,1.9979,3.7682,1.9979,6.3236,1.9979,4.1842,1.9979,11.7239
2.0668,10.1318,2.0668,10.0747,2.0668,5.0208,2.0668,9.1216,2.0668,3.2450,2.0668,10.7509
2.1357,8.4023,2.1357,12.0457,2.1357,6.4513,2.1357,11.3843,2.1357,4.4290,2.1357,9.6760
2.2046,3.7979,2.2046,12.9041,2.2046,6.2197,2.2046,12.4326,2.2046,5.0541,2.2046,9.0709
2.2735,2.8729,2.2735,14.9593,2.2735,5.6837,2.2735,13.2782,2.2735,7.7085,2.2735,8.9272
2.3424,3.6070,2.3424,11.5657,2.3424,5.6030,2.3424,15.3561,2.3424,8.2069,2.3424,9.1218
2.4113,2.2376,2.4113,11.9657,2.4113,6.3011,2.4113,17.2722,2.4113,7.9489,2.4113,8.4708
