X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4
0.0000,4.5929,0.0000,2.3672,0.0000,3.4088,0.0000,1.7299,0.0000,3.0114
0.0689,5.6881,0.0689,2.6992,0.0689,5.5999,0.0689,2.5020,0.0689,2.8385
0.1378,5.7690,0.1378,2.3870,0.1378,6.3295,0.1378,3.0762,0.1378,3.1880
0.2067,4.8067,0.2067,2.4001,0.2067,8.3637,0.2067,3.8017,0.2067,4.5428
0.2756,4.5436,0.2756,2.9492,0.2756,9.3254,0.2756,6.6920,0.2756,4.8432
0.3445,5.1512,0.3445,3.1624,0.3445,7.4409,0.3445,7.6887,0.3445,4.1615
0.4134,4.4607,0.4134,3.0339,0.4134,6.1299,0.4134,8.7496,0.4134,3.8285
0.4823,3.9483,0.4823,3.1377,0.4823,4.0234,0.4823,7.8735,0.4823,2.8593
0.5512,3.9997,0.5512,2.6573,0.5512,2.9864,0.5512,6.5519,0.5512,2.6589
0.6201,4.5143,0.6201,2.9903,0.6201,2.9496,0.6201,5.9332,0.6201,2.5237
0.6889,3.8283,0.6889,3.0469,0.6889,3.4108,0.6889,3.7990,0.6889,2.2427
0.7578,4.9233,0.7578,2.9496,0.7578,3.0282,0.7578,4.6822,0.7578,2.7453
0.8267,3.3964,0.8267,4.3949,0.8267,2.5281,0.8267,5.3725,0.8267,1.6232
0.8956,2.9092,0.8956,3.6934,0.8956,1.5747,0.8956,5.0452,0.8956,2.0049
0.9645,3.0431,0.9645,3.7570,0.9645,1.5586,0.9645,5.4299,0.9645,2.4847
1.0334,3.4322,1.0334,3.0368,1.0334,1.9090,1.0334,5.6382,1.0334,2.8172
1.1023,2.8984,1.1023,2.7311,1.1023,1.9857,1.1023,4.8692,1.1023,3.0467
1.1712,3.6748,1.1712,2.5967,1.1712,2.4631,1.1712,3.8744,1.1712,2.3693
1.2401,3.0723,1.2401,2.4409,1.2401,3.3506,1.2401,4.6853,1.2401,3.4109
1.3090,4.2853,1.3090,3.6640,1.3090,3.9133,1.3090,4.3561,1.3090,2.7865
