X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4
0.0000,13.7920,0.0000,44.3647,0.0000,13.2212,0.0000,3.4861,0.0000,11.086
0.0689,9.3307,0.0689,51.8880,0.0689,26.0075,0.0689,2.9441,0.0689,13.850
0.1378,7.3035,0.1378,50.3846,0.1378,22.0213,0.1378,2.4827,0.1378,16.599
0.2067,6.8975,0.2067,41.3297,0.2067,31.5664,0.2067,1.9383,0.2067,18.422
0.2756,9.8318,0.2756,31.9875,0.2756,45.2566,0.2756,1.6738,0.2756,15.886
0.3445,13.8479,0.3445,24.3755,0.3445,39.3534,0.3445,2.1198,0.3445,9.115
0.4134,16.5437,0.4134,17.7576,0.4134,25.5008,0.4134,5.6357,0.4134,5.190
0.4823,17.2245,0.4823,9.7484,0.4823,16.0531,0.4823,9.4220,0.4823,5.479
0.5512,15.2056,0.5512,9.3030,0.5512,12.3756,0.5512,8.3382,0.5512,4.923
0.6201,9.4005,0.6201,9.4386,0.6201,13.8167,0.6201,6.1070,0.6201,3.985
0.6889,6.6390,0.6889,6.7634,0.6889,14.9819,0.6889,5.5763,0.6889,5.122
0.7578,7.2142,0.7578,5.8941,0.7578,17.5931,0.7578,5.6635,0.7578,5.011
0.8267,5.7025,0.8267,4.3431,0.8267,17.2170,0.8267,6.0639,0.8267,6.339
0.8956,4.8905,0.8956,3.3398,0.8956,19.6407,0.8956,8.8151,0.8956,9.513
0.9645,4.7552,0.9645,3.1925,0.9645,22.2041,0.9645,10.8109,0.9645,8.595
1.0334,5.2161,1.0334,2.7472,1.0334,24.4286,1.0334,17.9768,1.0334,7.144
1.1023,4.2579,1.1023,3.0066,1.1023,19.6561,1.1023,32.0637,1.1023,4.454
1.1712,3.8441,1.1712,4.3425,1.1712,11.9927,1.1712,40.4223,1.1712,4.034
1.2401,1.5756,1.2401,4.0119,1.2401,10.0400,1.2401,36.7965,1.2401,5.120
1.3090,1.1543,1.3090,3.2335,1.3090,11.9531,1.3090,27.6928,1.3090,3.932
1.3779,2.2299,1.3779,2.2334,1.3779,11.8340,1.3779,20.6313,1.3779,2.917
1.4468,1.5189,1.4468,3.1896,1.4468,9.6952,1.4468,14.4805,1.4468,3.478
