X0,Y0,X1,Y1,X2,Y2,X3,Y3
0.0000,3.53286,0.0000,0.64650,0.0000,1.65654,0.0000,1.49902
0.0689,3.64522,0.0689,0.89040,0.0689,1.53871,0.0689,2.51686
0.1378,3.19837,0.1378,1.31060,0.1378,1.84608,0.1378,3.84414
0.2067,3.24876,0.2067,0.92243,0.2067,2.87646,0.2067,4.14087
0.2756,2.66334,0.2756,1.14142,0.2756,3.41448,0.2756,3.88771
0.3445,2.32277,0.3445,1.21637,0.3445,4.55862,0.3445,3.74938
0.4134,2.44148,0.4134,1.64130,0.4134,3.35412,0.4134,3.27557
0.4823,1.75645,0.4823,2.05020,0.4823,3.05824,0.4823,4.00278
0.5512,1.36445,0.5512,1.86646,0.5512,1.88013,0.5512,3.65498
0.6201,1.32130,0.6201,2.41869,0.6201,2.19569,0.6201,2.49203
0.6889,1.06149,0.6889,2.70449,0.6889,1.61121,0.6889,3.14649
0.7578,1.55595,0.7578,1.80842,0.7578,1.46974,0.7578,2.93208
0.8267,1.38901,0.8267,1.35623,0.8267,2.13564,0.8267,2.90082
0.8956,1.23694,0.8956,0.86759,0.8956,1.34780,0.8956,2.28144
0.9645,1.21815,0.9645,1.35080,0.9645,1.57775,0.9645,2.30691
1.0334,1.40606,1.0334,1.58974,1.0334,2.26468,1.0334,2.78002
1.1023,1.28678,1.1023,1.98251,1.1023,2.06399,1.1023,2.86233
1.1712,1.40051,1.1712,2.06588,1.1712,1.68622,1.1712,3.02780
1.2401,1.30272,1.2401,1.95385,1.2401,1.73187,1.2401,2.28298
1.3090,1.08643,1.3090,1.65925,1.3090,2.11908,1.3090,2.79993
1.3779,0.78733,1.3779,1.09780,1.3779,2.68561,1.3779,2.92277
1.4468,0.42302,1.4468,1.20244,1.4468,2.44268,1.4468,2.32946
1.5157,0.46039,1.5157,1.37949,1.5157,3.06446,1.5157,2.32324
1.5846,0.58012,1.5846,1.27960,1.5846,2.04619,1.5846,2.26769
1.6535,0.45334,1.6535,0.90966,1.6535,2.32671,1.6535,2.82250
1.7224,0.85885,1.7224,1.23554,1.7224,2.50267,1.7224,2.36454
1.7913,1.00707,1.7913,0.75361,1.7913,2.05099,1.7913,2.91224
1.8602,0.44743,1.8602,0.61584,1.8602,1.93670,1.8602,1.68436
1.9290,1.01844,1.9290,1.52702,1.9290,1.11366,1.9290,1.40950
1.9979,0.90764,1.9979,2.87327,1.9979,1.15749,1.9979,1.59654
2.0668,1.22911,2.0668,5.30279,2.0668,1.26431,2.0668,1.12579
2.1357,0.72344,2.1357,7.27476,2.1357,1.49165,2.1357,1.17826
2.2046,0.87070,2.2046,6.50284,2.2046,1.89527,2.2046,1.81612
2.2735,1.56773,2.2735,5.94156,2.2735,1.50892,2.2735,2.04979
2.3424,1.28253,2.3424,4.40869,2.3424,1.95810,2.3424,1.09696
2.4113,0.79519,2.4113,2.76878,2.4113,1.58774,2.4113,1.75703
2.4802,0.71270,2.4802,2.65792,2.4802,2.00156,2.4802,1.55777
2.5491,1.56058,2.5491,1.86880,2.5491,2.38523,2.5491,1.36709
2.6180,1.19277,2.6180,2.31787,2.6180,2.23710,2.6180,1.89895
2.6869,1.37137,2.6869,2.02875,2.6869,1.55040,2.6869,1.80523
2.7558,1.12775,2.7558,2.37923,2.7558,1.35392,2.7558,1.45794
2.8247,0.67912,2.8247,1.94369,2.8247,0.95788,2.8247,1.05122
2.8936,0.83313,2.8936,2.07881,2.8936,1.55001,2.8936,0.90062
2.9625,0.77269,2.9625,2.12304,2.9625,1.55710,2.9625,1.16497
3.0314,0.81678,3.0314,2.00859,3.0314,1.79693,3.0314,1.75700
3.1003,0.74568,3.1003,2.18461,3.1003,2.23314,3.1003,1.53043
3.1691,1.12500,3.1691,2.28633,3.1691,1.41443,3.1691,1.53808
3.2380,1.05187,3.2380,2.55598,3.2380,1.69643,3.2380,1.06388
3.3069,1.02663,3.3069,2.42828,3.3069,1.76128,3.3069,1.69176
3.3758,1.15017,3.3758,2.65528,3.3758,2.37859,3.3758,1.99783
3.4447,1.63019,3.4447,2.55315,3.4447,2.27355,3.4447,2.29633
3.5136,1.29149,3.5136,2.48431,3.5136,1.80644,3.5136,2.31502
3.5825,1.29644,3.5825,1.83638,3.5825,1.41488,3.5825,2.34149
3.6514,1.35146,3.6514,1.74067,3.6514,1.40121,3.6514,1.33556
3.7203,1.00532,3.7203,2.47892,3.7203,1.84203,3.7203,1.14229
3.7892,0.90534,3.7892,1.91572,3.7892,1.56710,3.7892,1.22539
3.8581,1.27340,3.8581,1.94285,3.8581,1.55556,3.8581,1.31282
3.9270,1.38229,3.9270,1.98821,3.9270,1.03190,3.9270,1.79590
3.9959,0.98272,3.9959,1.91736,3.9959,1.65456,3.9959,1.87371
4.0648,1.69266,4.0648,2.13023,4.0648,1.29517,4.0648,1.88414
4.1337,1.10187,4.1337,1.36559,4.1337,1.61316,4.1337,1.69502
4.2026,1.42800,4.2026,1.87249,4.2026,2.17844,4.2026,1.84653
4.2715,1.18155,4.2715,2.23714,4.2715,1.60859,4.2715,1.59279
4.3404,0.60472,4.3404,2.34994,4.3404,1.93173,4.3404,2.19826
4.4092,0.86083,4.4092,2.22078,4.4092,2.77738,4.4092,1.78726
4.4781,1.09509,4.4781,1.93479,4.4781,2.74305,4.4781,1.70754
4.5470,1.15826,4.5470,2.18398,4.5470,2.37799,4.5470,2.76507
4.6159,1.10567,4.6159,2.23946,4.6159,2.42215,4.6159,2.46934
4.6848,0.96385,4.6848,2.52189,4.6848,2.67731,4.6848,2.65823
4.7537,0.98426,4.7537,2.98878,4.7537,1.88041,4.7537,1.89869
4.8226,1.16130,4.8226,2.92488,4.8226,2.04884,4.8226,1.13177
4.8915,1.12080,4.8915,2.90289,4.8915,1.86164,4.8915,1.74654
4.9604,0.85534,4.9604,3.50822,4.9604,1.62125,4.9604,1.32429
5.0293,1.06141,5.0293,3.17585,5.0293,1.54169,5.0293,1.90908
5.0982,1.29169,5.0982,2.14521,5.0982,1.83880,5.0982,1.90928
5.1671,1.44829,5.1671,2.08094,5.1671,2.06130,5.1671,1.73179
5.2360,1.25354,5.2360,1.74448,5.2360,1.89207,5.2360,1.71145
5.3049,0.97639,5.3049,1.73744,5.3049,1.30899,5.3049,1.76767
5.3738,0.49739,5.3738,2.32657,5.3738,0.95471,5.3738,1.75030
5.4427,0.23337,5.4427,2.75053,5.4427,1.12117,5.4427,2.30563
5.5116,0.75415,5.5116,2.55487,5.5116,1.30785,5.5116,1.94942
5.5805,0.39455,5.5805,1.87939,5.5805,1.14329,5.5805,1.89458
5.6493,0.38462,5.6493,0.70900,5.6493,1.31559,5.6493,1.86922
5.7182,1.14292,5.7182,0.94285,5.7182,1.37447,5.7182,1.68948
5.7871,1.61702,5.7871,1.41501,5.7871,1.06231,5.7871,2.30121
5.8560,1.10147,5.8560,1.52301,5.8560,1.76912,5.8560,2.51096
5.9249,1.47850,5.9249,1.85223,5.9249,2.24266,5.9249,3.66605
5.9938,1.23518,5.9938,2.52544,5.9938,2.14934,5.9938,4.88453
6.0627,1.12336,6.0627,2.85465,6.0627,1.70176,6.0627,5.41572
6.1316,0.84407,6.1316,2.45867,6.1316,1.84043,6.1316,6.34111
6.2005,1.06484,6.2005,2.69876,6.2005,1.65550,6.2005,5.77310
6.2694,0.79297,6.2694,3.37430,6.2694,1.69056,6.2694,3.82819
6.3383,1.02872,6.3383,3.45302,6.3383,1.30343,6.3383,3.30033
6.4072,1.41391,6.4072,2.61460,6.4072,1.31706,6.4072,3.55164
6.4761,0.88931,6.4761,2.21566,6.4761,1.38906,6.4761,2.80066
6.5450,0.84278,6.5450,1.56504,6.5450,1.30556,6.5450,2.66869
6.6139,1.85533,6.6139,1.55932,6.6139,0.95135,6.6139,3.52074
6.6828,1.50008,6.6828,1.99209,6.6828,1.09131,6.6828,3.56014
6.7517,1.82063,6.7517,1.09250,6.7517,1.05153,6.7517,2.56952
6.8206,1.23804,6.8206,2.01207,6.8206,1.87045,6.8206,3.03012
6.8895,1.28333,6.8895,1.04581,6.8895,2.29930,6.8895,3.51757
6.9583,1.64362,6.9583,1.39028,6.9583,1.71438,6.9583,2.63430
7.0272,1.85720,7.0272,1.65467,7.0272,1.82207,7.0272,2.73453
7.0961,1.41593,7.0961,1.96337,7.0961,1.21887,7.0961,2.97395
7.1650,1.35123,7.1650,1.37541,7.1650,0.91228,7.1650,2.53662
7.2339,1.22078,7.2339,1.98196,7.2339,1.23349,7.2339,1.69063
7.3028,1.41223,7.3028,2.25693,7.3028,1.13658,7.3028,2.31742
7.3717,1.31782,7.3717,2.35534,7.3717,0.89142,7.3717,2.15991
7.4406,1.42196,7.4406,2.97705,7.4406,1.13338,7.4406,2.25815
7.5095,2.42622,7.5095,2.98930,7.5095,0.93448,7.5095,3.49355
7.5784,2.89225,7.5784,3.39293,7.5784,0.76203,7.5784,4.23771
7.6473,2.78533,7.6473,3.72911,7.6473,0.68111,7.6473,4.65525
7.7162,1.97661,7.7162,4.06415,7.7162,0.60339,7.7162,4.17153
7.7851,1.72462,7.7851,4.03711,7.7851,0.94341,7.7851,3.13207
7.8540,1.54576,7.8540,4.16071,7.8540,0.91548,7.8540,2.26482
7.9229,1.02735,7.9229,5.11993,7.9229,1.09732,7.9229,1.80354
7.9918,1.29953,7.9918,5.03057,7.9918,1.73666,7.9918,1.13103
8.0607,1.38317,8.0607,4.29036,8.0607,1.70750,8.0607,0.80875
8.1296,1.92300,8.1296,3.72670,8.1296,1.38274,8.1296,0.67966
