X0,Y0,X1,Y1,X2,Y2,X3,Y3
0.0000,6.2010,0.0000,23.8949,0.0000,11.7008,0.0000,6.5642
0.0689,9.5534,0.0689,14.5449,0.0689,6.9211,0.0689,6.6686
0.1378,11.0443,0.1378,6.3817,0.1378,5.8294,0.1378,7.0704
0.2067,10.9832,0.2067,3.0592,0.2067,6.8632,0.2067,13.7930
0.2756,7.1039,0.2756,2.0828,0.2756,8.3960,0.2756,24.6380
0.3445,3.0808,0.3445,4.6075,0.3445,7.4695,0.3445,31.8046
0.4134,3.0355,0.4134,6.7475,0.4134,7.8962,0.4134,26.1691
0.4823,4.7707,0.4823,10.3982,0.4823,9.9432,0.4823,15.9758
0.5512,6.6974,0.5512,16.5861,0.5512,9.0498,0.5512,11.0550
0.6201,7.3771,0.6201,16.7616,0.6201,10.6061,0.6201,12.0221
0.6889,4.9299,0.6889,15.3138,0.6889,10.9617,0.6889,17.2476
0.7578,2.8518,0.7578,15.0849,0.7578,11.7255,0.7578,23.9527
0.8267,1.6012,0.8267,12.6757,0.8267,10.8339,0.8267,28.6053
0.8956,1.5088,0.8956,7.6751,0.8956,11.9576,0.8956,33.8490
0.9645,2.2365,0.9645,4.8387,0.9645,12.8920,0.9645,34.3092
1.0334,2.8215,1.0334,2.1659,1.0334,12.2052,1.0334,27.7141
1.1023,5.0088,1.1023,2.4001,1.1023,9.7564,1.1023,20.1615
1.1712,7.6877,1.1712,1.4757,1.1712,5.7540,1.1712,20.9354
1.2401,14.2228,1.2401,1.6282,1.2401,2.9415,1.2401,20.3713
1.3090,24.5226,1.3090,1.4842,1.3090,2.5423,1.3090,14.5780
1.3779,27.2067,1.3779,1.9984,1.3779,2.3788,1.3779,8.3473
1.4468,23.9124,1.4468,3.6473,1.4468,1.9443,1.4468,8.0046
1.5157,21.8101,1.5157,4.4021,1.5157,3.0174,1.5157,10.4204
1.5846,14.6552,1.5846,4.1047,1.5846,3.9822,1.5846,11.5803
1.6535,12.0438,1.6535,3.6043,1.6535,4.5999,1.6535,11.1356
1.7224,7.9996,1.7224,4.3048,1.7224,6.1505,1.7224,8.0966
1.7913,6.2792,1.7913,4.0929,1.7913,6.0115,1.7913,7.7348
1.8602,5.2811,1.8602,6.0882,1.8602,7.5044,1.8602,7.1122
1.9290,3.4110,1.9290,6.3159,1.9290,11.7484,1.9290,6.0809
1.9979,2.9227,1.9979,4.4951,1.9979,12.6507,1.9979,9.7262
2.0668,3.3541,2.0668,4.0305,2.0668,10.7212,2.0668,12.2471
2.1357,5.1498,2.1357,3.6443,2.1357,5.2292,2.1357,14.7949
2.2046,5.1888,2.2046,2.3578,2.2046,3.7596,2.2046,15.4047
2.2735,4.2906,2.2735,2.6044,2.2735,3.5227,2.2735,13.2106
2.3424,3.8227,2.3424,3.5034,2.3424,1.9734,2.3424,12.1331
2.4113,5.3661,2.4113,4.6445,2.4113,3.4807,2.4113,10.0561
2.4802,7.8247,2.4802,7.8188,2.4802,2.4644,2.4802,7.7434
2.5491,10.0138,2.5491,11.0137,2.5491,3.7592,2.5491,8.7793
2.6180,12.2886,2.6180,17.6383,2.6180,5.6111,2.6180,8.8024
2.6869,10.5102,2.6869,23.8399,2.6869,6.0612,2.6869,9.2445
2.7558,11.0624,2.7558,34.2296,2.7558,4.9083,2.7558,9.1994
2.8247,13.4779,2.8247,49.2368,2.8247,3.2190,2.8247,9.3716
2.8936,14.9452,2.8936,63.1146,2.8936,3.4582,2.8936,11.9898
2.9625,15.4529,2.9625,67.7624,2.9625,1.8638,2.9625,13.8119
3.0314,11.4405,3.0314,53.3671,3.0314,1.6498,3.0314,16.2979
3.1003,11.1890,3.1003,37.1049,3.1003,1.9634,3.1003,21.0220
3.1691,12.7303,3.1691,20.5334,3.1691,4.0195,3.1691,23.2412
