X0,Y0,X1,Y1,X2,Y2
0.000,2.30944,0.0000,2.83313,0.0000,4.17927
0.069,3.20693,0.0689,4.43267,0.0689,5.28313
0.138,3.37918,0.1378,4.56974,0.1378,5.87236
0.207,4.48776,0.2067,3.64845,0.2067,7.17982
0.276,4.42652,0.2756,2.81639,0.2756,5.86337
0.344,5.58445,0.3445,3.69960,0.3445,5.20164
0.413,4.37886,0.4134,3.36253,0.4134,3.12006
0.482,4.31666,0.4823,2.75042,0.4823,3.13589
0.551,2.88079,0.5512,2.37986,0.5512,2.00427
0.620,3.19556,0.6201,1.94788,0.6201,2.05924
0.689,3.56352,0.6889,1.43317,0.6889,1.46065
0.758,3.24088,0.7578,1.39577,0.7578,0.97663
0.827,2.74047,0.8267,1.26895,0.8267,0.95978
0.896,2.50692,0.8956,1.93192,0.8956,1.08503
0.965,2.66603,0.9645,2.23264,0.9645,1.25765
1.033,1.26687,1.0334,2.31961,1.0334,1.30014
1.102,1.41388,1.1023,1.27257,1.1023,1.18279
1.171,1.29820,1.1712,1.06424,1.1712,1.68178
1.240,0.81869,1.2401,0.77487,1.2401,1.30979
1.309,1.69494,1.3090,1.47116,1.3090,0.99722
1.378,1.77480,1.3779,1.64394,1.3779,1.11514
1.447,1.33485,1.4468,0.95866,1.4468,1.39710
1.516,1.46867,1.5157,1.31664,1.5157,2.45561
1.585,1.43861,1.5846,1.52085,1.5846,2.71220
1.653,1.09247,1.6535,1.61750,1.6535,1.63481
1.722,1.12367,1.7224,1.56451,1.7224,1.36014
1.791,1.14828,1.7913,1.03990,1.7913,1.19147
1.860,1.13766,1.8602,0.59327,1.8602,0.70502
1.929,1.61936,1.9290,1.23301,1.9290,0.48427
1.998,1.59917,1.9979,1.56290,1.9979,0.94676
2.067,2.07844,2.0668,2.40214,2.0668,1.07978
2.136,3.19435,2.1357,2.29599,2.1357,1.46447
2.205,3.24010,2.2046,1.94098,2.2046,1.08055
2.274,2.72861,2.2735,1.52318,2.2735,1.18524
2.342,2.99442,2.3424,1.51321,2.3424,1.08056
2.411,2.63774,2.4113,0.98483,2.4113,0.73614
2.480,1.85878,2.4802,0.68156,2.4802,1.54750
2.549,1.19425,2.5491,1.18375,2.5491,1.57537
2.618,1.57826,2.6180,0.94925,2.6180,1.72446
2.687,1.71998,2.6869,1.31089,2.6869,0.76953
2.756,1.76618,2.7558,1.47237,2.7558,0.60426
2.825,1.87338,2.8247,1.29584,2.8247,0.36776
2.894,1.81980,2.8936,2.05860,2.8936,0.53348
2.962,1.66010,2.9625,2.27476,2.9625,0.68252
3.031,1.82248,3.0314,2.61811,3.0314,0.48155
3.100,0.78793,3.1003,2.12232,3.1003,0.88432
3.169,1.09355,3.1691,2.08260,3.1691,0.97618
3.238,1.23570,3.2380,2.36158,3.2380,1.02978
3.307,1.33303,3.3069,1.66725,3.3069,1.35396
3.376,1.53323,3.3758,0.75994,3.3758,1.82667
3.445,1.79588,3.4447,1.29796,3.4447,1.76052
3.514,1.95694,3.5136,1.64667,3.5136,1.77411
3.583,1.86386,3.5825,1.57186,3.5825,1.97497
3.651,2.40501,3.6514,1.50112,3.6514,1.63082
3.720,2.32249,3.7203,1.77254,3.7203,1.40491
3.789,1.61600,3.7892,2.04862,3.7892,1.39066
3.858,2.45539,3.8581,2.40262,3.8581,1.05721
3.927,2.37244,3.9270,3.65499,3.9270,1.49419
3.996,2.17868,3.9959,3.50280,3.9959,1.67231
4.065,1.59835,4.0648,4.43169,4.0648,1.17218
4.134,1.41356,4.1337,4.71072,4.1337,0.91328
4.203,1.24612,4.2026,3.57295,4.2026,1.14395
4.271,1.55531,4.2715,2.72494,4.2715,1.87638
4.340,1.48175,4.3404,3.38402,4.3404,1.81697
4.409,1.95461,4.4092,3.39266,4.4092,2.17830
4.478,1.98446,4.4781,3.72969,4.4781,1.21906
4.547,1.90028,4.5470,5.05766,4.5470,0.88323
4.616,1.67998,4.6159,4.35854,4.6159,0.56929
4.685,1.90752,4.6848,3.71976,4.6848,0.48168
4.754,3.25523,4.7537,2.53276,4.7537,1.15692
4.823,3.95866,4.8226,2.06136,4.8226,1.53024
4.892,4.41916,4.8915,1.76000,4.8915,2.17401
4.960,3.84754,4.9604,1.69884,4.9604,2.84520
5.029,2.89421,5.0293,1.65655,5.0293,2.50849
5.098,2.32013,5.0982,1.67081,5.0982,2.30577
5.167,2.39662,5.1671,2.37308,5.1671,2.27108
5.236,2.19673,5.2360,2.27372,5.2360,3.60137
5.305,1.86442,5.3049,1.48845,5.3049,3.17397
5.374,1.98946,5.3738,1.93478,5.3738,2.28686
5.443,1.23191,5.4427,2.31961,5.4427,2.58208
5.512,0.84009,5.5116,2.33853,5.5116,2.45134
5.580,1.14272,5.5805,1.93326,5.5805,2.73035
5.649,1.04568,5.6493,1.20344,5.6493,2.09906
5.718,0.78565,5.7182,0.70695,5.7182,2.28516
5.787,0.88075,5.7871,0.75439,5.7871,1.61964
5.856,0.80451,5.8560,1.04828,5.8560,1.57449
5.925,1.99044,5.9249,1.50013,5.9249,1.13083
5.994,2.45025,5.9938,0.85228,5.9938,1.62369
6.063,2.78197,6.0627,1.00099,6.0627,1.26549
6.132,2.85720,6.1316,1.24818,6.1316,1.74930
6.201,2.55654,6.2005,1.25787,6.2005,2.26094
6.269,3.03426,6.2694,2.01398,6.2694,2.53766
6.338,3.51954,6.3383,1.25575,6.3383,2.04084
6.407,2.89993,6.4072,1.25154,6.4072,1.13843
6.476,2.12023,6.4761,1.23598,6.4761,0.92267
6.545,3.31982,6.5450,1.48472,6.5450,1.14766
6.614,4.12800,6.6139,1.40931,6.6139,0.81026
6.683,3.83409,6.6828,1.84718,6.6828,1.35960
6.752,2.98379,6.7517,1.57451,6.7517,1.70959
6.821,2.52748,6.8206,1.99364,6.8206,0.75777
6.889,2.67639,6.8895,2.75086,6.8895,1.15872
6.958,2.98320,6.9583,3.93167,6.9583,1.43979
7.027,3.76015,7.0272,3.96098,7.0272,1.51490
7.096,3.90107,7.0961,2.75075,7.0961,2.10292
7.165,3.81134,7.1650,2.27869,7.1650,2.63170
7.234,3.74654,7.2339,3.30682,7.2339,3.50913
7.303,2.89501,7.3028,2.85994,7.3028,2.45656
7.372,1.46366,7.3717,2.47863,7.3717,2.88798
7.441,1.17073,7.4406,2.99212,7.4406,1.75314
7.510,1.10258,7.5095,2.74809,7.5095,1.59963
7.578,1.52855,7.5784,2.37971,7.5784,1.74026
7.647,0.79117,7.6473,2.78195,7.6473,1.53794
7.716,0.49849,7.7162,3.14125,7.7162,2.00293
