X0,Y0,X1,Y1,X2,Y2
0.000,17.5203,0.0000,35.0299,0.0000,29.4367
0.069,19.6274,0.0689,24.7036,0.0689,34.9866
0.138,26.8172,0.1378,20.4870,0.1378,39.8437
0.207,38.5085,0.2067,23.5344,0.2067,40.7232
0.276,41.9143,0.2756,17.7318,0.2756,37.0137
0.344,33.2480,0.3445,11.2231,0.3445,33.7887
0.413,28.8275,0.4134,10.5243,0.4134,26.6429
0.482,23.6112,0.4823,13.7663,0.4823,20.6551
0.551,18.4548,0.5512,15.6437,0.5512,15.3414
0.620,16.4340,0.6201,14.5613,0.6201,12.5763
0.689,17.1139,0.6889,13.0660,0.6889,6.7454
0.758,13.6087,0.7578,15.2608,0.7578,5.1373
0.827,8.3287,0.8267,13.2060,0.8267,4.6825
0.896,7.5048,0.8956,12.4658,0.8956,4.9809
0.965,8.1266,0.9645,7.7219,0.9645,7.0480
1.033,7.1492,1.0334,4.4434,1.0334,9.7037
1.102,4.6640,1.1023,3.6853,1.1023,12.0087
1.171,3.5488,1.1712,4.1158,1.1712,12.1596
1.240,1.9183,1.2401,5.1730,1.2401,12.6044
1.309,2.2248,1.3090,4.4170,1.3090,10.2375
1.378,5.0580,1.3779,6.0734,1.3779,8.8894
1.447,7.1889,1.4468,8.4610,1.4468,9.0903
1.516,6.6060,1.5157,12.1352,1.5157,8.4875
1.585,6.8881,1.5846,11.5238,1.5846,5.7080
1.653,4.2480,1.6535,10.2723,1.6535,4.9079
1.722,2.3620,1.7224,8.5912,1.7224,4.6271
1.791,3.8736,1.7913,5.8941,1.7913,4.4079
1.860,6.8674,1.8602,7.3028,1.8602,3.5942
1.929,13.6670,1.9290,8.3176,1.9290,4.1387
1.998,28.2661,1.9979,10.2403,1.9979,2.3167
2.067,38.8979,2.0668,10.6596,2.0668,3.2431
2.136,41.7591,2.1357,8.5371,2.1357,2.6621
2.205,44.4825,2.2046,5.4614,2.2046,2.7381
2.274,35.5619,2.2735,4.6226,2.2735,2.8625
2.342,27.3440,2.3424,4.7616,2.3424,4.5234
2.411,21.6848,2.4113,4.1725,2.4113,8.3091
2.480,14.3795,2.4802,3.0854,2.4802,10.7976
2.549,11.1387,2.5491,2.7167,2.5491,12.2046
2.618,11.8396,2.6180,3.2947,2.6180,10.0799
2.687,11.1681,2.6869,5.0486,2.6869,5.8884
2.756,10.8668,2.7558,6.0848,2.7558,5.4750
2.825,12.2985,2.8247,8.2274,2.8247,4.9649
2.894,9.6872,2.8936,10.8895,2.8936,3.5448
2.962,7.0877,2.9625,10.9803,2.9625,3.5256
3.031,5.1742,3.0314,9.5689,3.0314,5.0060
3.100,4.9658,3.1003,7.5324,3.1003,6.0925
3.169,7.4849,3.1691,5.4476,3.1691,8.7651
3.238,9.4644,3.2380,4.7419,3.2380,10.3751
3.307,12.9790,3.3069,4.9369,3.3069,11.8882
3.376,13.5412,3.3758,3.8569,3.3758,12.0094
3.445,12.1070,3.4447,4.1675,3.4447,11.0903
3.514,10.3393,3.5136,4.4020,3.5136,13.9595
3.583,12.8220,3.5825,4.3036,3.5825,14.8886
3.651,10.0838,3.6514,4.2803,3.6514,17.7517
3.720,11.7001,3.7203,5.0374,3.7203,14.7827
3.789,11.3051,3.7892,11.4489,3.7892,11.8530
3.858,11.7116,3.8581,17.0454,3.8581,9.1622
3.927,11.5210,3.9270,23.1380,3.9270,5.0437
3.996,10.3910,3.9959,31.0735,3.9959,4.8717
4.065,8.0280,4.0648,40.5660,4.0648,2.5380
4.134,6.9818,4.1337,42.5471,4.1337,3.8526
4.203,6.0072,4.2026,38.8408,4.2026,8.3733
4.271,6.6567,4.2715,38.3463,4.2715,10.3347
4.340,6.9621,4.3404,42.4900,4.3404,9.1268
4.409,7.2539,4.4092,41.9719,4.4092,6.0899
4.478,11.6667,4.4781,50.1721,4.4781,3.6166
4.547,15.5883,4.5470,45.6794,4.5470,3.7323
4.616,16.3132,4.6159,30.1063,4.6159,4.0861
4.685,19.8730,4.6848,24.3881,4.6848,3.8948
4.754,21.4760,4.7537,20.6481,4.7537,5.9695
4.823,21.4953,4.8226,15.4588,4.8226,5.7622
4.892,27.0607,4.8915,11.5933,4.8915,8.8133
4.960,24.0840,4.9604,9.4002,4.9604,13.5387
5.029,17.6758,5.0293,8.0950,5.0293,13.5455
5.098,13.4038,5.0982,7.6975,5.0982,9.9618
5.167,9.6860,5.1671,7.1385,5.1671,8.7357
5.236,8.2347,5.2360,5.2262,5.2360,6.3242
5.305,6.5297,5.3049,4.2161,5.3049,9.4459
5.374,6.9887,5.3738,7.7946,5.3738,13.7844
5.443,5.2176,5.4427,8.8341,5.4427,26.2287
5.512,5.4498,5.5116,8.6024,5.5116,33.2039
5.580,3.3280,5.5805,7.3814,5.5805,27.4390
5.649,3.4007,5.6493,7.0720,5.6493,16.2174
5.718,4.0665,5.7182,6.1234,5.7182,12.9058
5.787,4.9887,5.7871,4.7751,5.7871,10.6208
5.856,8.9307,5.8560,3.6146,5.8560,8.8800
5.925,12.3209,5.9249,3.4967,5.9249,6.8595
5.994,14.1268,5.9938,5.4003,5.9938,7.1467
6.063,15.0678,6.0627,7.1304,6.0627,9.9894
6.132,13.8670,6.1316,9.4579,6.1316,10.1940
6.201,11.3087,6.2005,9.4073,6.2005,9.8560
6.269,8.7012,6.2694,7.8231,6.2694,8.3051
6.338,11.1685,6.3383,7.7155,6.3383,9.4739
