X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5
0.0000,8.9290,0.0000,6.18723,0.0000,5.56551,0.0000,2.23015,0.0000,7.02058,0.0000,4.9414
0.0689,8.1730,0.0689,7.58148,0.0689,5.68549,0.0689,2.13873,0.0689,6.25065,0.0689,3.6843
0.1378,6.7640,0.1378,7.19719,0.1378,6.02568,0.1378,3.27352,0.1378,5.68073,0.1378,3.2532
0.2067,4.8993,0.2067,7.90198,0.2067,4.96688,0.2067,4.62487,0.2067,4.54246,0.2067,4.1556
0.2756,4.5709,0.2756,8.36131,0.2756,4.71049,0.2756,4.90251,0.2756,3.55977,0.2756,4.2520
0.3445,3.5883,0.3445,5.05754,0.3445,4.86488,0.3445,5.82031,0.3445,3.61388,0.3445,5.0020
0.4134,2.7222,0.4134,4.84111,0.4134,4.43678,0.4134,5.76265,0.4134,3.67679,0.4134,6.2796
0.4823,3.5844,0.4823,4.65168,0.4823,4.03782,0.4823,4.88019,0.4823,3.79883,0.4823,6.9153
0.5512,3.7895,0.5512,3.80494,0.5512,4.12218,0.5512,5.64778,0.5512,3.57048,0.5512,6.2351
0.6201,4.6109,0.6201,3.27080,0.6201,3.78693,0.6201,4.50557,0.6201,3.24478,0.6201,6.1185
0.6889,5.3859,0.6889,3.09632,0.6889,3.61895,0.6889,4.40519,0.6889,4.75087,0.6889,4.7552
0.7578,4.4996,0.7578,2.67525,0.7578,3.97242,0.7578,3.33933,0.7578,3.38913,0.7578,4.7283
0.8267,3.4019,0.8267,3.35189,0.8267,5.05181,0.8267,2.34799,0.8267,3.36196,0.8267,4.2378
0.8956,3.1997,0.8956,2.95809,0.8956,4.84660,0.8956,2.41833,0.8956,3.59998,0.8956,3.3517
0.9645,2.5713,0.9645,3.53228,0.9645,3.55724,0.9645,3.71553,0.9645,2.97200,0.9645,4.0142
1.0334,1.9420,1.0334,2.52582,1.0334,3.26080,1.0334,3.30057,1.0334,2.99476,1.0334,4.1103
1.1023,1.9279,1.1023,1.96856,1.1023,4.24107,1.1023,3.66054,1.1023,1.99850,1.1023,4.0768
1.1712,1.9416,1.1712,1.58425,1.1712,4.64735,1.1712,3.25592,1.1712,1.83170,1.1712,4.3691
1.2401,1.5376,1.2401,1.32430,1.2401,4.89159,1.2401,3.94481,1.2401,1.09454,1.2401,3.6883
1.3090,1.4593,1.3090,1.95478,1.3090,4.05698,1.3090,3.68498,1.3090,1.40487,1.3090,3.4064
1.3779,0.9698,1.3779,1.74731,1.3779,3.01070,1.3779,3.92814,1.3779,1.31535,1.3779,3.1980
1.4468,1.2410,1.4468,1.86419,1.4468,3.24974,1.4468,3.41963,1.4468,0.70508,1.4468,3.8798
1.5157,1.1916,1.5157,2.01012,1.5157,3.80087,1.5157,2.34008,1.5157,0.78396,1.5157,3.3770
1.5846,1.1650,1.5846,2.11410,1.5846,3.24336,1.5846,2.24824,1.5846,1.04345,1.5846,3.9319
1.6535,0.7827,1.6535,2.16805,1.6535,3.21964,1.6535,1.43600,1.6535,1.10428,1.6535,4.0789
1.7224,0.9769,1.7224,2.21335,1.7224,2.65153,1.7224,1.57986,1.7224,1.42328,1.7224,3.9647
1.7913,1.7408,1.7913,2.62267,1.7913,2.66510,1.7913,2.01911,1.7913,1.40998,1.7913,3.5596
1.8602,1.9244,1.8602,2.24219,1.8602,2.39067,1.8602,2.24718,1.8602,2.02093,1.8602,4.2652
1.9290,1.6881,1.9290,2.07038,1.9290,2.31684,1.9290,2.93941,1.9290,1.77751,1.9290,3.8173
1.9979,1.6799,1.9979,3.12053,1.9979,2.07608,1.9979,3.53224,1.9979,0.99074,1.9979,4.3367
2.0668,2.2670,2.0668,3.34007,2.0668,2.28506,2.0668,3.40746,2.0668,1.51135,2.0668,3.6950
2.1357,1.7055,2.1357,3.85581,2.1357,1.89856,2.1357,2.32139,2.1357,1.48360,2.1357,2.8120
2.2046,1.2547,2.2046,3.98833,2.2046,2.24298,2.2046,2.31154,2.2046,1.93513,2.2046,3.3266
2.2735,0.7297,2.2735,4.70583,2.2735,2.78359,2.2735,3.13028,2.2735,2.12310,2.2735,3.4279
2.3424,0.8510,2.3424,4.34004,2.3424,2.71335,2.3424,3.01829,2.3424,1.74574,2.3424,2.4357
2.4113,0.7390,2.4113,4.47185,2.4113,2.95080,2.4113,2.94010,2.4113,1.64229,2.4113,2.7362
2.4802,0.8323,2.4802,3.73768,2.4802,3.36370,2.4802,3.78931,2.4802,1.03885,2.4802,2.6168
2.5491,1.3827,2.5491,3.42438,2.5491,3.31395,2.5491,3.88717,2.5491,0.63556,2.5491,3.1035
2.6180,1.9495,2.6180,2.76117,2.6180,3.30079,2.6180,3.39372,2.6180,1.12349,2.6180,2.9037
2.6869,1.9174,2.6869,2.85247,2.6869,4.37625,2.6869,3.96487,2.6869,1.58102,2.6869,2.3127
2.7558,2.1947,2.7558,2.37257,2.7558,4.82881,2.7558,4.64469,2.7558,2.25396,2.7558,2.6026
2.8247,1.5257,2.8247,2.26003,2.8247,4.33635,2.8247,4.16146,2.8247,2.14770,2.8247,2.6707
2.8936,1.9206,2.8936,2.85595,2.8936,5.02525,2.8936,4.43421,2.8936,3.06013,2.8936,2.6690
2.9625,2.3376,2.9625,2.72993,2.9625,4.97529,2.9625,3.60132,2.9625,3.86574,2.9625,2.7913
3.0314,2.3952,3.0314,2.28516,3.0314,4.61789,3.0314,3.26400,3.0314,3.39033,3.0314,3.5332
3.1003,2.6439,3.1003,2.55827,3.1003,4.11308,3.1003,3.34329,3.1003,3.56240,3.1003,5.1497
3.1691,3.4844,3.1691,2.31709,3.1691,4.79875,3.1691,3.68581,3.1691,2.73292,3.1691,4.6586
3.2380,4.8572,3.2380,2.78047,3.2380,4.69415,3.2380,4.18795,3.2380,2.35048,3.2380,4.5994
3.3069,4.3198,3.3069,2.53808,3.3069,4.31006,3.3069,4.41424,3.3069,2.15417,3.3069,4.1938
3.3758,2.9025,3.3758,2.06864,3.3758,3.76089,3.3758,4.53467,3.3758,2.79406,3.3758,5.5808
3.4447,3.1567,3.4447,1.94206,3.4447,3.60536,3.4447,4.19834,3.4447,2.99952,3.4447,5.0508
3.5136,3.8494,3.5136,1.63477,3.5136,2.49020,3.5136,4.24196,3.5136,3.56464,3.5136,4.4809
3.5825,5.1014,3.5825,1.75306,3.5825,2.16117,3.5825,5.42931,3.5825,4.34809,3.5825,4.6741
3.6514,3.5065,3.6514,2.06080,3.6514,2.65339,3.6514,4.66057,3.6514,4.19099,3.6514,3.5683
3.7203,4.4409,3.7203,2.35968,3.7203,2.29374,3.7203,4.38601,3.7203,4.45957,3.7203,3.7016
3.7892,3.4570,3.7892,2.20478,3.7892,2.39496,3.7892,4.31723,3.7892,4.51754,3.7892,2.9974
3.8581,4.0671,3.8581,2.36962,3.8581,3.68650,3.8581,4.69497,3.8581,4.12433,3.8581,3.1324
3.9270,4.5029,3.9270,1.79813,3.9270,3.04029,3.9270,3.73194,3.9270,3.34096,3.9270,3.4330
3.9959,4.8963,3.9959,2.14799,3.9959,3.50439,3.9959,4.22431,3.9959,2.46314,3.9959,3.7999
4.0648,4.0415,4.0648,3.51722,4.0648,3.49481,4.0648,3.56759,4.0648,1.66003,4.0648,3.6424
4.1337,4.2310,4.1337,5.01317,4.1337,2.91175,4.1337,2.99885,4.1337,2.18995,4.1337,3.8099
4.2026,3.1212,4.2026,5.14515,4.2026,2.11849,4.2026,4.67491,4.2026,1.58820,4.2026,5.5239
4.2715,2.0366,4.2715,5.09938,4.2715,2.91670,4.2715,3.74933,4.2715,1.30479,4.2715,5.4972
4.3404,2.1465,4.3404,4.95267,4.3404,3.04129,4.3404,3.64545,4.3404,1.48920,4.3404,4.6259
4.4092,2.4273,4.4092,4.85365,4.4092,3.02165,4.4092,2.92667,4.4092,1.04210,4.4092,4.6028
4.4781,2.0510,4.4781,4.40070,4.4781,3.42379,4.4781,3.97283,4.4781,0.92923,4.4781,3.5892
4.5470,1.1978,4.5470,4.24256,4.5470,3.95242,4.5470,4.03157,4.5470,0.95767,4.5470,2.6302
4.6159,1.4596,4.6159,4.54927,4.6159,4.46877,4.6159,3.78883,4.6159,0.36290,4.6159,3.1527
4.6848,1.5653,4.6848,4.37949,4.6848,5.40634,4.6848,3.23076,4.6848,0.60045,4.6848,3.2837
4.7537,1.7554,4.7537,4.91971,4.7537,5.71627,4.7537,2.76080,4.7537,0.79184,4.7537,2.9675
4.8226,2.4479,4.8226,4.97316,4.8226,5.82383,4.8226,2.43701,4.8226,0.71301,4.8226,3.5929
4.8915,2.4917,4.8915,5.02923,4.8915,5.80844,4.8915,2.86916,4.8915,1.03580,4.8915,3.7065
4.9604,3.0212,4.9604,4.68861,4.9604,4.99507,4.9604,2.53330,4.9604,1.02360,4.9604,4.4476
5.0293,3.3013,5.0293,4.28375,5.0293,3.75234,5.0293,2.33059,5.0293,1.02583,5.0293,4.9225
5.0982,2.6444,5.0982,3.46320,5.0982,3.46843,5.0982,2.12702,5.0982,1.29411,5.0982,5.6696
5.1671,3.2750,5.1671,3.55039,5.1671,2.97492,5.1671,1.84032,5.1671,1.55880,5.1671,5.5943
5.2360,3.0106,5.2360,4.68156,5.2360,3.02903,5.2360,2.07749,5.2360,1.55559,5.2360,4.3448
5.3049,3.7291,5.3049,3.95593,5.3049,3.90900,5.3049,2.65309,5.3049,1.17889,5.3049,4.7216
5.3738,4.4717,5.3738,4.52424,5.3738,3.27223,5.3738,2.68749,5.3738,1.61553,5.3738,3.3098
5.4427,5.0577,5.4427,4.22863,5.4427,3.50713,5.4427,2.67420,5.4427,1.71979,5.4427,4.3992
5.5116,5.5591,5.5116,3.24044,5.5116,2.96759,5.5116,3.17014,5.5116,1.56031,5.5116,3.8064
5.5805,3.7291,5.5805,3.45001,5.5805,2.62266,5.5805,2.71490,5.5805,2.04536,5.5805,3.8937
5.6493,2.5653,5.6493,3.07094,5.6493,2.68796,5.6493,2.35500,5.6493,1.92975,5.6493,4.4140
5.7182,2.5566,5.7182,2.98674,5.7182,1.93031,5.7182,2.84394,5.7182,1.61687,5.7182,4.4732
5.7871,2.8461,5.7871,2.81324,5.7871,1.61470,5.7871,2.92557,5.7871,1.86132,5.7871,5.0652
