,position (um),Fat2 intensity,Abi intensity
0,0.0,12.8247,3.53286
1,0.0689,15.2805,3.64522
2,0.1378,16.9231,3.19837
3,0.2067,18.0816,3.24876
4,0.2756,19.4335,2.66334
5,0.3445,17.8474,2.32277
6,0.4134,18.1262,2.44148
7,0.4823,17.441,1.75645
8,0.5512,15.3386,1.36445
9,0.6201,16.3256,1.3213
10,0.6889,15.9272,1.06149
11,0.7578,14.0545,1.55595
12,0.8267,12.352,1.38901
13,0.8956,9.711,1.23694
14,0.9645,10.3048,1.21815
15,1.0334,13.5168,1.40606
16,1.1023,10.6062,1.28678
17,1.1712,9.8888,1.40051
18,1.2401,7.6046,1.30272
19,1.309,4.3918,1.08643
20,1.3779,3.5513,0.78733
21,1.4468,3.2877,0.42302
22,1.5157,3.2191,0.46039
23,1.5846,4.1958,0.58012
24,1.6535,2.3371,0.45334
25,1.7224,1.9879,0.85885
26,1.7913,3.261,1.00707
27,1.8602,4.8339,0.44743
28,1.929,6.8265,1.01844
29,1.9979,6.1779,0.90764
30,2.0668,5.1626,1.22911
31,2.1357,4.5783,0.72344
32,2.2046,4.4721,0.8707
33,2.2735,4.2394,1.56773
34,2.3424,5.8842,1.28253
35,2.4113,7.6352,0.79519
36,2.4802,14.6377,0.7127
37,2.5491,22.3209,1.56058
38,2.618,34.3733,1.19277
39,2.6869,35.2334,1.37137
40,2.7558,29.5518,1.12775
41,2.8247,18.6283,0.67912
42,2.8936,13.8776,0.83313
43,2.9625,13.3743,0.77269
44,3.0314,10.2202,0.81678
45,3.1003,8.5007,0.74568
46,3.1691,9.3511,1.125
47,3.238,8.1533,1.05187
48,3.3069,8.0894,1.02663
49,3.3758,10.3634,1.15017
50,3.4447,12.7601,1.63019
51,3.5136,13.6738,1.29149
52,3.5825,16.2572,1.29644
53,3.6514,12.4061,1.35146
54,3.7203,7.2575,1.00532
55,3.7892,5.9134,0.90534
56,3.8581,4.532,1.2734
57,3.927,7.7118,1.38229
58,3.9959,9.4146,0.98272
59,4.0648,10.5401,1.69266
60,4.1337,5.6486,1.10187
61,4.2026,4.5112,1.428
62,4.2715,3.2962,1.18155
63,4.3404,2.5021,0.60472
64,4.4092,3.8711,0.86083
65,4.4781,5.5962,1.09509
66,4.547,6.7042,1.15826
67,4.6159,5.7138,1.10567
68,4.6848,8.2475,0.96385
69,4.7537,7.124,0.98426
70,4.8226,8.2818,1.1613
71,4.8915,5.6173,1.1208
72,4.9604,3.5159,0.85534
73,5.0293,3.1297,1.06141
74,5.0982,2.0842,1.29169
75,5.1671,1.2467,1.44829
76,5.236,1.1256,1.25354
77,5.3049,1.4948,0.97639
78,5.3738,0.8857,0.49739
79,5.4427,1.3551,0.23337
80,5.5116,1.8152,0.75415
81,5.5805,2.0172,0.39455
82,5.6493,3.9408,0.38462
83,5.7182,3.3827,1.14292
84,5.7871,4.455,1.61702
85,5.856,4.7337,1.10147
86,5.9249,6.3016,1.4785
87,5.9938,6.9435,1.23518
88,6.0627,7.7235,1.12336
89,6.1316,9.1195,0.84407
90,6.2005,6.6801,1.06484
91,6.2694,6.3732,0.79297
92,6.3383,4.9024,1.02872
93,6.4072,6.1474,1.41391
94,6.4761,7.7583,0.88931
95,6.545,9.0118,0.84278
96,6.6139,5.9366,1.85533
97,6.6828,7.1221,1.50008
98,6.7517,7.422,1.82063
99,6.8206,8.5038,1.23804
100,6.8895,7.8778,1.28333
101,6.9583,6.4272,1.64362
102,7.0272,5.8505,1.8572
103,7.0961,5.3003,1.41593
104,7.165,6.0757,1.35123
105,7.2339,5.6251,1.22078
106,7.3028,8.6626,1.41223
107,7.3717,10.5943,1.31782
108,7.4406,11.7601,1.42196
109,7.5095,9.2877,2.42622
110,7.5784,7.1969,2.89225
111,7.6473,4.3452,2.78533
112,7.7162,3.9779,1.97661
113,7.7851,2.0693,1.72462
114,7.854,2.6555,1.54576
115,7.9229,3.2253,1.02735
116,7.9918,6.2976,1.29953
117,8.0607,15.8838,1.38317
118,8.1296,21.5418,1.923
119,8.1984,20.4,2.67133
120,8.2673,14.4407,4.34773
121,8.3362,12.924,4.26207
122,8.4051,11.7682,4.58958
123,8.474,7.3708,4.40944
124,8.5429,4.7247,2.87284
125,8.6118,4.5046,3.39038
126,8.6807,7.6795,4.10093
127,8.7496,16.0246,3.0844
128,8.8185,19.9207,2.99678
129,8.8874,14.0172,4.33409
130,8.9563,11.5855,3.90527
131,9.0252,12.1533,3.54269
132,9.0941,10.4297,3.85056
133,9.163,9.0631,3.70971
134,9.2319,7.8344,3.76016
135,9.3008,7.5114,3.0258
136,9.3697,9.9514,3.08641
137,9.4385,10.0066,2.57897
138,9.5074,10.986,2.89202
139,9.5763,12.7469,2.77024
140,9.6452,14.0935,2.28298
141,9.7141,13.1669,3.0105
142,9.783,11.8809,3.3348
143,9.8519,13.8277,3.67659
144,9.9208,14.7746,3.46772
145,9.9897,13.9421,3.5133
146,10.0586,9.5878,3.138
147,10.1275,6.0853,3.21769
148,10.1964,6.0959,3.77428
149,10.2653,6.6222,2.47779
150,10.3342,5.0611,2.09931
151,10.4031,5.3841,2.04888
152,10.472,7.0752,2.53953
153,10.5409,13.7281,3.0366
154,10.6098,12.6199,3.74102
155,10.6786,14.2777,3.57114
156,10.7475,11.7301,3.27738
157,10.8164,7.2757,3.46648
158,10.8853,5.3881,2.31816
159,10.9542,6.0639,2.11787
160,11.0231,6.5995,2.14551
161,11.092,6.1603,2.16644
162,11.1609,4.5755,1.85498
163,11.2298,4.531,1.56267
164,11.2987,5.7813,1.74198
165,11.3676,4.1683,1.67369
166,11.4365,7.318,1.92244
167,11.5054,10.3802,2.25342
168,11.5743,13.5343,2.50173
169,11.6432,14.3573,3.21072
170,11.7121,14.3582,2.49997
171,11.781,13.9752,2.796
172,11.8499,15.9429,3.38882
173,11.9187,15.8973,3.36045
174,11.9876,14.5048,3.74557
175,12.0565,14.4651,3.97457
176,12.1254,14.7284,3.71379
177,12.1943,12.0496,4.02702
178,12.2632,11.2774,4.70879
179,12.3321,15.0232,4.0484
180,12.401,22.5385,2.78377
181,12.4699,27.5221,3.2258
182,12.5388,29.665,3.8366
183,12.6077,23.123,4.28091
184,12.6766,16.9207,3.40056
185,12.7455,7.3333,1.93917
186,12.8144,6.7832,1.68277
187,12.8833,5.1142,1.30361
188,12.9522,3.0085,1.29148
189,13.0211,4.8679,1.79383
190,13.09,4.9873,0.99307
191,13.1588,5.2463,1.08532
192,13.2277,5.2448,1.41086
193,13.2966,5.732,1.34102
194,13.3655,9.8362,1.40299
195,13.4344,13.2938,1.61222
196,13.5033,5.6116,2.0236
197,13.5722,5.873,1.52945
198,13.6411,8.7224,1.49165
199,13.71,8.0727,1.24683
200,13.7789,5.3763,1.02644
201,13.8478,4.1968,1.56726
202,13.9167,4.5257,1.4532
203,13.9856,3.3854,1.32085
204,14.0545,4.1841,1.30561
205,14.1234,4.9897,0.84666
206,14.1923,6.2594,1.14774
207,14.2612,7.3471,1.6559
208,14.3301,6.7519,1.13617
209,14.399,7.8754,0.99954
210,14.4678,7.9783,1.48999
211,14.5367,7.7475,1.81774
212,14.6056,4.9165,1.59053
213,14.6745,4.2476,0.61653
214,14.7434,2.5143,0.96738
215,14.8123,1.5635,1.04353
216,14.8812,0.8107,0.79394
217,14.9501,0.7887,1.1166
218,15.019,0.7038,1.50003
219,15.0879,0.7147,1.088
220,15.1568,0.6817,1.05398
