X0,Y0,X1,Y1,X2,Y2
0.0000,2.08248,0.0000,4.03997,0.0000,3.66550
0.0689,2.05990,0.0689,3.52042,0.0689,2.53587
0.1378,2.87993,0.1378,3.65046,0.1378,3.02933
0.2067,3.60441,0.2067,3.67275,0.2067,3.26208
0.2756,2.93530,0.2756,3.48072,0.2756,3.08285
0.3445,3.57654,0.3445,3.23235,0.3445,3.56319
0.4134,3.14523,0.4134,3.09809,0.4134,2.39777
0.4823,1.87535,0.4823,3.16416,0.4823,1.82742
0.5512,1.95630,0.5512,2.67570,0.5512,1.56347
0.6201,1.61097,0.6201,2.64769,0.6201,1.73953
0.6889,1.80904,0.6889,3.07983,0.6889,1.14044
0.7578,2.04270,0.7578,1.75204,0.7578,1.64591
0.8267,1.73014,0.8267,2.24281,0.8267,1.76894
0.8956,0.98431,0.8956,2.82152,0.8956,2.21847
0.9645,1.29167,0.9645,3.16571,0.9645,2.35511
1.0334,1.13331,1.0334,3.83024,1.0334,1.65529
1.1023,1.53559,1.1023,3.43088,1.1023,1.47501
1.1712,1.92960,1.1712,2.62130,1.1712,1.29555
1.2401,1.32064,1.2401,1.75825,1.2401,0.97999
1.3090,1.24932,1.3090,1.59856,1.3090,1.58562
1.3779,1.53110,1.3779,1.78963,1.3779,1.38293
1.4468,1.36828,1.4468,1.73542,1.4468,1.61094
1.5157,1.59249,1.5157,2.56418,1.5157,0.97802
1.5846,2.05127,1.5846,3.36596,1.5846,1.50882
1.6535,2.43799,1.6535,2.80693,1.6535,1.93362
1.7224,2.29175,1.7224,3.07484,1.7224,1.84899
1.7913,2.01342,1.7913,3.39204,1.7913,1.81305
1.8602,1.45524,1.8602,4.07409,1.8602,1.76269
1.9290,1.56326,1.9290,3.44744,1.9290,1.48270
1.9979,1.40147,1.9979,2.16773,1.9979,1.52785
2.0668,1.75394,2.0668,1.29712,2.0668,1.61384
2.1357,1.43384,2.1357,1.23762,2.1357,2.22353
2.2046,1.72895,2.2046,1.41549,2.2046,2.01242
2.2735,1.71146,2.2735,0.92008,2.2735,1.95105
2.3424,2.20698,2.3424,1.03665,2.3424,1.40963
2.4113,1.88158,2.4113,1.17860,2.4113,1.23540
2.4802,2.65137,2.4802,1.22048,2.4802,1.66966
2.5491,1.88459,2.5491,1.15546,2.5491,1.59077
2.6180,1.79036,2.6180,1.15844,2.6180,1.86920
2.6869,2.08644,2.6869,0.94800,2.6869,1.96609
2.7558,2.77661,2.7558,1.36283,2.7558,1.69040
2.8247,3.22991,2.8247,1.29876,2.8247,2.27364
2.8936,2.61473,2.8936,1.64138,2.8936,1.68032
2.9625,1.83450,2.9625,1.95776,2.9625,1.32395
3.0314,1.66436,3.0314,2.51361,3.0314,1.65575
3.1003,2.51659,3.1003,1.94189,3.1003,1.20718
3.1691,3.88449,3.1691,2.07840,3.1691,0.82544
3.2380,3.69468,3.2380,2.30101,3.2380,1.02529
3.3069,4.06006,3.3069,2.44902,3.3069,1.39775
3.3758,3.29334,3.3758,3.19545,3.3758,1.71672
3.4447,3.30117,3.4447,3.11090,3.4447,1.53931
3.5136,4.40181,3.5136,3.74857,3.5136,1.65031
3.5825,3.74340,3.5825,3.22800,3.5825,1.87927
3.6514,3.30722,3.6514,2.03366,3.6514,2.55252
3.7203,4.36118,3.7203,2.18227,3.7203,2.73103
3.7892,3.33839,3.7892,1.71635,3.7892,2.21840
3.8581,2.47213,3.8581,1.93963,3.8581,2.53919
3.9270,2.26835,3.9270,1.49454,3.9270,3.00412
3.9959,2.35140,3.9959,1.54750,3.9959,2.90998
4.0648,2.67085,4.0648,1.77642,4.0648,3.25908
4.1337,2.01193,4.1337,1.58346,4.1337,3.76729
4.2026,1.45914,4.2026,1.42517,4.2026,3.85735
4.2715,2.05301,4.2715,1.36248,4.2715,3.40129
4.3404,1.89273,4.3404,1.65035,4.3404,3.88381
4.4092,1.67996,4.4092,2.19699,4.4092,3.61997
4.4781,1.68613,4.4781,1.89173,4.4781,4.14042
4.5470,2.27352,4.5470,3.05274,4.5470,3.56563
4.6159,2.77117,4.6159,2.66623,4.6159,3.50937
4.6848,2.85619,4.6848,1.97033,4.6848,3.82145
4.7537,3.24256,4.7537,2.10893,4.7537,3.99659
4.8226,2.79712,4.8226,1.61530,4.8226,3.33526
4.8915,3.74635,4.8915,2.22342,4.8915,3.91674
4.9604,2.57015,4.9604,2.22872,4.9604,4.56429
5.0293,2.37110,5.0293,2.10127,5.0293,4.50964
5.0982,2.39668,5.0982,2.11915,5.0982,4.91905
5.1671,2.71815,5.1671,1.08743,5.1671,3.97424
5.2360,2.59032,5.2360,1.15225,5.2360,2.97801
5.3049,2.16553,5.3049,1.86023,5.3049,2.45702
5.3738,2.23664,5.3738,1.46994,5.3738,2.98532
5.4427,2.16102,5.4427,2.04733,5.4427,2.41229
5.5116,3.13427,5.5116,1.26678,5.5116,2.75762
5.5805,3.15262,5.5805,0.87184,5.5805,1.81206
5.6493,3.27768,5.6493,0.62084,5.6493,1.46931
5.7182,3.12599,5.7182,1.21626,5.7182,1.35457
5.7871,2.62007,5.7871,1.24178,5.7871,1.49475
5.8560,2.17356,5.8560,0.96218,5.8560,1.13467
5.9249,2.06829,5.9249,0.97175,5.9249,2.30963
5.9938,1.58810,5.9938,0.86382,5.9938,3.35182
6.0627,2.50185,6.0627,0.99207,6.0627,3.63285
6.1316,2.18261,6.1316,1.22727,6.1316,3.64939
6.2005,2.28873,6.2005,0.97280,6.2005,2.33855
6.2694,2.91641,6.2694,0.84436,6.2694,2.64771
6.3383,2.48354,6.3383,0.92896,6.3383,2.60037
6.4072,1.86943,6.4072,1.01454,6.4072,3.12101
6.4761,1.68682,6.4761,1.35102,6.4761,2.52235
6.5450,1.93377,6.5450,1.68119,6.5450,2.96540
6.6139,1.65321,6.6139,1.76279,6.6139,2.36962
6.6828,1.15449,6.6828,1.76224,6.6828,1.84708
6.7517,1.22501,6.7517,1.65377,6.7517,1.88700
6.8206,1.19419,6.8206,1.79019,6.8206,2.33457
6.8895,1.50388,6.8895,1.31906,6.8895,2.96425
6.9583,1.96389,6.9583,1.05071,6.9583,3.19435
7.0272,2.54732,7.0272,1.74970,7.0272,3.51936
7.0961,1.85829,7.0961,1.70857,7.0961,4.45497
7.1650,1.98566,7.1650,0.82753,7.1650,5.08239
7.2339,2.06288,7.2339,1.26913,7.2339,5.86954
7.3028,1.86566,7.3028,1.43018,7.3028,5.50324
7.3717,1.81599,7.3717,0.45611,7.3717,4.05564
7.4406,1.98311,7.4406,0.90476,7.4406,2.64303
7.5095,1.82417,7.5095,0.92955,7.5095,1.98848
7.5784,2.05314,7.5784,0.78611,7.5784,1.99487
7.6473,1.96248,7.6473,1.19856,7.6473,1.59941
7.7162,2.03467,7.7162,1.02967,7.7162,1.69593
7.7851,2.44773,7.7851,1.07026,7.7851,1.43560
7.8540,3.22435,7.8540,0.84754,7.8540,1.14209
7.9229,4.34395,7.9229,0.60535,7.9229,0.75442
7.9918,5.19614,7.9918,1.11118,7.9918,0.73743
8.0607,4.76101,8.0607,1.27504,8.0607,0.71006
8.1296,3.59495,8.1296,1.03751,8.1296,1.24208
8.1984,3.84711,8.1984,1.51966,8.1984,1.16518
8.2673,3.80914,8.2673,1.50414,8.2673,1.74983
8.3362,3.09713,8.3362,1.04057,8.3362,1.67925
8.4051,3.57431,8.4051,0.65748,8.4051,2.27973
8.4740,4.03022,8.4740,0.99170,8.4740,2.31600
8.5429,4.32007,8.5429,0.84909,8.5429,2.84987
8.6118,3.39012,8.6118,0.62524,8.6118,3.85784
