X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4
0.0000,3.0109,0.0000,5.0104,0.0000,3.4230,0.0000,6.2561,0.0000,5.53341
0.0689,3.6959,0.0689,3.8187,0.0689,2.4443,0.0689,6.0131,0.0689,6.29863
0.1378,3.4082,0.1378,2.3783,0.1378,3.1026,0.1378,6.0965,0.1378,5.83419
0.2067,2.6148,0.2067,2.1250,0.2067,3.7199,0.2067,5.2864,0.2067,3.84643
0.2756,2.1743,0.2756,1.5083,0.2756,4.1792,0.2756,5.2335,0.2756,3.50373
0.3445,1.7866,0.3445,1.8143,0.3445,5.4433,0.3445,5.2832,0.3445,2.38358
0.4134,0.8419,0.4134,1.2430,0.4134,5.2025,0.4134,4.1650,0.4134,2.34395
0.4823,0.8044,0.4823,0.9990,0.4823,5.0955,0.4823,3.6719,0.4823,2.03659
0.5512,0.7163,0.5512,1.2913,0.5512,3.3497,0.5512,2.1359,0.5512,2.34898
0.6201,0.6939,0.6201,1.3983,0.6201,4.1479,0.6201,1.4538,0.6201,2.60521
0.6889,0.4439,0.6889,1.2234,0.6889,3.3350,0.6889,1.8962,0.6889,1.84153
0.7578,0.3807,0.7578,1.6910,0.7578,2.9315,0.7578,1.7115,0.7578,2.02923
0.8267,1.1600,0.8267,1.1653,0.8267,3.0500,0.8267,1.2890,0.8267,1.93160
0.8956,1.0202,0.8956,1.9845,0.8956,3.3557,0.8956,0.9058,0.8956,2.08948
0.9645,0.8598,0.9645,1.5805,0.9645,3.4737,0.9645,0.8958,0.9645,1.12124
1.0334,0.9208,1.0334,1.7522,1.0334,3.6298,1.0334,1.0764,1.0334,1.60907
1.1023,0.7620,1.1023,1.5559,1.1023,3.2267,1.1023,1.0981,1.1023,2.21737
1.1712,1.1665,1.1712,1.8666,1.1712,2.7352,1.1712,0.7547,1.1712,1.56890
1.2401,2.6240,1.2401,2.0206,1.2401,2.6953,1.2401,0.8829,1.2401,1.71578
1.3090,3.0500,1.3090,2.6243,1.3090,2.2753,1.3090,1.0030,1.3090,2.55159
1.3779,3.6395,1.3779,2.6347,1.3779,1.7439,1.3779,1.2735,1.3779,2.08097
1.4468,3.3125,1.4468,3.0302,1.4468,1.5680,1.4468,1.9667,1.4468,1.97275
1.5157,3.8747,1.5157,2.7729,1.5157,2.0740,1.5157,1.8388,1.5157,1.50791
1.5846,4.4192,1.5846,2.9194,1.5846,2.1327,1.5846,1.9059,1.5846,2.31579
1.6535,3.0820,1.6535,3.1212,1.6535,1.5915,1.6535,1.7017,1.6535,1.55365
1.7224,4.2203,1.7224,2.9113,1.7224,2.1092,1.7224,1.8632,1.7224,2.62524
1.7913,4.4565,1.7913,2.4657,1.7913,2.1608,1.7913,2.4810,1.7913,2.02349
1.8602,5.1867,1.8602,1.9627,1.8602,2.4198,1.8602,2.9921,1.8602,2.76753
1.9290,7.1773,1.9290,1.6799,1.9290,1.3706,1.9290,2.3487,1.9290,3.20405
1.9979,7.7524,1.9979,0.8275,1.9979,1.3769,1.9979,2.2892,1.9979,2.93335
2.0668,7.3576,2.0668,0.8082,2.0668,1.9263,2.0668,2.3156,2.0668,3.31332
2.1357,5.0877,2.1357,0.6871,2.1357,1.5614,2.1357,2.0985,2.1357,2.49588
2.2046,3.5167,2.2046,1.1449,2.2046,2.2514,2.2046,1.8072,2.2046,2.87557
2.2735,2.4100,2.2735,0.9625,2.2735,2.3822,2.2735,1.5881,2.2735,2.07426
2.3424,1.8866,2.3424,0.8028,2.3424,1.9370,2.3424,1.8574,2.3424,1.66760
2.4113,1.6484,2.4113,0.6030,2.4113,1.4917,2.4113,1.8123,2.4113,1.39808
2.4802,2.2876,2.4802,0.6858,2.4802,1.3062,2.4802,3.0430,2.4802,0.74369
2.5491,1.9427,2.5491,0.9703,2.5491,1.7083,2.5491,3.1422,2.5491,1.16300
2.6180,2.2899,2.6180,0.7736,2.6180,1.8621,2.6180,2.3159,2.6180,0.49422
2.6869,2.4597,2.6869,1.0395,2.6869,1.8645,2.6869,2.1551,2.6869,1.09414
2.7558,1.7527,2.7558,0.5934,2.7558,1.2162,2.7558,1.8552,2.7558,1.07257
2.8247,1.1520,2.8247,1.2022,2.8247,0.7022,2.8247,2.1651,2.8247,1.39483
2.8936,1.2230,2.8936,1.1413,2.8936,1.4634,2.8936,2.7646,2.8936,1.88130
2.9625,0.7355,2.9625,1.1478,2.9625,1.9054,2.9625,2.2088,2.9625,1.42692
3.0314,0.6979,3.0314,0.7121,3.0314,1.8128,3.0314,2.0525,3.0314,1.66606
3.1003,1.5040,3.1003,1.0392,3.1003,2.5194,3.1003,1.4180,3.1003,2.27698
3.1691,1.4362,3.1691,0.8646,3.1691,3.2071,3.1691,0.9519,3.1691,1.94871
3.2380,0.9764,3.2380,0.8567,3.2380,3.1376,3.2380,1.0570,3.2380,2.53440
3.3069,1.0975,3.3069,1.2303,3.3069,3.4493,3.3069,1.5480,3.3069,2.43274
3.3758,1.2022,3.3758,1.2288,3.3758,3.7752,3.3758,1.3940,3.3758,1.72417
3.4447,2.3553,3.4447,1.0900,3.4447,3.5401,3.4447,1.1039,3.4447,1.44348
3.5136,1.6627,3.5136,0.9581,3.5136,3.3395,3.5136,0.6997,3.5136,1.83051
3.5825,1.5552,3.5825,0.6851,3.5825,2.6039,3.5825,1.0430,3.5825,2.52845
3.6514,1.8349,3.6514,1.3737,3.6514,3.1301,3.6514,1.5761,3.6514,3.58925
3.7203,1.3659,3.7203,1.5168,3.7203,2.8665,3.7203,0.9330,3.7203,3.16224
3.7892,1.0755,3.7892,1.3507,3.7892,2.4724,3.7892,0.9397,3.7892,3.04425
3.8581,0.9126,3.8581,2.1663,3.8581,3.2332,3.8581,0.9187,3.8581,3.56084
3.9270,1.0968,3.9270,2.5493,3.9270,3.3641,3.9270,1.4471,3.9270,4.20891
3.9959,1.0858,3.9959,2.9162,3.9959,3.6881,3.9959,1.4497,3.9959,3.84203
4.0648,0.5873,4.0648,4.7418,4.0648,3.8025,4.0648,1.6492,4.0648,4.29075
4.1337,0.8388,4.1337,6.3451,4.1337,3.9956,4.1337,1.8822,4.1337,3.99743
4.2026,0.9519,4.2026,7.0989,4.2026,3.7704,4.2026,2.4110,4.2026,2.36303
4.2715,0.8518,4.2715,5.9132,4.2715,3.3657,4.2715,2.8465,4.2715,2.05097
4.3404,1.1496,4.3404,4.8512,4.3404,3.8528,4.3404,4.9044,4.3404,1.82668
4.4092,1.2868,4.4092,3.5079,4.4092,3.7799,4.4092,4.8605,4.4092,1.63573
4.4781,1.6731,4.4781,2.7364,4.4781,3.8556,4.4781,5.8138,4.4781,2.15474
4.5470,1.6008,4.5470,1.9840,4.5470,3.5479,4.5470,5.3152,4.5470,3.02021
4.6159,1.9420,4.6159,1.7069,4.6159,2.6686,4.6159,5.1557,4.6159,3.70526
4.6848,1.6844,4.6848,0.7548,4.6848,1.9426,4.6848,4.1773,4.6848,4.22468
4.7537,2.1622,4.7537,0.8503,4.7537,1.7627,4.7537,2.9083,4.7537,3.79174
4.8226,2.6059,4.8226,0.5094,4.8226,1.2909,4.8226,2.1801,4.8226,3.09580
4.8915,3.1163,4.8915,1.0606,4.8915,1.7365,4.8915,1.5390,4.8915,1.80393
4.9604,3.3678,4.9604,1.7157,4.9604,1.9944,4.9604,1.2271,4.9604,1.61596
5.0293,4.3679,5.0293,1.3873,5.0293,1.3333,5.0293,1.2054,5.0293,2.07427
5.0982,4.7646,5.0982,1.1001,5.0982,2.2474,5.0982,1.2504,5.0982,2.16693
5.1671,4.1475,5.1671,2.2196,5.1671,3.3590,5.1671,1.0756,5.1671,1.84800
5.2360,3.3878,5.2360,2.0380,5.2360,4.2084,5.2360,0.8082,5.2360,1.84140
5.3049,2.9487,5.3049,1.9323,5.3049,3.9649,5.3049,0.3983,5.3049,2.19248
5.3738,3.0833,5.3738,2.2441,5.3738,3.6260,5.3738,0.8184,5.3738,3.07605
5.4427,3.1278,5.4427,2.0906,5.4427,3.8732,5.4427,1.1390,5.4427,3.05462
5.5116,3.4206,5.5116,2.4549,5.5116,3.2375,5.5116,1.2721,5.5116,2.58170
5.5805,3.4416,5.5805,2.6136,5.5805,2.8084,5.5805,0.8700,5.5805,2.69584
5.6493,3.4642,5.6493,2.6297,5.6493,1.8885,5.6493,0.5702,5.6493,2.60796
5.7182,3.7231,5.7182,3.1997,5.7182,1.5046,5.7182,0.8580,5.7182,2.01347
5.7871,3.8198,5.7871,4.6879,5.7871,1.5788,5.7871,1.1610,5.7871,1.52031
5.8560,2.2998,5.8560,4.5247,5.8560,1.7869,5.8560,1.0600,5.8560,1.08543
5.9249,2.0274,5.9249,5.6190,5.9249,2.4929,5.9249,1.1620,5.9249,0.66932
5.9938,2.1819,5.9938,6.4648,5.9938,2.1245,5.9938,0.6865,5.9938,0.92814
6.0627,1.4479,6.0627,6.7099,6.0627,1.9242,6.0627,0.8061,6.0627,1.29053
6.1316,1.1136,6.1316,4.4398,6.1316,2.2674,6.1316,1.4525,6.1316,0.71696
6.2005,1.3918,6.2005,3.5925,6.2005,2.9543,6.2005,1.5739,6.2005,0.76985
6.2694,2.2036,6.2694,2.7888,6.2694,4.0077,6.2694,2.8924,6.2694,1.21704
6.3383,1.8186,6.3383,2.6417,6.3383,5.3658,6.3383,3.1447,6.3383,1.74676
6.4072,1.4562,6.4072,2.3171,6.4072,6.1564,6.4072,3.2860,6.4072,1.42282
6.4761,1.8837,6.4761,1.6652,6.4761,7.6432,6.4761,3.3853,6.4761,1.25057
6.5450,1.9022,6.5450,2.7500,6.5450,8.4453,6.5450,3.6428,6.5450,0.84576
6.6139,1.5450,6.6139,3.2972,6.6139,8.5227,6.6139,4.1267,6.6139,1.35711
6.6828,1.4135,6.6828,3.5792,6.6828,7.7885,6.6828,3.1638,6.6828,0.90174
6.7517,1.9938,6.7517,2.7631,6.7517,10.1556,6.7517,2.6447,6.7517,1.48320
6.8206,2.3090,6.8206,3.3798,6.8206,11.2467,6.8206,1.9387,6.8206,1.24159
6.8895,2.5502,6.8895,4.7508,6.8895,11.0404,6.8895,2.1060,6.8895,1.40124
6.9583,2.6148,6.9583,4.7155,6.9583,8.7748,6.9583,1.4126,6.9583,1.82750
7.0272,2.0503,7.0272,3.5072,7.0272,6.9150,7.0272,1.3343,7.0272,0.75991
7.0961,1.8021,7.0961,4.3912,7.0961,4.3756,7.0961,0.7552,7.0961,1.23894
7.1650,2.0636,7.1650,3.5515,7.1650,3.0386,7.1650,0.8170,7.1650,1.08921
7.2339,2.3208,7.2339,3.0315,7.2339,2.9310,7.2339,0.8436,7.2339,0.97930
7.3028,1.9304,7.3028,2.6434,7.3028,2.4869,7.3028,0.7414,7.3028,0.90662
7.3717,2.2233,7.3717,2.1862,7.3717,2.7049,7.3717,0.4846,7.3717,0.57441
7.4406,1.8561,7.4406,2.5580,7.4406,2.2117,7.4406,1.0830,7.4406,0.73836
7.5095,1.4165,7.5095,2.1596,7.5095,1.5873,7.5095,1.1397,7.5095,0.77785
7.5784,1.5007,7.5784,2.1292,7.5784,1.3824,7.5784,1.3808,7.5784,0.84175
7.6473,1.4179,7.6473,1.9172,7.6473,1.1605,7.6473,1.2942,7.6473,1.24453
7.7162,0.9622,7.7162,2.1586,7.7162,1.4656,7.7162,1.2527,7.7162,0.82243
7.7851,1.4854,7.7851,2.2062,7.7851,1.6388,7.7851,1.5478,7.7851,1.69916
7.8540,2.0735,7.8540,1.6520,7.8540,1.4478,7.8540,1.8414,7.8540,1.17449
7.9229,1.6607,7.9229,1.3563,7.9229,1.4986,7.9229,1.2485,7.9229,0.77313
7.9918,2.2111,7.9918,1.9134,7.9918,1.2431,7.9918,1.9825,7.9918,1.08432
8.0607,2.1460,8.0607,1.7736,8.0607,1.5243,8.0607,2.7154,8.0607,0.77329
8.1296,1.9234,8.1296,1.4761,8.1296,1.7209,8.1296,3.3946,8.1296,1.07035
8.1984,1.2914,8.1984,1.0364,8.1984,1.9540,8.1984,3.2031,8.1984,1.21349
8.2673,1.2731,8.2673,0.9885,8.2673,2.4199,8.2673,3.0067,8.2673,0.89001
8.3362,1.4867,8.3362,1.2711,8.3362,2.2056,8.3362,2.7662,8.3362,1.02353
8.4051,1.6424,8.4051,1.0532,8.4051,1.8519,8.4051,2.3623,8.4051,1.34422
8.4740,2.7277,8.4740,1.9644,8.4740,1.0556,8.4740,1.8380,8.4740,1.25340
8.5429,2.9368,8.5429,2.1497,8.5429,0.6967,8.5429,2.5296,8.5429,1.10329
8.6118,2.8141,8.6118,1.3991,8.6118,0.8159,8.6118,1.6817,8.6118,0.90896
8.6807,2.6768,8.6807,1.4825,8.6807,1.1590,8.6807,2.1097,8.6807,1.54461
8.7496,2.8237,8.7496,1.4746,8.7496,0.7917,8.7496,1.8390,8.7496,1.87094
8.8185,3.2576,8.8185,1.2185,8.8185,0.7090,8.8185,2.7071,8.8185,1.70083
8.8874,3.6436,8.8874,1.0665,8.8874,0.5079,8.8874,2.9714,8.8874,1.52011
8.9563,3.2142,8.9563,1.1874,8.9563,0.9710,8.9563,2.6299,8.9563,1.80248
9.0252,3.0071,9.0252,2.0301,9.0252,0.6327,9.0252,1.8441,9.0252,1.26939
9.0941,2.4780,9.0941,1.7719,9.0941,0.5480,9.0941,1.3836,9.0941,1.45794
9.1630,2.5422,9.1630,1.1922,9.1630,0.6118,9.1630,0.8882,9.1630,1.70577
9.2319,1.6847,9.2319,1.1692,9.2319,0.7566,9.2319,0.9396,9.2319,2.38250
9.3008,2.4841,9.3008,1.8841,9.3008,0.9466,9.3008,0.6089,9.3008,3.54679
9.3697,2.9594,9.3697,2.0795,9.3697,1.4322,9.3697,0.6673,9.3697,3.86474
9.4385,3.6836,9.4385,2.4262,9.4385,1.2343,9.4385,0.7531,9.4385,4.17544
9.5074,4.4082,9.5074,2.3236,9.5074,1.6109,9.5074,0.8930,9.5074,3.59859
9.5763,5.0807,9.5763,1.7331,9.5763,2.2641,9.5763,1.5212,9.5763,2.60473
9.6452,7.0158,9.6452,1.3302,9.6452,2.2639,9.6452,1.2003,9.6452,2.13075
9.7141,6.1264,9.7141,1.3729,9.7141,2.3912,9.7141,1.5020,9.7141,2.98993
9.7830,6.0506,9.7830,1.0940,9.7830,2.6570,9.7830,1.9362,9.7830,2.49148
9.8519,6.0922,9.8519,1.3779,9.8519,2.5201,9.8519,1.8391,9.8519,2.98886
9.9208,5.6388,9.9208,1.3335,9.9208,2.8444,9.9208,1.6068,9.9208,3.45012
9.9897,4.3477,9.9897,0.6412,9.9897,2.5434,9.9897,1.2299,9.9897,2.83456
10.0586,4.0822,10.0586,0.7940,10.0586,2.7369,10.0586,1.2625,10.0586,3.06996
10.1275,3.2716,10.1275,1.0044,10.1275,3.6677,10.1275,1.5275,10.1275,2.64285
10.1964,3.0528,10.1964,1.1554,10.1964,4.4802,10.1964,1.6454,10.1964,2.62763
10.2653,3.1515,10.2653,2.0253,10.2653,5.5331,10.2653,1.7956,10.2653,1.54204
