X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5
0.0000,3.47616,0.0000,10.3813,0.0000,3.41708,0.0000,3.42688,0.0000,4.09837,0.0000,3.73120
0.0689,3.47990,0.0689,12.6569,0.0689,3.35279,0.0689,3.86848,0.0689,4.74969,0.0689,4.52520
0.1378,2.68089,0.1378,14.4956,0.1378,3.77306,0.1378,4.10961,0.1378,3.96952,0.1378,4.26658
0.2067,2.77749,0.2067,13.0121,0.2067,2.69792,0.2067,2.63244,0.2067,3.30413,0.2067,4.40133
0.2756,3.45932,0.2756,8.9840,0.2756,3.37755,0.2756,2.50081,0.2756,3.05990,0.2756,5.11546
0.3445,2.81456,0.3445,6.3056,0.3445,2.57212,0.3445,2.94686,0.3445,3.20217,0.3445,4.79809
0.4134,3.26305,0.4134,5.6667,0.4134,1.83755,0.4134,2.01304,0.4134,2.00730,0.4134,4.07229
0.4823,3.26170,0.4823,3.8821,0.4823,2.03820,0.4823,1.66749,0.4823,2.38406,0.4823,4.44692
0.5512,2.79719,0.5512,3.3036,0.5512,1.82632,0.5512,1.32459,0.5512,2.21291,0.5512,3.00873
0.6201,2.89570,0.6201,2.6429,0.6201,2.50139,0.6201,1.24157,0.6201,2.18795,0.6201,2.08377
0.6889,2.99475,0.6889,1.4800,0.6889,1.87766,0.6889,0.86424,0.6889,2.36234,0.6889,1.67635
0.7578,2.33139,0.7578,1.4860,0.7578,2.60056,0.7578,0.69255,0.7578,3.17752,0.7578,0.91818
0.8267,2.53455,0.8267,1.2186,0.8267,3.44203,0.8267,0.98989,0.8267,3.15619,0.8267,0.63380
0.8956,2.23658,0.8956,1.0906,0.8956,4.60928,0.8956,1.05333,0.8956,3.33542,0.8956,1.17064
0.9645,1.95515,0.9645,1.1859,0.9645,4.26659,0.9645,0.61322,0.9645,2.97399,0.9645,1.78018
1.0334,1.87333,1.0334,1.0916,1.0334,3.58179,1.0334,0.86436,1.0334,2.33118,1.0334,1.27352
1.1023,2.44872,1.1023,1.6343,1.1023,4.77738,1.1023,1.13878,1.1023,1.74361,1.1023,1.04454
1.1712,2.64503,1.1712,2.3620,1.1712,5.37044,1.1712,1.32248,1.1712,2.12534,1.1712,0.67726
1.2401,1.97048,1.2401,2.8679,1.2401,5.32745,1.2401,1.46703,1.2401,1.93853,1.2401,0.76696
1.3090,2.08214,1.3090,4.6497,1.3090,3.89168,1.3090,1.29432,1.3090,1.60270,1.3090,0.80089
1.3779,1.98882,1.3779,5.2031,1.3779,2.78796,1.3779,0.99479,1.3779,0.70485,1.3779,0.54633
1.4468,2.73398,1.4468,5.6965,1.4468,2.48594,1.4468,1.28900,1.4468,0.53466,1.4468,0.83113
1.5157,2.48676,1.5157,5.8240,1.5157,2.55103,1.5157,1.11865,1.5157,0.92239,1.5157,0.55026
1.5846,2.40292,1.5846,5.1972,1.5846,2.14655,1.5846,1.31181,1.5846,1.02476,1.5846,0.37558
1.6535,1.35273,1.6535,4.2850,1.6535,2.14830,1.6535,1.66566,1.6535,0.67318,1.6535,0.01025
1.7224,1.59624,1.7224,3.8925,1.7224,2.05304,1.7224,2.19832,1.7224,0.96018,1.7224,0.20176
1.7913,1.26312,1.7913,2.8918,1.7913,1.57023,1.7913,1.71577,1.7913,1.97415,1.7913,0.63490
1.8602,1.38798,1.8602,2.8289,1.8602,1.88950,1.8602,2.28341,1.8602,2.61025,1.8602,0.54504
1.9290,1.47942,1.9290,1.7682,1.9290,2.22586,1.9290,2.39513,1.9290,4.15959,1.9290,0.58785
1.9979,1.07109,1.9979,1.3411,1.9979,2.14152,1.9979,2.10489,1.9979,4.33301,1.9979,0.36318
2.0668,1.61451,2.0668,1.3275,2.0668,2.54691,2.0668,2.36614,2.0668,4.09603,2.0668,0.57929
2.1357,1.31319,2.1357,1.6678,2.1357,2.27501,2.1357,2.35245,2.1357,2.48789,2.1357,0.89521
2.2046,1.55716,2.2046,1.4284,2.2046,2.40845,2.2046,3.33140,2.2046,2.85417,2.2046,0.58786
2.2735,1.14635,2.2735,1.3759,2.2735,2.19508,2.2735,3.18974,2.2735,3.44903,2.2735,0.52689
2.3424,1.24460,2.3424,0.9465,2.3424,1.65855,2.3424,2.77963,2.3424,2.58539,2.3424,0.44518
2.4113,1.31460,2.4113,1.5481,2.4113,1.60220,2.4113,2.32522,2.4113,2.32615,2.4113,0.74418
2.4802,1.54419,2.4802,1.1096,2.4802,1.38695,2.4802,2.02730,2.4802,1.65856,2.4802,0.46086
2.5491,1.72809,2.5491,0.9934,2.5491,1.15302,2.5491,1.88987,2.5491,1.92481,2.5491,0.52446
2.6180,1.36000,2.6180,1.4454,2.6180,0.91930,2.6180,1.95545,2.6180,1.25126,2.6180,0.42515
2.6869,1.57035,2.6869,1.7500,2.6869,0.88520,2.6869,1.59327,2.6869,0.48820,2.6869,0.62950
2.7558,2.06697,2.7558,1.8551,2.7558,1.21276,2.7558,1.41491,2.7558,1.58664,2.7558,0.88056
2.8247,1.92012,2.8247,1.4964,2.8247,1.47339,2.8247,1.45462,2.8247,1.43577,2.8247,0.60491
2.8936,1.32336,2.8936,1.3700,2.8936,1.79589,2.8936,1.29197,2.8936,1.00622,2.8936,0.64720
2.9625,2.00898,2.9625,0.9766,2.9625,1.69127,2.9625,1.68540,2.9625,0.77718,2.9625,0.96478
3.0314,2.29596,3.0314,1.6899,3.0314,1.74149,3.0314,1.17058,3.0314,0.49976,3.0314,1.36135
3.1003,2.10005,3.1003,2.2811,3.1003,1.23784,3.1003,0.98463,3.1003,0.90114,3.1003,2.80916
3.1691,2.37283,3.1691,2.6142,3.1691,1.24778,3.1691,1.27192,3.1691,0.73313,3.1691,4.55808
3.2380,2.56960,3.2380,2.6135,3.2380,1.70780,3.2380,1.82310,3.2380,0.46155,3.2380,4.38728
3.3069,2.23293,3.3069,2.9572,3.3069,1.68673,3.3069,1.72003,3.3069,0.90418,3.3069,4.02229
3.3758,1.73972,3.3758,3.0593,3.3758,2.07002,3.3758,1.78223,3.3758,1.92993,3.3758,4.09515
3.4447,1.54771,3.4447,2.2204,3.4447,2.83171,3.4447,1.32019,3.4447,2.26370,3.4447,4.15658
3.5136,2.13232,3.5136,1.6861,3.5136,1.91108,3.5136,1.65510,3.5136,3.13410,3.5136,4.17211
3.5825,2.67768,3.5825,2.0193,3.5825,1.58587,3.5825,1.57091,3.5825,3.24013,3.5825,4.35032
3.6514,4.33291,3.6514,1.9139,3.6514,1.91274,3.6514,1.51444,3.6514,2.02524,3.6514,4.13048
3.7203,2.57235,3.7203,1.5029,3.7203,2.01879,3.7203,1.16421,3.7203,1.54318,3.7203,4.52708
3.7892,1.93267,3.7892,2.9407,3.7892,2.78290,3.7892,1.44458,3.7892,0.77228,3.7892,3.04429
3.8581,1.76966,3.8581,3.8394,3.8581,3.18242,3.8581,1.55438,3.8581,0.82511,3.8581,4.03241
3.9270,1.40216,3.9270,6.3077,3.9270,2.91618,3.9270,2.00082,3.9270,0.74979,3.9270,4.14797
3.9959,1.18461,3.9959,5.7533,3.9959,3.81006,3.9959,1.80095,3.9959,0.76832,3.9959,3.72637
4.0648,1.05919,4.0648,5.8859,4.0648,3.75672,4.0648,2.07898,4.0648,0.73584,4.0648,2.85757
4.1337,1.71058,4.1337,5.4350,4.1337,3.99457,4.1337,1.89572,4.1337,0.77689,4.1337,2.97322
4.2026,1.74998,4.2026,4.8355,4.2026,3.41156,4.2026,1.46776,4.2026,0.27666,4.2026,1.37452
4.2715,0.91828,4.2715,3.1539,4.2715,3.30908,4.2715,0.82816,4.2715,0.49966,4.2715,1.62068
4.3404,0.79256,4.3404,2.0508,4.3404,2.42644,4.3404,1.01012,4.3404,0.60580,4.3404,1.74582
4.4092,0.71713,4.4092,1.8929,4.4092,1.91925,4.4092,0.89667,4.4092,0.99984,4.4092,1.69362
4.4781,0.99884,4.4781,1.7767,4.4781,2.41435,4.4781,1.10122,4.4781,1.31651,4.4781,1.84316
4.5470,1.12557,4.5470,2.0356,4.5470,2.36258,4.5470,0.91967,4.5470,1.54720,4.5470,1.70634
4.6159,0.84735,4.6159,2.5991,4.6159,2.53222,4.6159,0.91953,4.6159,1.36988,4.6159,2.30314
4.6848,0.70286,4.6848,1.5964,4.6848,2.17581,4.6848,0.68911,4.6848,0.79405,4.6848,2.26131
4.7537,0.77675,4.7537,1.4590,4.7537,2.04684,4.7537,0.73545,4.7537,1.33311,4.7537,2.09136
4.8226,0.71220,4.8226,1.2449,4.8226,1.51934,4.8226,1.48448,4.8226,1.75658,4.8226,1.94486
4.8915,1.22786,4.8915,1.2498,4.8915,1.24371,4.8915,1.35039,4.8915,1.85196,4.8915,1.90461
4.9604,1.03379,4.9604,1.3272,4.9604,1.18501,4.9604,1.10991,4.9604,2.21753,4.9604,1.62605
5.0293,0.60535,5.0293,2.0136,5.0293,1.16302,5.0293,1.21160,5.0293,2.34445,5.0293,1.63925
5.0982,1.53327,5.0982,1.6437,5.0982,0.79417,5.0982,0.92272,5.0982,2.12218,5.0982,2.17316
5.1671,1.95862,5.1671,1.1937,5.1671,0.67079,5.1671,0.89514,5.1671,1.66005,5.1671,2.02797
5.2360,3.17627,5.2360,1.3805,5.2360,1.20333,5.2360,1.29085,5.2360,2.00352,5.2360,1.78203
5.3049,3.18255,5.3049,0.8927,5.3049,0.77303,5.3049,1.43397,5.3049,2.44143,5.3049,2.17205
5.3738,2.33326,5.3738,1.1421,5.3738,0.69827,5.3738,1.21954,5.3738,1.98769,5.3738,2.56627
5.4427,1.28442,5.4427,1.2361,5.4427,1.33239,5.4427,1.03267,5.4427,1.08104,5.4427,1.53261
5.5116,1.61626,5.5116,1.9694,5.5116,1.49724,5.5116,1.10944,5.5116,1.08369,5.5116,1.80848
5.5805,1.10742,5.5805,1.1785,5.5805,1.69155,5.5805,0.83077,5.5805,1.38347,5.5805,1.19065
5.6493,1.14039,5.6493,1.3361,5.6493,1.39008,5.6493,1.24255,5.6493,2.01646,5.6493,0.90075
5.7182,1.96319,5.7182,1.0502,5.7182,1.11616,5.7182,1.09563,5.7182,1.66759,5.7182,0.94125
5.7871,1.84758,5.7871,1.0995,5.7871,0.83843,5.7871,1.14317,5.7871,1.24158,5.7871,1.25136
5.8560,1.18106,5.8560,1.7086,5.8560,1.31348,5.8560,0.51374,5.8560,1.02116,5.8560,1.09735
5.9249,0.91166,5.9249,1.7927,5.9249,1.49596,5.9249,1.10397,5.9249,0.92275,5.9249,1.29956
5.9938,0.54060,5.9938,2.2945,5.9938,1.33268,5.9938,1.02517,5.9938,1.06289,5.9938,1.41130
6.0627,0.38099,6.0627,2.7388,6.0627,1.73324,6.0627,0.93609,6.0627,1.01938,6.0627,1.71218
6.1316,0.61069,6.1316,2.3995,6.1316,1.70758,6.1316,0.61182,6.1316,1.05863,6.1316,1.53476
6.2005,0.37472,6.2005,2.0560,6.2005,1.66105,6.2005,0.30511,6.2005,1.06400,6.2005,1.10835
6.2694,0.40406,6.2694,1.5219,6.2694,2.15330,6.2694,0.38055,6.2694,1.31331,6.2694,0.94418
6.3383,0.65410,6.3383,1.2194,6.3383,1.64749,6.3383,0.41707,6.3383,1.27242,6.3383,0.77474
6.4072,0.95585,6.4072,1.4535,6.4072,2.07625,6.4072,0.51261,6.4072,0.79853,6.4072,0.64710
6.4761,0.61887,6.4761,1.1955,6.4761,1.70797,6.4761,0.87722,6.4761,1.18272,6.4761,0.73118
6.5450,0.80926,6.5450,1.3390,6.5450,1.71179,6.5450,0.93227,6.5450,0.94830,6.5450,0.68788
6.6139,0.54508,6.6139,1.3941,6.6139,1.41082,6.6139,0.84156,6.6139,0.81481,6.6139,0.38732
6.6828,0.40989,6.6828,0.8871,6.6828,2.20838,6.6828,1.15128,6.6828,1.14445,6.6828,0.22900
6.7517,0.60209,6.7517,0.8338,6.7517,2.56656,6.7517,1.21802,6.7517,1.79808,6.7517,0.59769
6.8206,0.51704,6.8206,0.8587,6.8206,2.51636,6.8206,1.19605,6.8206,1.15922,6.8206,0.56775
6.8895,0.62870,6.8895,1.0608,6.8895,2.02433,6.8895,1.24906,6.8895,1.09213,6.8895,0.73238
6.9583,0.66272,6.9583,0.7144,6.9583,1.94847,6.9583,1.41492,6.9583,1.00870,6.9583,0.82946
7.0272,0.56530,7.0272,1.1892,7.0272,2.44328,7.0272,1.15920,7.0272,0.92949,7.0272,1.38889
7.0961,0.58860,7.0961,1.6100,7.0961,2.45523,7.0961,1.61000,7.0961,1.04343,7.0961,2.30686
7.1650,0.41958,7.1650,0.7661,7.1650,2.04922,7.1650,2.06596,7.1650,1.17243,7.1650,2.89549
7.2339,0.71681,7.2339,0.3411,7.2339,1.87989,7.2339,2.00569,7.2339,1.75619,7.2339,4.51548
7.3028,0.76355,7.3028,0.8022,7.3028,1.57176,7.3028,2.45405,7.3028,2.54964,7.3028,6.81051
7.3717,0.60670,7.3717,0.6156,7.3717,1.62184,7.3717,2.22684,7.3717,2.83551,7.3717,6.52303
7.4406,0.92323,7.4406,0.8189,7.4406,0.97606,7.4406,2.11476,7.4406,2.84708,7.4406,4.68818
7.5095,1.17410,7.5095,0.5966,7.5095,1.22233,7.5095,1.82476,7.5095,2.50280,7.5095,3.67121
7.5784,1.18542,7.5784,0.9227,7.5784,1.49793,7.5784,2.49370,7.5784,2.40536,7.5784,3.19920
7.6473,1.41663,7.6473,0.8566,7.6473,1.21572,7.6473,1.70413,7.6473,1.76588,7.6473,2.55564
7.7162,1.21189,7.7162,0.5887,7.7162,1.31139,7.7162,1.24211,7.7162,1.61581,7.7162,2.05700
7.7851,0.78403,7.7851,0.4695,7.7851,1.79778,7.7851,0.87159,7.7851,2.04639,7.7851,1.99149
7.8540,0.86625,7.8540,0.6301,7.8540,1.15437,7.8540,0.30683,7.8540,1.67409,7.8540,1.92367
7.9229,0.92703,7.9229,0.3427,7.9229,0.81493,7.9229,0.33856,7.9229,2.35200,7.9229,1.28697
7.9918,0.87054,7.9918,0.6792,7.9918,0.66791,7.9918,0.83562,7.9918,2.38599,7.9918,1.08593
8.0607,0.81447,8.0607,0.8244,8.0607,1.00045,8.0607,1.07092,8.0607,2.56206,8.0607,1.40581
8.1296,0.82554,8.1296,0.4758,8.1296,0.74162,8.1296,1.20387,8.1296,2.08417,8.1296,1.19060
8.1984,0.84608,8.1984,0.7819,8.1984,0.50048,8.1984,1.85750,8.1984,2.26730,8.1984,1.22091
8.2673,0.76851,8.2673,0.6586,8.2673,0.49167,8.2673,1.70603,8.2673,2.44593,8.2673,0.75291
8.3362,0.74207,8.3362,0.7705,8.3362,0.92259,8.3362,1.29835,8.3362,1.81480,8.3362,0.59145
8.4051,1.05707,8.4051,1.0900,8.4051,1.43763,8.4051,1.34820,8.4051,2.79127,8.4051,0.94642
8.4740,1.26948,8.4740,1.2686,8.4740,1.36139,8.4740,1.10650,8.4740,2.80796,8.4740,1.07010
8.5429,1.75563,8.5429,1.4656,8.5429,1.29923,8.5429,0.87684,8.5429,2.55667,8.5429,1.86235
8.6118,3.00119,8.6118,1.7800,8.6118,1.24912,8.6118,1.42541,8.6118,2.34194,8.6118,1.67536
8.6807,4.61715,8.6807,1.6171,8.6807,1.25083,8.6807,1.79198,8.6807,2.20065,8.6807,1.22159
8.7496,4.92876,8.7496,1.3052,8.7496,1.09556,8.7496,2.26066,8.7496,2.18151,8.7496,1.39279
8.8185,3.68431,8.8185,2.2111,8.8185,0.63673,8.8185,2.98239,8.8185,2.24201,8.8185,1.52726
8.8874,2.07136,8.8874,3.7512,8.8874,0.92948,8.8874,3.79161,8.8874,2.25909,8.8874,1.34924
8.9563,1.14082,8.9563,3.1740,8.9563,0.96155,8.9563,4.72183,8.9563,1.80651,8.9563,1.87534
9.0252,1.01108,9.0252,2.3765,9.0252,0.87090,9.0252,5.13422,9.0252,1.81743,9.0252,3.15061
9.0941,1.11759,9.0941,1.3663,9.0941,0.67309,9.0941,6.16677,9.0941,1.76885,9.0941,2.81620
9.1630,1.26053,9.1630,0.8945,9.1630,0.69763,9.1630,5.47342,9.1630,1.15514,9.1630,3.20369
9.2319,1.06569,9.2319,0.7674,9.2319,0.91814,9.2319,4.62531,9.2319,0.52738,9.2319,2.70058
9.3008,0.91525,9.3008,0.6321,9.3008,1.29279,9.3008,4.18704,9.3008,0.19444,9.3008,2.24772
9.3697,1.13103,9.3697,0.8628,9.3697,1.08332,9.3697,2.56837,9.3697,0.15489,9.3697,1.13702
9.4385,0.89891,9.4385,0.9475,9.4385,1.25502,9.4385,2.46349,9.4385,0.60597,9.4385,0.30548
9.5074,1.05150,9.5074,0.9955,9.5074,1.17546,9.5074,2.42050,9.5074,0.39146,9.5074,0.39933
9.5763,1.23429,9.5763,0.6241,9.5763,1.53565,9.5763,1.52825,9.5763,0.35450,9.5763,0.62998
9.6452,1.93987,9.6452,0.5304,9.6452,1.44002,9.6452,1.13393,9.6452,0.45697,9.6452,0.50106
9.7141,2.59683,9.7141,0.5882,9.7141,1.46307,9.7141,1.33849,9.7141,1.01022,9.7141,0.38892
9.7830,3.45980,9.7830,0.9668,9.7830,0.92529,9.7830,0.82241,9.7830,0.75432,9.7830,0.36217
9.8519,3.59746,9.8519,0.9046,9.8519,1.31772,9.8519,0.77927,9.8519,0.66073,9.8519,0.27557
9.9208,2.60849,9.9208,1.2236,9.9208,1.85445,9.9208,0.98847,9.9208,0.39800,9.9208,0.41528
9.9897,1.38971,9.9897,1.8273,9.9897,2.20591,9.9897,1.38971,9.9897,0.58012,9.9897,0.46930
10.0586,0.74713,10.0586,1.8193,10.0586,2.17128,10.0586,1.04996,10.0586,0.79919,10.0586,0.47064
10.1275,0.61924,10.1275,3.1262,10.1275,2.19217,10.1275,1.01498,10.1275,0.78354,10.1275,0.73070
10.1964,0.94532,10.1964,3.0240,10.1964,1.93909,10.1964,0.69338,10.1964,0.37404,10.1964,1.33669
10.2653,0.82766,10.2653,3.2475,10.2653,1.39124,10.2653,0.92451,10.2653,0.35293,10.2653,1.84945
10.3342,1.14812,10.3342,3.2310,10.3342,0.98731,10.3342,0.57966,10.3342,0.62986,10.3342,1.31700
10.4031,2.09480,10.4031,2.8424,10.4031,1.27835,10.4031,1.09986,10.4031,0.99383,10.4031,1.24004
10.4720,2.12007,10.4720,1.9875,10.4720,0.98431,10.4720,0.75931,10.4720,0.76750,10.4720,1.37444
10.5409,1.79614,10.5409,1.6021,10.5409,1.17637,10.5409,0.93082,10.5409,0.97402,10.5409,1.41549
10.6098,2.05202,10.6098,1.2747,10.6098,1.34337,10.6098,0.71116,10.6098,0.64979,10.6098,1.35072
10.6786,2.36943,10.6786,1.5053,10.6786,2.18906,10.6786,0.51068,10.6786,0.70576,10.6786,2.12129
10.7475,2.47839,10.7475,1.2187,10.7475,3.02946,10.7475,0.52724,10.7475,0.78672,10.7475,2.20145
10.8164,3.04991,10.8164,0.5366,10.8164,4.47102,10.8164,0.62665,10.8164,0.59254,10.8164,2.63688
10.8853,3.07539,10.8853,0.9325,10.8853,4.55897,10.8853,0.86077,10.8853,0.95437,10.8853,3.27191
