X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4
0.0000,24.9477,0.0000,31.0784,0.0000,35.5415,0.0000,7.4607,0.0000,31.6699
0.0689,36.0037,0.0689,18.3349,0.0689,35.6447,0.0689,9.4602,0.0689,45.4392
0.1378,46.2415,0.1378,19.0944,0.1378,34.2475,0.1378,9.8486,0.1378,48.5996
0.2067,46.5374,0.2067,18.3018,0.2067,33.0875,0.2067,10.6168,0.2067,44.7467
0.2756,38.9306,0.2756,29.5154,0.2756,29.5460,0.2756,12.3421,0.2756,31.5170
0.3445,25.3779,0.3445,35.5144,0.3445,26.8073,0.3445,10.9555,0.3445,20.3895
0.4134,20.8035,0.4134,39.2819,0.4134,19.4455,0.4134,10.3444,0.4134,13.1895
0.4823,14.9352,0.4823,36.5804,0.4823,13.9972,0.4823,12.4684,0.4823,9.2141
0.5512,12.5889,0.5512,38.6830,0.5512,10.8104,0.5512,10.9834,0.5512,11.1048
0.6201,11.0158,0.6201,34.0125,0.6201,6.4344,0.6201,11.7336,0.6201,12.3681
0.6889,7.1122,0.6889,31.5216,0.6889,7.1635,0.6889,13.0435,0.6889,17.8436
0.7578,7.3035,0.7578,34.8854,0.7578,8.0079,0.7578,19.6636,0.7578,28.2809
0.8267,8.2434,0.8267,41.0985,0.8267,7.7303,0.8267,24.5500,0.8267,42.4731
0.8956,11.2496,0.8956,52.8846,0.8956,8.5542,0.8956,28.8782,0.8956,35.4864
0.9645,15.1198,0.9645,68.6535,0.9645,8.9224,0.9645,28.0816,0.9645,28.8706
1.0334,22.6470,1.0334,70.3950,1.0334,5.6392,1.0334,22.4508,1.0334,17.2895
1.1023,28.0757,1.1023,57.8801,1.1023,3.4691,1.1023,17.7456,1.1023,13.2833
1.1712,28.8141,1.1712,47.8586,1.1712,3.2609,1.1712,11.6423,1.1712,16.0387
1.2401,27.5830,1.2401,36.8853,1.2401,2.7125,1.2401,7.3355,1.2401,14.7513
1.3090,28.0883,1.3090,27.3533,1.3090,2.4272,1.3090,4.0255,1.3090,14.5107
1.3779,21.5703,1.3779,20.1763,1.3779,2.2254,1.3779,3.9029,1.3779,11.5773
1.4468,18.8647,1.4468,16.0125,1.4468,3.8211,1.4468,5.2834,1.4468,6.8015
1.5157,18.2832,1.5157,12.1278,1.5157,6.9020,1.5157,8.3325,1.5157,3.1250
1.5846,14.9259,1.5846,6.7061,1.5846,12.0392,1.5846,10.0791,1.5846,3.7402
1.6535,13.4476,1.6535,3.3156,1.6535,8.7375,1.6535,12.8506,1.6535,3.8827
1.7224,9.3566,1.7224,3.4128,1.7224,5.7489,1.7224,10.6546,1.7224,7.0021
1.7913,12.0209,1.7913,1.7150,1.7913,4.3529,1.7913,8.4985,1.7913,12.5077
1.8602,10.8206,1.8602,2.0340,1.8602,5.4478,1.8602,5.4288,1.8602,19.8198
1.9290,11.7312,1.9290,3.7822,1.9290,7.7916,1.9290,4.9857,1.9290,22.7455
1.9979,9.2736,1.9979,3.6812,1.9979,5.6367,1.9979,3.1389,1.9979,26.4151
2.0668,5.0461,2.0668,5.9869,2.0668,4.3125,2.0668,3.8988,2.0668,21.3136
2.1357,3.1601,2.1357,7.9392,2.1357,3.6682,2.1357,3.8281,2.1357,18.0926
2.2046,3.0073,2.2046,5.2818,2.2046,4.2820,2.2046,3.0543,2.2046,13.2958
2.2735,4.3895,2.2735,4.2506,2.2735,5.5030,2.2735,2.1934,2.2735,10.5423
2.3424,4.6218,2.3424,2.9120,2.3424,5.9813,2.3424,2.7533,2.3424,10.8205
