X0,Y0,X1,Y1,X2,Y2,X3,Y3
0.0000,3.91069,0.0000,3.5017,0.0000,2.78361,0.0000,5.17965
0.0689,4.75035,0.0689,5.0507,0.0689,2.93215,0.0689,4.67270
0.1378,3.60574,0.1378,4.7335,0.1378,3.26240,0.1378,3.47763
0.2067,2.75287,0.2067,4.0597,0.2067,3.53309,0.2067,3.98275
0.2756,1.66932,0.2756,2.9488,0.2756,2.04298,0.2756,3.29145
0.3445,1.27077,0.3445,2.4743,0.3445,1.39862,0.3445,3.84896
0.4134,1.31992,0.4134,1.1281,0.4134,0.99889,0.4134,3.30096
0.4823,1.15437,0.4823,0.6982,0.4823,0.97911,0.4823,3.05181
0.5512,1.21311,0.5512,1.0774,0.5512,1.56859,0.5512,2.13316
0.6201,0.92798,0.6201,0.9593,0.6201,1.48452,0.6201,2.62718
0.6889,0.82156,0.6889,0.8484,0.6889,1.65326,0.6889,2.63087
0.7578,0.99859,0.7578,0.7566,0.7578,1.33895,0.7578,2.31152
0.8267,0.94702,0.8267,1.2407,0.8267,1.40494,0.8267,3.32585
0.8956,0.58936,0.8956,1.3361,0.8956,1.23398,0.8956,3.53568
0.9645,1.39234,0.9645,1.6518,0.9645,0.75182,0.9645,2.58233
1.0334,1.53844,1.0334,1.7176,1.0334,1.42644,1.0334,2.38515
1.1023,1.24752,1.1023,1.7515,1.1023,0.92313,1.1023,2.25592
1.1712,1.63174,1.1712,1.5611,1.1712,1.55054,1.1712,1.72489
1.2401,2.17358,1.2401,0.9356,1.2401,1.69129,1.2401,1.65911
1.3090,1.71611,1.3090,0.9590,1.3090,1.31247,1.3090,1.99844
1.3779,1.23657,1.3779,1.6457,1.3779,1.36164,1.3779,1.94875
1.4468,1.02143,1.4468,1.3053,1.4468,1.39783,1.4468,1.79188
1.5157,0.68037,1.5157,1.2705,1.5157,1.33862,1.5157,1.76131
1.5846,0.65526,1.5846,1.0122,1.5846,1.29501,1.5846,2.64987
1.6535,0.59249,1.6535,0.4920,1.6535,1.50444,1.6535,2.82106
1.7224,1.02550,1.7224,0.5554,1.7224,1.31214,1.7224,2.12467
1.7913,0.63277,1.7913,0.6028,1.7913,1.42386,1.7913,1.59291
1.8602,0.15435,1.8602,0.8966,1.8602,1.60261,1.8602,2.19001
1.9290,0.34616,1.9290,0.9513,1.9290,2.38505,1.9290,2.65122
1.9979,0.32733,1.9979,1.7285,1.9979,2.71237,1.9979,2.63658
2.0668,0.70994,2.0668,1.4499,2.0668,2.54918,2.0668,1.86042
2.1357,0.95164,2.1357,1.4798,2.1357,2.67799,2.1357,1.67505
2.2046,0.86806,2.2046,2.6318,2.2046,3.78680,2.2046,1.66656
2.2735,1.36375,2.2735,3.1519,2.2735,4.48253,2.2735,1.12549
2.3424,1.26900,2.3424,4.6841,2.3424,5.57744,2.3424,1.33196
2.4113,1.62871,2.4113,4.7585,2.4113,5.79520,2.4113,1.24428
2.4802,2.00566,2.4802,4.2037,2.4802,4.50076,2.4802,1.87919
2.5491,2.06641,2.5491,4.8019,2.5491,3.34500,2.5491,1.82451
2.6180,2.21071,2.6180,5.6047,2.6180,3.57113,2.6180,2.01759
2.6869,2.68663,2.6869,3.9697,2.6869,3.49696,2.6869,2.10691
2.7558,3.02498,2.7558,3.7649,2.7558,3.68392,2.7558,1.31534
2.8247,3.17360,2.8247,3.7487,2.8247,3.20365,2.8247,1.41668
2.8936,3.21407,2.8936,2.4845,2.8936,3.05496,2.8936,1.54876
2.9625,3.17503,2.9625,2.9188,2.9625,3.12711,2.9625,2.25644
3.0314,3.52901,3.0314,2.7757,3.0314,1.76304,3.0314,2.66119
3.1003,2.85959,3.1003,3.2449,3.1003,2.54387,3.1003,4.13624
3.1691,2.44845,3.1691,3.4357,3.1691,2.65808,3.1691,4.43483
3.2380,2.54056,3.2380,3.4555,3.2380,2.99139,3.2380,3.78620
3.3069,2.39562,3.3069,4.1354,3.3069,2.44080,3.3069,3.90612
3.3758,2.06942,3.3758,3.7437,3.3758,2.88473,3.3758,3.14402
3.4447,2.56810,3.4447,3.3253,3.4447,2.56911,3.4447,3.41612
3.5136,1.95537,3.5136,2.5929,3.5136,2.81724,3.5136,3.10994
3.5825,2.93834,3.5825,2.4601,3.5825,2.89485,3.5825,2.41083
3.6514,2.96981,3.6514,1.8538,3.6514,3.06842,3.6514,2.73094
3.7203,3.61592,3.7203,1.1638,3.7203,4.04566,3.7203,1.16920
3.7892,4.03652,3.7892,0.9361,3.7892,4.09191,3.7892,1.71888
3.8581,3.33152,3.8581,1.2383,3.8581,4.22578,3.8581,1.78224
3.9270,2.34488,3.9270,1.2795,3.9270,2.81715,3.9270,1.73371
3.9959,2.46452,3.9959,1.4840,3.9959,2.31416,3.9959,1.37093
4.0648,3.05271,4.0648,1.3457,4.0648,2.05484,4.0648,1.80473
4.1337,3.64124,4.1337,1.6870,4.1337,1.20409,4.1337,1.51850
4.2026,3.24803,4.2026,1.3546,4.2026,0.72732,4.2026,1.31941
4.2715,3.44119,4.2715,1.4622,4.2715,0.73797,4.2715,1.16355
4.3404,2.90614,4.3404,0.8607,4.3404,0.70392,4.3404,0.68889
4.4092,2.56219,4.4092,0.8952,4.4092,1.00727,4.4092,0.82644
4.4781,2.88288,4.4781,0.8691,4.4781,1.22958,4.4781,1.08609
4.5470,2.22524,4.5470,0.9550,4.5470,1.45440,4.5470,0.90259
4.6159,2.37535,4.6159,0.6138,4.6159,1.21728,4.6159,0.88363
4.6848,2.26964,4.6848,0.9295,4.6848,1.59441,4.6848,1.48316
4.7537,1.90162,4.7537,1.2088,4.7537,1.65179,4.7537,2.15084
4.8226,2.08092,4.8226,1.1300,4.8226,2.94383,4.8226,3.20481
4.8915,2.44607,4.8915,1.4871,4.8915,3.59826,4.8915,3.12378
