X0,Y0,X1,Y1,X2,Y2,X3,Y3
0.0000,50.1182,0.0000,24.0010,0.0000,20.3522,0.0000,26.2045
0.0689,36.1971,0.0689,28.6930,0.0689,28.7874,0.0689,17.0341
0.1378,25.8752,0.1378,28.4507,0.1378,30.3653,0.1378,8.2106
0.2067,17.1640,0.2067,22.4890,0.2067,23.4834,0.2067,6.4634
0.2756,8.9740,0.2756,18.3228,0.2756,14.5750,0.2756,5.6538
0.3445,7.9311,0.3445,14.1695,0.3445,9.8307,0.3445,6.4385
0.4134,5.5112,0.4134,14.6148,0.4134,5.8002,0.4134,8.3109
0.4823,2.6603,0.4823,13.2812,0.4823,7.5225,0.4823,7.8458
0.5512,1.5393,0.5512,11.2640,0.5512,8.5259,0.5512,14.7943
0.6201,1.2028,0.6201,9.5954,0.6201,7.6904,0.6201,18.0356
0.6889,1.4910,0.6889,9.8667,0.6889,7.1254,0.6889,16.6302
0.7578,1.5182,0.7578,8.5184,0.7578,3.3088,0.7578,15.0307
0.8267,2.2467,0.8267,7.0685,0.8267,2.7242,0.8267,11.5416
0.8956,2.8454,0.8956,6.6608,0.8956,1.5562,0.8956,10.2117
0.9645,4.4056,0.9645,6.2804,0.9645,1.8819,0.9645,7.9650
1.0334,6.0693,1.0334,5.7490,1.0334,1.7364,1.0334,7.9485
1.1023,5.1705,1.1023,4.2512,1.1023,1.7450,1.1023,10.5499
1.1712,4.9635,1.1712,3.9268,1.1712,1.9550,1.1712,9.2145
1.2401,8.0455,1.2401,3.1640,1.2401,1.2657,1.2401,7.9858
1.3090,11.5633,1.3090,3.3989,1.3090,1.7102,1.3090,8.4387
1.3779,12.6653,1.3779,3.0381,1.3779,1.2297,1.3779,8.0992
1.4468,13.3230,1.4468,1.7882,1.4468,1.3898,1.4468,7.8491
1.5157,12.1979,1.5157,2.1689,1.5157,0.6708,1.5157,10.5331
1.5846,12.2078,1.5846,1.9670,1.5846,1.4491,1.5846,10.3669
1.6535,10.2912,1.6535,1.8909,1.6535,2.0158,1.6535,8.0510
1.7224,6.7340,1.7224,2.4379,1.7224,3.5262,1.7224,6.1472
1.7913,3.9659,1.7913,2.3560,1.7913,6.1542,1.7913,5.7869
1.8602,3.5123,1.8602,2.4961,1.8602,10.1308,1.8602,6.4754
1.9290,1.5569,1.9290,1.7540,1.9290,13.4977,1.9290,6.3336
1.9979,1.6338,1.9979,2.0084,1.9979,14.7827,1.9979,4.2898
2.0668,2.4648,2.0668,3.2592,2.0668,16.5716,2.0668,4.0298
2.1357,2.4411,2.1357,5.2011,2.1357,18.5163,2.1357,2.6511
2.2046,3.6856,2.2046,10.6312,2.2046,24.5385,2.2046,2.2076
2.2735,5.4835,2.2735,14.4353,2.2735,29.3195,2.2735,1.2330
2.3424,5.9330,2.3424,15.7165,2.3424,27.6007,2.3424,0.9901
2.4113,6.3097,2.4113,16.7400,2.4113,21.7539,2.4113,1.7267
2.4802,6.7449,2.4802,18.6700,2.4802,15.0436,2.4802,2.1029
2.5491,5.9159,2.5491,21.9603,2.5491,13.2457,2.5491,2.4224
2.6180,6.2160,2.6180,24.9708,2.6180,11.1398,2.6180,1.5991
2.6869,8.8715,2.6869,24.3101,2.6869,14.8085,2.6869,2.2337
2.7558,14.8178,2.7558,20.0603,2.7558,20.2902,2.7558,4.3484
2.8247,21.6841,2.8247,13.2333,2.8247,24.1207,2.8247,8.6169
2.8936,26.1203,2.8936,9.5478,2.8936,18.0442,2.8936,13.0395
2.9625,27.6851,2.9625,7.8068,2.9625,10.4685,2.9625,18.0353
3.0314,24.5093,3.0314,8.1070,3.0314,8.3335,3.0314,22.7731
3.1003,24.1006,3.1003,13.0530,3.1003,6.5451,3.1003,22.8890
3.1691,19.8432,3.1691,18.1376,3.1691,4.5558,3.1691,23.0593
3.2380,17.9336,3.2380,23.7241,3.2380,5.8946,3.2380,20.0567
3.3069,13.4870,3.3069,26.5013,3.3069,9.3025,3.3069,17.1511
3.3758,11.2266,3.3758,29.0429,3.3758,8.0874,3.3758,12.8735
3.4447,9.0381,3.4447,26.2934,3.4447,11.3308,3.4447,11.8168
3.5136,12.3971,3.5136,14.4734,3.5136,13.0829,3.5136,10.3275
3.5825,15.0556,3.5825,8.9970,3.5825,12.2372,3.5825,10.5413
3.6514,19.2468,3.6514,4.2151,3.6514,10.1024,3.6514,11.9794
3.7203,18.4851,3.7203,2.9108,3.7203,9.0182,3.7203,14.1916
3.7892,17.8426,3.7892,3.4171,3.7892,6.1445,3.7892,14.0732
3.8581,17.1125,3.8581,2.4660,3.8581,5.3590,3.8581,13.4744
3.9270,17.3490,3.9270,3.0818,3.9270,3.7418,3.9270,15.7075
3.9959,21.0308,3.9959,2.7426,3.9959,2.7564,3.9959,14.1883
4.0648,26.8796,4.0648,3.2702,4.0648,2.7641,4.0648,12.7047
4.1337,27.3182,4.1337,3.2552,4.1337,1.8471,4.1337,10.0594
4.2026,26.1195,4.2026,4.6447,4.2026,1.5646,4.2026,6.9399
4.2715,18.5413,4.2715,3.3460,4.2715,1.5067,4.2715,6.1414
4.3404,12.6044,4.3404,2.2356,4.3404,1.2757,4.3404,4.0648
4.4092,9.0540,4.4092,1.4898,4.4092,1.6792,4.4092,3.8157
4.4781,6.8163,4.4781,1.3634,4.4781,1.5881,4.4781,2.2598
4.5470,7.2264,4.5470,0.6929,4.5470,3.8116,4.5470,2.5921
4.6159,10.1572,4.6159,1.4741,4.6159,3.6883,4.6159,3.0405
4.6848,12.9684,4.6848,2.4097,4.6848,5.4159,4.6848,7.6996
4.7537,11.9311,4.7537,3.1759,4.7537,9.2410,4.7537,9.9173
4.8226,10.1074,4.8226,3.0162,4.8226,12.9517,4.8226,14.0660
4.8915,6.1668,4.8915,3.5303,4.8915,14.4294,4.8915,14.2047
4.9604,5.8266,4.9604,3.5493,4.9604,15.0938,4.9604,13.0259
5.0293,5.7761,5.0293,2.9162,5.0293,11.1784,5.0293,9.8737
5.0982,7.6045,5.0982,3.2205,5.0982,7.9894,5.0982,6.9667
5.1671,10.0124,5.1671,3.5017,5.1671,4.4424,5.1671,6.0670
5.2360,10.9974,5.2360,2.8814,5.2360,3.2562,5.2360,9.7851
5.3049,10.5075,5.3049,2.6234,5.3049,4.1105,5.3049,20.4694
5.3738,9.1830,5.3738,3.3210,5.3738,5.6360,5.3738,29.1171
5.4427,9.0186,5.4427,3.4121,5.4427,6.2023,5.4427,34.1012
5.5116,10.2644,5.5116,2.6021,5.5116,11.2609,5.5116,28.7888
5.5805,10.2233,5.5805,2.3238,5.5805,12.7432,5.5805,18.8368
5.6493,8.9444,5.6493,3.1636,5.6493,14.1067,5.6493,8.8964
5.7182,7.3682,5.7182,1.5158,5.7182,12.5408,5.7182,5.2309
5.7871,6.2572,5.7871,1.5361,5.7871,9.5820,5.7871,5.3080
5.8560,8.6625,5.8560,2.3367,5.8560,6.9828,5.8560,7.7541
5.9249,12.0983,5.9249,2.1847,5.9249,3.9450,5.9249,8.9342
5.9938,14.6922,5.9938,3.0321,5.9938,1.9635,5.9938,9.0143
6.0627,10.0263,6.0627,5.2686,6.0627,2.2461,6.0627,10.0457
6.1316,9.2946,6.1316,7.2681,6.1316,1.2320,6.1316,7.8850
6.2005,10.4146,6.2005,14.0303,6.2005,1.5466,6.2005,6.5537
6.2694,9.5324,6.2694,21.1043,6.2694,3.3191,6.2694,5.3251
6.3383,8.7766,6.3383,26.3890,6.3383,3.0673,6.3383,4.4056
6.4072,6.7758,6.4072,21.6409,6.4072,3.8199,6.4072,2.7613
6.4761,6.4711,6.4761,12.3103,6.4761,2.8634,6.4761,2.2520
6.5450,7.9697,6.5450,9.4056,6.5450,2.5360,6.5450,2.8549
