X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6
0.0000,2.79323,0.0000,1.51819,0.0000,2.26949,0.0000,1.15253,0.0000,3.35050,0.00000,3.41692,0.0000,0.97209
0.0689,2.89654,0.0689,1.85513,0.0689,2.26234,0.0689,1.17057,0.0689,3.96134,0.06889,3.16878,0.0689,1.04616
0.1378,2.55847,0.1378,1.95146,0.1378,2.24943,0.1378,1.12769,0.1378,5.30377,0.13779,3.09372,0.1378,1.46224
0.2067,1.98905,0.2067,2.82368,0.2067,2.55972,0.2067,1.21957,0.2067,6.20947,0.20668,2.39445,0.2067,2.09962
0.2756,2.79238,0.2756,2.38012,0.2756,3.48715,0.2756,1.90776,0.2756,6.63017,0.27558,2.28974,0.2756,1.42810
0.3445,3.19369,0.3445,2.80195,0.3445,3.64851,0.3445,1.86597,0.3445,5.55121,0.34447,2.18169,0.3445,1.91132
0.4134,3.15212,0.4134,2.69600,0.4134,5.36391,0.4134,1.83030,0.4134,3.86954,0.41337,2.03741,0.4134,1.50902
0.4823,3.86750,0.4823,1.91716,0.4823,5.47205,0.4823,2.25755,0.4823,3.72263,0.48226,1.42149,0.4823,0.99324
0.5512,2.68603,0.5512,1.66035,0.5512,4.94214,0.5512,1.53731,0.5512,2.94166,0.55116,2.44550,0.5512,1.58958
0.6201,3.23934,0.6201,1.09895,0.6201,5.14574,0.6201,1.87393,0.6201,2.83511,0.62005,2.50422,0.6201,1.95713
0.6889,2.96988,0.6889,0.94538,0.6889,3.71188,0.6889,2.34573,0.6889,3.19365,0.68894,2.95922,0.6889,1.68866
0.7578,2.67181,0.7578,1.36278,0.7578,3.54143,0.7578,2.20429,0.7578,2.55261,0.75784,3.39494,0.7578,2.15220
0.8267,1.30113,0.8267,1.75978,0.8267,2.69462,0.8267,2.05517,0.8267,2.73084,0.82673,2.45612,0.8267,2.10597
0.8956,1.39026,0.8956,1.04208,0.8956,2.55809,0.8956,2.78108,0.8956,2.25422,0.89563,2.94900,0.8956,3.18801
0.9645,1.80462,0.9645,1.49402,0.9645,3.01446,0.9645,2.75042,0.9645,2.15161,0.96452,2.35863,0.9645,2.40370
1.0334,1.83359,1.0334,1.11172,1.0334,2.20709,1.0334,2.35713,1.0334,2.57190,1.03342,2.49861,1.0334,1.37663
1.1023,1.52708,1.1023,1.24385,1.1023,3.10685,1.1023,1.52612,1.1023,2.46032,1.10231,2.81964,1.1023,2.37886
1.1712,2.38079,1.1712,1.44819,1.1712,3.13703,1.1712,1.36935,1.1712,1.47064,1.17121,2.67124,1.1712,3.63155
1.2401,2.57051,1.2401,1.37003,1.2401,3.61453,1.2401,1.76784,1.2401,1.87905,1.24010,2.35187,1.2401,3.34385
1.3090,2.34667,1.3090,1.33530,1.3090,3.76432,1.3090,2.95606,1.3090,1.97132,1.30900,2.24529,1.3090,3.74570
1.3779,1.69951,1.3779,1.78606,1.3779,3.49629,1.3779,1.78610,1.3779,1.46521,1.37789,1.60242,1.3779,3.25545
1.4468,1.25416,1.4468,2.23336,1.4468,3.18883,1.4468,2.20843,1.4468,1.85517,1.44678,1.59851,1.4468,3.33754
1.5157,1.33122,1.5157,1.90485,1.5157,2.98184,1.5157,2.13320,1.5157,2.00609,1.51568,2.11442,1.5157,2.97994
1.5846,0.89515,1.5846,1.27846,1.5846,2.65082,1.5846,2.79618,1.5846,1.80814,1.58457,2.84282,1.5846,3.63816
1.6535,1.61924,1.6535,1.59343,1.6535,2.03623,1.6535,2.03575,1.6535,2.32564,1.65347,1.99142,1.6535,3.70790
1.7224,1.43769,1.7224,1.35604,1.7224,2.14987,1.7224,1.92125,1.7224,3.14978,1.72236,1.62632,1.7224,4.18383
1.7913,1.04038,1.7913,1.29849,1.7913,2.55900,1.7913,1.41984,1.7913,2.16108,1.79126,1.81615,1.7913,3.09578
1.8602,0.97604,1.8602,1.39923,1.8602,2.83612,1.8602,2.40614,1.8602,1.86730,1.86015,1.63812,1.8602,2.60897
1.9290,1.11129,1.9290,1.73481,1.9290,3.35041,1.9290,2.08989,1.9290,1.75739,1.92905,1.57571,1.9290,1.68513
1.9979,0.96829,1.9979,2.20813,1.9979,3.44849,1.9979,1.18156,1.9979,1.63304,1.99794,1.31360,1.9979,1.42501
2.0668,1.51211,2.0668,1.80746,2.0668,2.75210,2.0668,1.66301,2.0668,1.46009,2.06683,2.10219,2.0668,1.17601
2.1357,1.66323,2.1357,1.92423,2.1357,2.13161,2.1357,1.29316,2.1357,1.49127,2.13573,2.13399,2.1357,1.31845
2.2046,1.13556,2.2046,2.12424,2.2046,1.43502,2.2046,1.35674,2.2046,1.07727,2.20462,2.16508,2.2046,2.44578
2.2735,1.45723,2.2735,2.26176,2.2735,0.97631,2.2735,1.67010,2.2735,1.70685,2.27352,2.91044,2.2735,2.66888
2.3424,1.72034,2.3424,3.07472,2.3424,1.31286,2.3424,1.90385,2.3424,1.19429,2.34241,3.22959,2.3424,2.54567
2.4113,1.88386,2.4113,4.04460,2.4113,1.28238,2.4113,2.05863,2.4113,1.34711,2.41131,4.22363,2.4113,2.93056
2.4802,1.88781,2.4802,3.89672,2.4802,1.10559,2.4802,1.99314,2.4802,1.40261,2.48020,3.75731,2.4802,2.62674
2.5491,1.62785,2.5491,3.45349,2.5491,1.65362,2.5491,2.22347,2.5491,1.43827,2.54910,2.87651,2.5491,2.98476
2.6180,2.33721,2.6180,4.19621,2.6180,1.56865,2.6180,2.68248,2.6180,1.65976,2.61799,2.59192,2.6180,2.93814
2.6869,2.01170,2.6869,4.95952,2.6869,1.53324,2.6869,2.96581,2.6869,1.25715,2.68689,2.67967,2.6869,3.26670
2.7558,2.05208,2.7558,5.05766,2.7558,1.72636,2.7558,3.11718,2.7558,1.59446,2.75578,2.46885,2.7558,3.40865
2.8247,2.20552,2.8247,4.96096,2.8247,2.41336,2.8247,2.28845,2.8247,1.89851,2.82467,2.46259,2.8247,2.60921
2.8936,2.28481,2.8936,5.08754,2.8936,2.53367,2.8936,1.84026,2.8936,1.39130,2.89357,1.93009,2.8936,2.88240
2.9625,2.26408,2.9625,4.73869,2.9625,2.48383,2.9625,1.93720,2.9625,1.22134,2.96246,2.21892,2.9625,2.88781
3.0314,2.80462,3.0314,5.22561,3.0314,2.71014,3.0314,1.21098,3.0314,1.89329,3.03136,1.67390,3.0314,3.34105
3.1003,1.90412,3.1003,4.04395,3.1003,2.57631,3.1003,1.03860,3.1003,1.60861,3.10025,1.42369,3.1003,3.55708
3.1691,1.72418,3.1691,3.55374,3.1691,2.26079,3.1691,0.75193,3.1691,1.76226,3.16915,1.96311,3.1691,3.26117
3.2380,1.52590,3.2380,2.91571,3.2380,2.32503,3.2380,0.92375,3.2380,1.83338,3.23804,2.14161,3.2380,2.29979
3.3069,0.94766,3.3069,2.71267,3.3069,2.91996,3.3069,1.30546,3.3069,1.35376,3.30694,2.60228,3.3069,1.66403
3.3758,1.20404,3.3758,3.35096,3.3758,1.88913,3.3758,1.67954,3.3758,1.68290,3.37583,2.86862,3.3758,2.07729
3.4447,1.12266,3.4447,3.11658,3.4447,1.65342,3.4447,1.52561,3.4447,1.59740,3.44473,2.82032,3.4447,1.57353
3.5136,1.36306,3.5136,2.65230,3.5136,1.62466,3.5136,1.46754,3.5136,1.47980,3.51362,1.66496,3.5136,2.18207
3.5825,1.16776,3.5825,3.70919,3.5825,1.74656,3.5825,1.88192,3.5825,1.89224,3.58251,1.59272,3.5825,2.81183
3.6514,1.09092,3.6514,3.36714,3.6514,1.89046,3.6514,1.44543,3.6514,1.81775,3.65141,1.44905,3.6514,4.30772
3.7203,1.62299,3.7203,2.83449,3.7203,1.69165,3.7203,1.82569,3.7203,2.32064,3.72030,1.91058,3.7203,3.87088
3.7892,2.00970,3.7892,2.80594,3.7892,1.67827,3.7892,1.49234,3.7892,2.06946,3.78920,1.49501,3.7892,4.12718
3.8581,1.74543,3.8581,2.80848,3.8581,1.81017,3.8581,2.28258,3.8581,2.06111,3.85809,1.59316,3.8581,3.67267
3.9270,2.27523,3.9270,3.36884,3.9270,0.85021,3.9270,2.14523,3.9270,1.76439,3.92699,1.24843,3.9270,3.67394
3.9959,3.55609,3.9959,3.97663,3.9959,1.31763,3.9959,2.30708,3.9959,1.51380,3.99588,2.16193,3.9959,3.33746
4.0648,4.61073,4.0648,2.97103,4.0648,1.87544,4.0648,2.20051,4.0648,1.58658,4.06478,2.21012,4.0648,3.17784
4.1337,6.30329,4.1337,1.88668,4.1337,1.53707,4.1337,1.62185,4.1337,0.97618,4.13367,2.10833,4.1337,2.89221
4.2026,6.89563,4.2026,1.71462,4.2026,1.37878,4.2026,1.48605,4.2026,1.48796,4.20256,1.45128,4.2026,2.62909
4.2715,6.38155,4.2715,2.69786,4.2715,1.35294,4.2715,1.32155,4.2715,1.64663,4.27146,1.44284,4.2715,2.96754
4.3404,4.02559,4.3404,2.44630,4.3404,1.44476,4.3404,1.23115,4.3404,1.73311,4.34035,1.75733,4.3404,3.35780
4.4092,2.90039,4.4092,3.52586,4.4092,2.15005,4.4092,1.63659,4.4092,2.05187,4.40925,1.53751,4.4092,3.05857
4.4781,2.32453,4.4781,3.45859,4.4781,1.52056,4.4781,1.58734,4.4781,1.75810,4.47814,1.55091,4.4781,2.99607
4.5470,2.32099,4.5470,3.51236,4.5470,2.05591,4.5470,1.93051,4.5470,1.75482,4.54704,1.80151,4.5470,3.38618
4.6159,2.50312,4.6159,3.07521,4.6159,1.51164,4.6159,3.73293,4.6159,1.82472,4.61593,1.67835,4.6159,3.27968
4.6848,2.19483,4.6848,3.36573,4.6848,1.77510,4.6848,2.69373,4.6848,3.96653,4.68483,1.46649,4.6848,4.68659
4.7537,2.37062,4.7537,3.05160,4.7537,1.66723,4.7537,2.31253,4.7537,3.69873,4.75372,1.87986,4.7537,3.48004
4.8226,1.88640,4.8226,3.01001,4.8226,2.01797,4.8226,2.71243,4.8226,3.46010,4.82262,2.51892,4.8226,2.79826
4.8915,1.43917,4.8915,2.81643,4.8915,2.50756,4.8915,2.87717,4.8915,4.51470,4.89151,2.45159,4.8915,2.29177
4.9604,1.49899,4.9604,2.67588,4.9604,2.17673,4.9604,3.44711,4.9604,3.56836,4.96040,2.41303,4.9604,2.05484
5.0293,0.76995,5.0293,2.62386,5.0293,2.98495,5.0293,3.77057,5.0293,2.38139,5.02930,2.01447,5.0293,2.08073
