X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5
0.0000,79.6426,0.0000,18.6618,0.0000,6.0215,0.0000,9.4537,0.0000,13.2442,0.0000,13.3068
0.0689,66.9429,0.0689,11.1524,0.0689,6.7092,0.0689,11.9069,0.0689,14.7753,0.0689,12.7116
0.1378,40.5330,0.1378,4.8838,0.1378,5.9706,0.1378,23.2486,0.1378,18.2436,0.1378,12.6837
0.2067,20.3994,0.2067,1.9796,0.2067,8.8816,0.2067,33.9737,0.2067,22.6874,0.2067,11.2300
0.2756,11.9316,0.2756,2.0864,0.2756,8.1164,0.2756,41.5903,0.2756,22.6159,0.2756,15.0475
0.3445,10.1730,0.3445,1.6646,0.3445,9.0837,0.3445,47.3760,0.3445,20.3154,0.3445,16.4071
0.4134,9.4062,0.4134,1.8673,0.4134,9.1857,0.4134,45.2595,0.4134,17.6850,0.4134,13.7092
0.4823,7.0894,0.4823,3.5065,0.4823,13.0835,0.4823,34.3911,0.4823,15.7907,0.4823,11.8675
0.5512,6.4298,0.5512,2.9469,0.5512,20.1817,0.5512,24.0739,0.5512,9.1443,0.5512,10.2582
0.6201,7.0414,0.6201,3.1683,0.6201,24.9895,0.6201,18.6335,0.6201,8.1412,0.6201,7.3486
0.6889,6.4269,0.6889,2.1944,0.6889,21.5008,0.6889,13.0561,0.6889,6.4999,0.6889,5.5506
0.7578,10.2585,0.7578,3.4845,0.7578,14.2851,0.7578,9.5957,0.7578,3.9652,0.7578,6.9964
0.8267,15.9349,0.8267,6.1061,0.8267,8.2140,0.8267,6.7226,0.8267,3.1057,0.8267,9.2422
0.8956,19.3298,0.8956,5.4838,0.8956,5.2195,0.8956,6.3156,0.8956,2.6154,0.8956,11.8520
0.9645,20.2931,0.9645,5.9715,0.9645,1.8598,0.9645,9.1702,0.9645,3.4497,0.9645,13.2369
1.0334,12.2021,1.0334,10.9532,1.0334,1.6233,1.0334,10.4021,1.0334,4.6801,1.0334,12.9127
1.1023,7.9022,1.1023,23.1637,1.1023,2.5866,1.1023,16.0604,1.1023,4.2917,1.1023,11.4683
1.1712,6.4083,1.1712,31.4630,1.1712,2.7761,1.1712,14.2414,1.1712,2.6698,1.1712,14.2956
1.2401,7.5592,1.2401,36.7027,1.2401,3.1928,1.2401,12.7325,1.2401,3.5900,1.2401,11.8267
1.3090,6.0903,1.3090,32.9913,1.3090,1.5624,1.3090,7.4934,1.3090,4.4176,1.3090,11.6365
1.3779,6.2178,1.3779,21.8417,1.3779,1.4125,1.3779,6.9903,1.3779,4.4055,1.3779,11.8964
1.4468,5.1817,1.4468,12.9736,1.4468,0.9961,1.4468,7.6315,1.4468,4.8153,1.4468,10.9280
1.5157,10.0597,1.5157,6.5994,1.5157,0.9083,1.5157,7.3338,1.5157,6.7205,1.5157,11.2111
1.5846,17.2753,1.5846,3.5509,1.5846,0.7816,1.5846,7.1510,1.5846,9.3355,1.5846,11.7684
1.6535,15.1711,1.6535,3.1933,1.6535,0.5020,1.6535,6.6943,1.6535,9.4907,1.6535,14.6325
1.7224,13.1420,1.7224,5.5889,1.7224,0.9267,1.7224,6.2168,1.7224,6.7708,1.7224,15.6099
1.7913,11.9819,1.7913,9.3418,1.7913,1.4932,1.7913,4.4019,1.7913,4.2079,1.7913,19.1863
1.8602,11.6478,1.8602,12.1778,1.8602,2.7072,1.8602,2.6753,1.8602,2.4257,1.8602,16.5504
1.9290,10.5918,1.9290,13.7520,1.9290,5.5342,1.9290,2.0101,1.9290,0.7483,1.9290,15.9024
1.9979,11.0253,1.9979,15.8942,1.9979,8.1094,1.9979,2.5998,1.9979,0.7432,1.9979,14.3496
2.0668,7.4347,2.0668,15.8315,2.0668,10.1054,2.0668,2.7825,2.0668,0.9832,2.0668,13.9417
2.1357,4.1758,2.1357,14.2452,2.1357,12.7171,2.1357,4.3704,2.1357,2.0035,2.1357,9.6038
2.2046,2.7071,2.2046,10.8411,2.2046,14.8527,2.2046,4.1594,2.2046,4.1914,2.2046,6.8120
2.2735,3.2011,2.2735,7.6544,2.2735,13.0789,2.2735,4.5989,2.2735,6.5054,2.2735,3.8179
2.3424,3.3687,2.3424,9.0378,2.3424,14.1694,2.3424,6.4986,2.3424,8.4453,2.3424,4.8139
2.4113,4.2271,2.4113,11.8118,2.4113,14.5032,2.4113,10.4725,2.4113,9.2945,2.4113,4.6717
2.4802,6.3555,2.4802,17.9448,2.4802,21.2282,2.4802,15.7166,2.4802,9.1108,2.4802,6.5319
2.5491,6.9043,2.5491,14.9488,2.5491,34.7495,2.5491,16.6604,2.5491,8.4593,2.5491,7.9684
2.6180,6.6678,2.6180,11.7566,2.6180,44.1157,2.6180,16.3872,2.6180,6.7907,2.6180,9.3483
2.6869,8.1176,2.6869,8.1593,2.6869,46.8385,2.6869,14.6180,2.6869,5.7508,2.6869,9.5834
