X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8
0.0000,0.97910,0.0000,3.07932,0.0000,2.72949,0.0000,2.02409,0.00000,2.77484,0.00000,1.86609,0.0000,1.87557,0.0000,2.35520,0.0000,1.92874
0.0689,0.89196,0.0689,2.44873,0.0689,2.16061,0.0689,1.89440,0.06889,2.94595,0.06889,1.91430,0.0689,1.78465,0.0689,2.47337,0.0689,2.95098
0.1378,1.19562,0.1378,2.61887,0.1378,2.01014,0.1378,2.91326,0.13779,3.30110,0.13779,2.72096,0.1378,1.76746,0.1378,2.39435,0.1378,2.51230
0.2067,1.30391,0.2067,2.49966,0.2067,2.49364,0.2067,4.23541,0.20668,3.47191,0.20668,2.63785,0.2067,1.87048,0.2067,2.35513,0.2067,2.84095
0.2756,1.20885,0.2756,2.61055,0.2756,1.90901,0.2756,3.82518,0.27558,2.43375,0.27558,2.44786,0.2756,2.58175,0.2756,1.74592,0.2756,1.75562
0.3445,1.34433,0.3445,1.52392,0.3445,1.16845,0.3445,3.85681,0.34447,2.04256,0.34447,2.46817,0.3445,2.59991,0.3445,1.49979,0.3445,1.22250
0.4134,1.25456,0.4134,1.39406,0.4134,1.21368,0.4134,3.77407,0.41337,1.95987,0.41337,1.93098,0.4134,2.61684,0.4134,1.74928,0.4134,1.46788
0.4823,1.13331,0.4823,2.43425,0.4823,1.28609,0.4823,3.44920,0.48226,1.32288,0.48226,2.22533,0.4823,3.20404,0.4823,1.19696,0.4823,1.20354
0.5512,1.40909,0.5512,2.14657,0.5512,0.81476,0.5512,2.32585,0.55116,1.22145,0.55116,1.69470,0.5512,1.95893,0.5512,1.29388,0.5512,2.07417
0.6201,1.46050,0.6201,1.46332,0.6201,0.78585,0.6201,1.45201,0.62005,1.27774,0.62005,1.13646,0.6201,1.00537,0.6201,1.62902,0.6201,1.67203
0.6889,1.03985,0.6889,1.86189,0.6889,0.97618,0.6889,1.76362,0.68894,0.98850,0.68894,1.29277,0.6889,1.15479,0.6889,1.29843,0.6889,2.30705
0.7578,1.10751,0.7578,2.05647,0.7578,1.26419,0.7578,2.23258,0.75784,0.92696,0.75784,1.36949,0.7578,1.81769,0.7578,0.78041,0.7578,1.80014
0.8267,1.12796,0.8267,1.90056,0.8267,1.34621,0.8267,2.17148,0.82673,1.15004,0.82673,0.87436,0.8267,1.21987,0.8267,0.98277,0.8267,1.24795
0.8956,1.23009,0.8956,2.10850,0.8956,1.01191,0.8956,1.92886,0.89563,0.83314,0.89563,1.56724,0.8956,0.84244,0.8956,1.62403,0.8956,0.96580
0.9645,1.26079,0.9645,1.26490,0.9645,0.74553,0.9645,1.52735,0.96452,0.86797,0.96452,1.41859,0.9645,1.07960,0.9645,2.23189,0.9645,1.55628
1.0334,1.23215,1.0334,1.06653,1.0334,1.11081,1.0334,1.64686,1.03342,0.83605,1.03342,1.37295,1.0334,1.19290,1.0334,1.46244,1.0334,1.55768
1.1023,1.12957,1.1023,1.05491,1.1023,1.51314,1.1023,1.30380,1.10231,0.77417,1.10231,1.20336,1.1023,0.95202,1.1023,0.96648,1.1023,1.66359
1.1712,1.05917,1.1712,0.73443,1.1712,0.90514,1.1712,1.28231,1.17121,0.89511,1.17121,2.00916,1.1712,0.55956,1.1712,1.44109,1.1712,1.94788
1.2401,1.10679,1.2401,0.93327,1.2401,0.70559,1.2401,1.37705,1.24010,1.09228,1.24010,2.12480,1.2401,0.58534,1.2401,1.48760,1.2401,1.95579
1.3090,1.49350,1.3090,1.26660,1.3090,0.60537,1.3090,0.83005,1.30900,0.83807,1.30900,1.80403,1.3090,0.64592,1.3090,1.48484,1.3090,1.27017
1.3779,1.11335,1.3779,1.63899,1.3779,0.79044,1.3779,0.68908,1.37789,1.33534,1.37789,1.18332,1.3779,0.33054,1.3779,2.10282,1.3779,1.10043
1.4468,1.31481,1.4468,1.68250,1.4468,0.93854,1.4468,0.61770,1.44678,1.20312,1.44678,1.16249,1.4468,0.37551,1.4468,2.52151,1.4468,1.38421
1.5157,1.01223,1.5157,1.91892,1.5157,0.74695,1.5157,0.59882,1.51568,1.15837,1.51568,1.08184,1.5157,0.58517,1.5157,3.24732,1.5157,1.09827
1.5846,0.82948,1.5846,1.57618,1.5846,1.33556,1.5846,0.57564,1.58457,1.36306,1.58457,0.71510,1.5846,0.59207,1.5846,2.53054,1.5846,0.80067
1.6535,1.64959,1.6535,1.62063,1.6535,1.93906,1.6535,0.36796,1.65347,1.28561,1.65347,1.15066,1.6535,0.63842,1.6535,1.95758,1.6535,0.94409
1.7224,1.35295,1.7224,1.29252,1.7224,2.62436,1.7224,0.33629,1.72236,1.37586,1.72236,1.09289,1.7224,0.88132,1.7224,1.96188,1.7224,1.05779
1.7913,1.08182,1.7913,1.17041,1.7913,2.48546,1.7913,0.70803,1.79126,2.04046,1.79126,1.03440,1.7913,1.08388,1.7913,1.92714,1.7913,0.80063
1.8602,0.59961,1.8602,1.93092,1.8602,1.17834,1.8602,0.48971,1.86015,2.22188,1.86015,1.25967,1.8602,1.72412,1.8602,1.43834,1.8602,0.77830
1.9290,1.34541,1.9290,2.04170,1.9290,0.67563,1.9290,0.41522,1.92905,1.91424,1.92905,1.17326,1.9290,2.26086,1.9290,1.72551,1.9290,0.40268
1.9979,1.53559,1.9979,2.33889,1.9979,1.21735,1.9979,0.74441,1.99794,2.09681,1.99794,0.60723,1.9979,2.02664,1.9979,1.63182,1.9979,0.48933
2.0668,1.56699,2.0668,2.20542,2.0668,0.97106,2.0668,0.99407,2.06683,2.44215,2.06683,1.36560,2.0668,2.48259,2.0668,2.44623,2.0668,0.57382
2.1357,1.77178,2.1357,1.67630,2.1357,0.66840,2.1357,0.57680,2.13573,1.87529,2.13573,1.77809,2.1357,2.43586,2.1357,2.91228,2.1357,0.84569
2.2046,1.77533,2.2046,2.20075,2.2046,0.98519,2.2046,0.88593,2.20462,1.56942,2.20462,1.75027,2.2046,2.01222,2.2046,3.26881,2.2046,0.46796
2.2735,2.31919,2.2735,2.44420,2.2735,0.83031,2.2735,0.75398,2.27352,1.41985,2.27352,1.41751,2.2735,1.86738,2.2735,2.88593,2.2735,0.69347
2.3424,2.70833,2.3424,2.34648,2.3424,0.71446,2.3424,0.15952,2.34241,1.02918,2.34241,1.72586,2.3424,1.59139,2.3424,3.87958,2.3424,0.46357
2.4113,3.87872,2.4113,1.87611,2.4113,0.66089,2.4113,0.14603,2.41131,1.12516,2.41131,1.76999,2.4113,1.18584,2.4113,3.10011,2.4113,0.39667
2.4802,3.42230,2.4802,1.70905,2.4802,0.48643,2.4802,0.48759,2.48020,1.12712,2.48020,1.40525,2.4802,1.15719,2.4802,2.99153,2.4802,0.97433
2.5491,2.94143,2.5491,1.14988,2.5491,0.88518,2.5491,0.51954,2.54910,1.10589,2.54910,1.76567,2.5491,1.15034,2.5491,2.15484,2.5491,1.21018
2.6180,2.81283,2.6180,1.14658,2.6180,0.33185,2.6180,0.38881,2.61799,0.92669,2.61799,2.27306,2.6180,1.84306,2.6180,1.77142,2.6180,1.38977
2.6869,2.64779,2.6869,1.54108,2.6869,0.71187,2.6869,0.54753,2.68689,0.84460,2.68689,1.69147,2.6869,1.35650,2.6869,1.19946,2.6869,0.94647
2.7558,2.26659,2.7558,1.33177,2.7558,0.58540,2.7558,0.53783,2.75578,1.39517,2.75578,2.08571,2.7558,0.75490,2.7558,1.00965,2.7558,1.14125
2.8247,2.48643,2.8247,0.89176,2.8247,0.68632,2.8247,0.59714,2.82467,1.14015,2.82467,1.32446,2.8247,1.46356,2.8247,1.21423,2.8247,0.83315
2.8936,2.63685,2.8936,1.32767,2.8936,0.64837,2.8936,0.36664,2.89357,1.64612,2.89357,1.13645,2.8936,1.93298,2.8936,1.27022,2.8936,1.07442
2.9625,2.56325,2.9625,1.26321,2.9625,0.70265,2.9625,0.62618,2.96246,1.42029,2.96246,1.60111,2.9625,2.79309,2.9625,1.35036,2.9625,1.01013
3.0314,2.39878,3.0314,1.41287,3.0314,0.79034,3.0314,0.89558,3.03136,1.23753,3.03136,1.37724,3.0314,3.59672,3.0314,1.72990,3.0314,0.93344
3.1003,2.52550,3.1003,1.25614,3.1003,1.20573,3.1003,0.54658,3.10025,1.19055,3.10025,1.86877,3.1003,3.70332,3.1003,1.23531,3.1003,0.64496
3.1691,2.93636,3.1691,0.90124,3.1691,1.18456,3.1691,0.83388,3.16915,1.31593,3.16915,2.12520,3.1691,2.99462,3.1691,1.17874,3.1691,0.89933
3.2380,2.96855,3.2380,0.61643,3.2380,0.90491,3.2380,0.80778,3.23804,1.09259,3.23804,1.60110,3.2380,2.62274,3.2380,0.55496,3.2380,1.30227
3.3069,3.25550,3.3069,0.97424,3.3069,0.66700,3.3069,0.98125,3.30694,1.30529,3.30694,1.09618,3.3069,2.51674,3.3069,0.97398,3.3069,1.27028
3.3758,2.69698,3.3758,0.75199,3.3758,0.71238,3.3758,1.04713,3.37583,1.04500,3.37583,1.17250,3.3758,1.46186,3.3758,1.46169,3.3758,2.02985
3.4447,2.83177,3.4447,0.48649,3.4447,1.08773,3.4447,0.59455,3.44473,1.47523,3.44473,1.13892,3.4447,0.95081,3.4447,0.97683,3.4447,2.24545
3.5136,1.68118,3.5136,0.78709,3.5136,0.75969,3.5136,0.70069,3.51362,1.79556,3.51362,1.09506,3.5136,1.00086,3.5136,1.45013,3.5136,2.51463
