X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8
0.0000,8.1011,0.0000,53.5847,0.0000,12.8092,0.0000,36.6897,0.00000,36.9746,0.00000,33.0485,0.0000,20.6211,0.0000,23.2692,0.0000,6.0670
0.0689,7.5999,0.0689,55.3828,0.0689,18.0020,0.0689,48.8624,0.06889,44.4808,0.06889,30.9779,0.0689,25.7709,0.0689,23.8347,0.0689,5.5200
0.1378,10.2376,0.1378,45.9804,0.1378,20.3249,0.1378,53.1821,0.13779,39.1592,0.13779,23.3518,0.1378,31.7538,0.1378,18.1232,0.1378,6.4502
0.2067,15.3817,0.2067,32.5622,0.2067,17.2810,0.2067,58.5401,0.20668,35.1332,0.20668,15.6293,0.2067,34.5799,0.2067,13.5968,0.2067,6.9886
0.2756,18.8669,0.2756,26.1460,0.2756,14.1705,0.2756,62.4014,0.27558,23.5596,0.27558,15.2603,0.2756,41.2282,0.2756,10.6863,0.2756,4.3949
0.3445,16.7331,0.3445,20.1194,0.3445,8.5131,0.3445,55.6356,0.34447,17.1371,0.34447,17.9375,0.3445,41.4340,0.3445,7.5886,0.3445,5.6845
0.4134,12.4837,0.4134,14.2126,0.4134,3.6492,0.4134,50.0974,0.41337,13.8217,0.41337,18.6489,0.4134,42.9078,0.4134,4.5481,0.4134,12.7205
0.4823,8.8767,0.4823,18.5305,0.4823,3.2513,0.4823,38.4486,0.48226,14.5172,0.48226,17.1624,0.4823,33.4949,0.4823,4.4279,0.4823,20.5859
0.5512,11.1367,0.5512,20.7383,0.5512,3.1064,0.5512,29.1471,0.55116,17.2686,0.55116,16.6907,0.5512,24.5757,0.5512,5.8719,0.5512,20.5394
0.6201,11.7422,0.6201,21.7708,0.6201,5.1356,0.6201,27.8325,0.62005,23.4396,0.62005,15.8762,0.6201,18.4262,0.6201,7.6640,0.6201,13.6563
0.6889,10.0854,0.6889,23.8434,0.6889,6.5031,0.6889,27.4092,0.68894,22.1236,0.68894,14.0508,0.6889,15.0524,0.6889,5.8396,0.6889,4.8788
0.7578,8.5831,0.7578,25.1908,0.7578,4.1395,0.7578,31.9939,0.75784,23.9254,0.75784,12.4914,0.7578,12.3492,0.7578,4.2242,0.7578,3.1062
0.8267,5.0273,0.8267,25.1436,0.8267,3.4359,0.8267,29.1187,0.82673,26.4840,0.82673,12.1515,0.8267,9.6901,0.8267,5.3976,0.8267,2.1713
0.8956,4.7565,0.8956,21.2704,0.8956,3.8860,0.8956,24.6298,0.89563,27.5276,0.89563,16.4720,0.8956,8.2096,0.8956,5.4434,0.8956,2.0031
0.9645,4.8467,0.9645,14.6900,0.9645,3.5259,0.9645,17.9186,0.96452,25.4510,0.96452,20.4823,0.9645,9.7494,0.9645,2.7133,0.9645,1.9821
1.0334,4.8880,1.0334,8.9909,1.0334,3.2590,1.0334,17.1896,1.03342,24.5235,1.03342,22.1381,1.0334,9.3746,1.0334,5.6948,1.0334,2.1852
1.1023,6.6972,1.1023,9.4931,1.1023,4.0713,1.1023,19.9450,1.10231,19.6463,1.10231,17.8620,1.1023,12.6714,1.1023,10.5289,1.1023,2.5808
1.1712,7.9924,1.1712,13.5034,1.1712,4.6630,1.1712,22.7961,1.17121,20.0393,1.17121,11.7326,1.1712,12.1461,1.1712,17.9913,1.1712,2.2262
1.2401,6.8342,1.2401,16.4430,1.2401,5.0135,1.2401,22.8314,1.24010,18.1120,1.24010,9.3546,1.2401,6.6168,1.2401,22.6325,1.2401,1.9500
1.3090,6.1778,1.3090,13.5884,1.3090,8.0666,1.3090,20.4072,1.30900,18.8130,1.30900,6.4050,1.3090,4.3567,1.3090,36.9442,1.3090,0.6832
1.3779,3.6102,1.3779,11.1826,1.3779,13.4173,1.3779,16.4093,1.37789,16.2464,1.37789,5.3522,1.3779,3.4962,1.3779,49.1975,1.3779,0.8915
1.4468,2.6408,1.4468,8.7171,1.4468,18.4839,1.4468,13.8131,1.44678,16.3340,1.44678,6.4212,1.4468,3.5224,1.4468,52.1034,1.4468,0.6959
1.5157,1.8594,1.5157,5.7602,1.5157,19.8986,1.5157,12.4570,1.51568,11.9812,1.51568,10.8889,1.5157,5.9807,1.5157,44.6941,1.5157,0.7139
1.5846,2.7480,1.5846,7.6051,1.5846,17.6303,1.5846,10.0707,1.58457,12.5043,1.58457,10.5588,1.5846,5.5920,1.5846,35.0325,1.5846,0.7853
1.6535,2.0737,1.6535,8.7558,1.6535,14.3030,1.6535,7.1536,1.65347,11.4743,1.65347,8.9163,1.6535,6.9020,1.6535,28.5113,1.6535,1.0560
1.7224,2.1766,1.7224,10.6690,1.7224,16.4686,1.7224,6.7082,1.72236,10.9779,1.72236,7.5216,1.7224,10.1736,1.7224,27.6530,1.7224,0.6411
1.7913,2.3440,1.7913,12.6431,1.7913,18.8048,1.7913,8.5643,1.79126,12.0491,1.79126,8.3703,1.7913,10.3961,1.7913,31.9434,1.7913,0.3393
1.8602,3.6125,1.8602,12.2653,1.8602,16.0755,1.8602,11.9556,1.86015,14.2084,1.86015,9.2559,1.8602,10.9503,1.8602,27.0587,1.8602,0.9105
1.9290,6.6836,1.9290,15.5132,1.9290,11.3160,1.9290,15.5197,1.92905,15.9978,1.92905,11.2713,1.9290,12.1891,1.9290,22.9853,1.9290,1.1130
