X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6
0.0000,7.3107,0.0000,41.0380,0.0000,12.1944,0.0000,11.6672,0.0000,47.1287,0.0000,49.9187,0.00000,18.6163
0.0689,6.7758,0.0689,40.0137,0.0689,15.6061,0.0689,13.5195,0.0689,45.8994,0.0689,47.2043,0.06889,12.5837
0.1378,5.4206,0.1378,32.6087,0.1378,16.8644,0.1378,17.7015,0.1378,35.4953,0.1378,44.0603,0.13779,9.4871
0.2067,10.3515,0.2067,24.5764,0.2067,20.8532,0.2067,19.7505,0.2067,25.6990,0.2067,30.9254,0.20668,10.2212
0.2756,15.8928,0.2756,21.0045,0.2756,25.9412,0.2756,17.6381,0.2756,16.3119,0.2756,19.7032,0.27558,12.8808
0.3445,22.0774,0.3445,27.2806,0.3445,25.9022,0.3445,11.2784,0.3445,12.3078,0.3445,12.6687,0.34447,10.0494
0.4134,33.2866,0.4134,30.5429,0.4134,27.0098,0.4134,5.6471,0.4134,10.9061,0.4134,10.9167,0.41337,8.1926
0.4823,38.4470,0.4823,34.1933,0.4823,34.4693,0.4823,3.3880,0.4823,8.7374,0.4823,12.4773,0.48226,5.3284
0.5512,34.2738,0.5512,28.7052,0.5512,46.6276,0.5512,3.2651,0.5512,7.7012,0.5512,16.1528,0.55116,5.9904
0.6201,24.7420,0.6201,19.1461,0.6201,45.9498,0.6201,4.2736,0.6201,7.6226,0.6201,19.4762,0.62005,3.1609
0.6889,18.8148,0.6889,12.0008,0.6889,39.7734,0.6889,4.4948,0.6889,9.2064,0.6889,16.3686,0.68894,2.1397
0.7578,22.1161,0.7578,12.0072,0.7578,28.1690,0.7578,3.4010,0.7578,15.7072,0.7578,14.3036,0.75784,1.8378
0.8267,28.3100,0.8267,11.3265,0.8267,17.1016,0.8267,2.5347,0.8267,16.0023,0.8267,13.6250,0.82673,2.1767
0.8956,30.9886,0.8956,11.5011,0.8956,13.1871,0.8956,2.7133,0.8956,18.0041,0.8956,13.3855,0.89563,4.4150
0.9645,26.2928,0.9645,10.8927,0.9645,10.8940,0.9645,3.6081,0.9645,15.8905,0.9645,9.0585,0.96452,10.3229
1.0334,19.8697,1.0334,8.7673,1.0334,6.7363,1.0334,4.4633,1.0334,14.8784,1.0334,7.6676,1.03342,15.4480
1.1023,17.4573,1.1023,8.0613,1.1023,4.4633,1.1023,4.9782,1.1023,11.3160,1.1023,5.3341,1.10231,22.9922
1.1712,23.0156,1.1712,7.0711,1.1712,5.6293,1.1712,4.7555,1.1712,11.2927,1.1712,5.2397,1.17121,23.7531
1.2401,25.2785,1.2401,5.7280,1.2401,10.0086,1.2401,4.6919,1.2401,6.3839,1.2401,2.9991,1.24010,13.0700
1.3090,24.2927,1.3090,5.2911,1.3090,13.9019,1.3090,6.2578,1.3090,4.3997,1.3090,2.3826,1.30900,6.1188
1.3779,19.3596,1.3779,4.4269,1.3779,15.8226,1.3779,4.3957,1.3779,3.7844,1.3779,3.4170,1.37789,5.9157
1.4468,12.6956,1.4468,4.5061,1.4468,9.9750,1.4468,5.4834,1.4468,5.7499,1.4468,7.2083,1.44678,6.5136
1.5157,14.4172,1.5157,3.5433,1.5157,7.8208,1.5157,6.0777,1.5157,11.0710,1.5157,8.9036,1.51568,6.8107
1.5846,11.9656,1.5846,4.4011,1.5846,5.3434,1.5846,6.5468,1.5846,15.2421,1.5846,10.2650,1.58457,9.3043
1.6535,10.7491,1.6535,3.9633,1.6535,2.5366,1.6535,8.3826,1.6535,17.7572,1.6535,9.4587,1.65347,10.6235
1.7224,9.9472,1.7224,2.6099,1.7224,3.9152,1.7224,7.3053,1.7224,16.8473,1.7224,6.8797,1.72236,9.7367
1.7913,9.0405,1.7913,2.7728,1.7913,3.3538,1.7913,8.6077,1.7913,12.9911,1.7913,5.7564,1.79126,11.9193
1.8602,7.5628,1.8602,4.1402,1.8602,2.4337,1.8602,6.5824,1.8602,14.4420,1.8602,5.7629,1.86015,14.0384
1.9290,6.4255,1.9290,3.9878,1.9290,3.7289,1.9290,7.3938,1.9290,14.2857,1.9290,3.2811,1.92905,16.9874
1.9979,10.2718,1.9979,3.6889,1.9979,5.1289,1.9979,7.1836,1.9979,10.0224,1.9979,2.0054,1.99794,17.1524
2.0668,9.3018,2.0668,2.6819,2.0668,7.0359,2.0668,6.5480,2.0668,6.4260,2.0668,1.4166,2.06683,15.5330
2.1357,9.3708,2.1357,3.3728,2.1357,11.7130,2.1357,5.4583,2.1357,5.4780,2.1357,2.4927,2.13573,10.5530
2.2046,7.2908,2.2046,2.5815,2.2046,15.8407,2.2046,5.2952,2.2046,5.5753,2.2046,4.6060,2.20462,9.7612
