,position (um),Fat2 intensity,Abi intensity
0,0.0,14.8646,3.7513
1,0.0689,9.8591,2.7671
2,0.1378,9.8296,2.653
3,0.2067,13.8364,2.448
4,0.2756,16.4645,2.4133
5,0.3445,13.3248,2.8989
6,0.4134,11.8288,3.366
7,0.4823,10.8758,2.907
8,0.5512,10.5003,3.4777
9,0.6201,7.2612,3.315
10,0.6889,6.7503,2.8539
11,0.7578,5.002,2.6759
12,0.8267,5.1728,2.9455
13,0.8956,4.2729,2.5197
14,0.9645,5.3608,2.4521
15,1.0334,6.8584,2.4439
16,1.1023,6.5489,2.4506
17,1.1712,5.8656,2.2494
18,1.2401,8.1633,2.5379
19,1.309,12.2204,2.1304
20,1.3779,13.3327,2.0173
21,1.4468,11.9013,2.8077
22,1.5157,17.415,2.6885
23,1.5846,24.2186,4.1934
24,1.6535,28.2458,5.8877
25,1.7224,35.7781,5.7018
26,1.7913,46.1287,5.7805
27,1.8602,49.4344,6.4488
28,1.929,49.9916,5.9383
29,1.9979,47.4805,6.8346
30,2.0668,46.383,7.8342
31,2.1357,39.0899,8.4388
32,2.2046,39.3773,7.4422
33,2.2735,35.0579,6.8282
34,2.3424,28.0104,5.7351
35,2.4113,21.8566,5.1911
36,2.4802,17.9483,4.4512
37,2.5491,13.6068,4.1882
38,2.618,9.7245,2.8484
39,2.6869,6.7365,2.0126
40,2.7558,4.0591,1.7102
41,2.8247,2.5817,1.2863
42,2.8936,3.0982,1.4337
43,2.9625,4.6984,1.425
44,3.0314,3.7134,1.7144
45,3.1003,4.8582,1.4987
46,3.1691,4.5447,1.6717
47,3.238,5.579,1.9084
48,3.3069,5.2426,2.4525
49,3.3758,6.4664,1.9028
50,3.4447,6.7409,2.6165
51,3.5136,6.9326,2.7894
52,3.5825,5.7081,2.6709
53,3.6514,6.0014,1.6351
54,3.7203,6.8062,2.5349
55,3.7892,5.7004,1.9523
56,3.8581,8.3808,2.3666
57,3.927,9.3105,2.647
58,3.9959,8.8697,2.1105
59,4.0648,6.7471,1.6197
60,4.1337,4.6728,1.9938
61,4.2026,2.719,1.637
