Distance_(microns),Value,X1,Y1,X2,Y2,X3,Y3
0.0000,2.68576,0.0000,3.51430,0.0000,3.98807,0.0000,2.18135
0.0689,4.07014,0.0689,3.50585,0.0689,4.69968,0.0689,2.54879
0.1378,4.19444,0.1378,3.26790,0.1378,5.18143,0.1378,2.57772
0.2067,3.46831,0.2067,3.29168,0.2067,5.46962,0.2067,2.22534
0.2756,2.63325,0.2756,2.80519,0.2756,6.61864,0.2756,2.03058
0.3445,1.83945,0.3445,2.34017,0.3445,5.69506,0.3445,2.01322
0.4134,1.96699,0.4134,2.45311,0.4134,3.50898,0.4134,1.81448
0.4823,1.84766,0.4823,1.79932,0.4823,2.54804,0.4823,1.78975
0.5512,1.11487,0.5512,1.12664,0.5512,2.30063,0.5512,1.73970
0.6201,1.30924,0.6201,1.62218,0.6201,1.70463,0.6201,1.64084
0.6889,1.49808,0.6889,2.30928,0.6889,1.90584,0.6889,2.12832
0.7578,1.42452,0.7578,2.01653,0.7578,2.19546,0.7578,1.88118
0.8267,1.26104,0.8267,2.41315,0.8267,2.01321,0.8267,1.54828
0.8956,1.38315,0.8956,1.73312,0.8956,2.15809,0.8956,2.07599
0.9645,1.27335,0.9645,2.35854,0.9645,2.76796,0.9645,1.76248
1.0334,1.21716,1.0334,1.60485,1.0334,2.56131,1.0334,1.63105
1.1023,0.83512,1.1023,1.43096,1.1023,2.12995,1.1023,0.85734
1.1712,1.20510,1.1712,0.97944,1.1712,2.36836,1.1712,0.83370
1.2401,1.39436,1.2401,1.69325,1.2401,2.16253,1.2401,0.93290
1.3090,1.52088,1.3090,1.68825,1.3090,1.77239,1.3090,1.19487
1.3779,1.34721,1.3779,1.10455,1.3779,1.69382,1.3779,1.84791
1.4468,1.24506,1.4468,0.85019,1.4468,1.83176,1.4468,1.83046
1.5157,1.13714,1.5157,1.23572,1.5157,1.57426,1.5157,1.64695
1.5846,1.05302,1.5846,1.33761,1.5846,1.51322,1.5846,1.29643
1.6535,0.99319,1.6535,1.54015,1.6535,1.81558,1.6535,1.07478
1.7224,1.55693,1.7224,1.36761,1.7224,2.32820,1.7224,1.15470
1.7913,1.41137,1.7913,1.47306,1.7913,2.29048,1.7913,1.41571
1.8602,1.60072,1.8602,1.54162,1.8602,2.58918,1.8602,1.29345
1.9290,1.54908,1.9290,1.54850,1.9290,2.08401,1.9290,1.09530
1.9979,1.52957,1.9979,1.86000,1.9979,2.77407,1.9979,1.59524
2.0668,1.35382,2.0668,1.35799,2.0668,2.37358,2.0668,0.96792
2.1357,1.26305,2.1357,1.47064,2.1357,1.87809,2.1357,1.78856
2.2046,1.45630,2.2046,1.49610,2.2046,1.63597,2.2046,1.48919
2.2735,1.39814,2.2735,1.41186,2.2735,1.70050,2.2735,1.57572
2.3424,1.51122,2.3424,1.84441,2.3424,1.73549,2.3424,1.87788
2.4113,1.91362,2.4113,1.25147,2.4113,1.49736,2.4113,1.67076
2.4802,2.45269,2.4802,1.43690,2.4802,1.54228,2.4802,1.56801
2.5491,2.53497,2.5491,2.25868,2.5491,2.62533,2.5491,1.89119
2.6180,2.12451,2.6180,1.41470,2.6180,3.20581,2.6180,1.79406
2.6869,1.94979,2.6869,1.30794,2.6869,2.98853,2.6869,1.36408
2.7558,2.15799,2.7558,1.96563,2.7558,2.78458,2.7558,1.79790
2.8247,2.49728,2.8247,2.20658,2.8247,2.60046,2.8247,2.12785
2.8936,2.39939,2.8936,1.54166,2.8936,2.01646,2.8936,2.90984
2.9625,2.43026,2.9625,1.59384,2.9625,1.72553,2.9625,2.13548
3.0314,2.08006,3.0314,1.79544,3.0314,1.77929,3.0314,2.21174
3.1003,1.92633,3.1003,2.18964,3.1003,1.90138,3.1003,1.95759
3.1691,2.28506,3.1691,2.10795,3.1691,2.11335,3.1691,1.26792
3.2380,1.88543,3.2380,1.94209,3.2380,1.87808,3.2380,1.07806
3.3069,2.07113,3.3069,2.19415,3.3069,2.10449,3.3069,1.04703
3.3758,1.91873,3.3758,2.66793,3.3758,2.46340,3.3758,1.24563
3.4447,1.79593,3.4447,2.33011,3.4447,2.47952,3.4447,1.84823
3.5136,1.54805,3.5136,2.44276,3.5136,2.89820,3.5136,2.21073
