Distance_(microns),Value,X1,Y1,X2,Y2
0.0000,20.415,0.0000,103.480,0.000,124.821
0.0689,21.187,0.0689,69.683,0.069,145.723
0.1378,21.788,0.1378,43.430,0.138,144.184
0.2067,17.444,0.2067,20.214,0.207,114.553
0.2756,14.782,0.2756,13.772,0.276,78.124
0.3445,15.838,0.3445,13.525,0.344,49.094
0.4134,21.677,0.4134,10.876,0.413,34.648
0.4823,17.043,0.4823,10.333,0.482,23.983
0.5512,18.613,0.5512,12.254,0.551,20.929
0.6201,24.425,0.6201,15.067,0.620,17.911
0.6889,26.587,0.6889,18.592,0.689,16.643
0.7578,26.975,0.7578,19.885,0.758,18.607
0.8267,20.003,0.8267,22.354,0.827,21.284
0.8956,17.028,0.8956,20.741,0.896,22.524
0.9645,15.324,0.9645,22.107,0.965,27.317
1.0334,27.080,1.0334,21.231,1.033,28.394
1.1023,44.600,1.1023,21.444,1.102,30.841
1.1712,66.112,1.1712,25.649,1.171,28.814
1.2401,79.545,1.2401,26.615,1.240,21.497
1.3090,81.858,1.3090,23.685,1.309,16.671
1.3779,69.186,1.3779,19.815,1.378,12.121
1.4468,51.827,1.4468,21.889,1.447,9.773
1.5157,34.981,1.5157,20.539,1.516,8.632
1.5846,28.607,1.5846,22.204,1.585,7.387
1.6535,23.406,1.6535,22.953,1.653,7.645
1.7224,22.105,1.7224,21.731,1.722,9.345
1.7913,21.724,1.7913,19.289,1.791,9.447
1.8602,18.409,1.8602,24.896,1.860,8.084
1.9290,15.971,1.9290,26.858,1.929,7.338
1.9979,17.316,1.9979,28.571,1.998,8.479
2.0668,17.644,2.0668,24.803,2.067,9.787
2.1357,16.340,2.1357,19.060,2.136,11.781
2.2046,11.970,2.2046,19.515,2.205,13.275
2.2735,9.787,2.2735,18.022,2.274,16.629
2.3424,11.370,2.3424,21.649,2.342,24.488
2.4113,10.969,2.4113,20.199,2.411,28.802
2.4802,7.009,2.4802,20.542,2.480,35.412
2.5491,5.915,2.5491,18.810,2.549,34.239
2.6180,10.148,2.6180,27.135,2.618,36.963
2.6869,13.356,2.6869,39.620,2.687,33.926
2.7558,19.449,2.7558,43.242,2.756,30.895
2.8247,22.810,2.8247,46.766,2.825,24.566
2.8936,24.247,2.8936,44.764,2.894,18.827
2.9625,21.086,2.9625,44.100,2.962,17.364
3.0314,18.369,3.0314,32.470,3.031,19.051
3.1003,15.409,3.1003,26.183,3.100,23.792
3.1691,12.881,3.1691,21.778,3.169,24.926
3.2380,14.468,3.2380,21.743,3.238,25.740
3.3069,16.170,3.3069,22.892,3.307,31.710
3.3758,15.546,3.3758,24.621,3.376,39.754
3.4447,13.451,3.4447,29.242,3.445,47.206
3.5136,15.772,3.5136,30.231,3.514,62.980
3.5825,16.401,3.5825,35.003,3.583,84.867
3.6514,16.338,3.6514,40.535,3.651,109.360
3.7203,16.034,3.7203,45.014,3.720,104.612
3.7892,13.877,3.7892,61.182,3.789,77.909
3.8581,15.292,3.8581,94.690,3.858,44.302
3.9270,14.565,3.9270,134.973,3.927,23.754
3.9959,14.327,3.9959,153.749,3.996,15.444
4.0648,14.945,4.0648,147.236,4.065,14.776
4.1337,13.909,4.1337,117.783,4.134,13.574
4.2026,14.018,4.2026,81.122,4.203,13.392
4.2715,15.238,4.2715,51.861,4.271,14.729
4.3404,16.628,4.3404,35.825,4.340,11.677
4.4092,12.957,4.4092,28.560,4.409,9.916
4.4781,14.674,4.4781,26.830,4.478,6.046
4.5470,17.058,4.5470,31.876,4.547,4.448
4.6159,17.849,4.6159,35.752,4.616,2.877
4.6848,18.141,4.6848,33.658,4.685,2.682
4.7537,21.882,4.7537,32.253,4.754,3.583
4.8226,23.885,4.8226,25.762,4.823,3.518
4.8915,27.897,4.8915,18.222,4.892,4.498
4.9604,32.589,4.9604,12.434,4.960,2.732
5.0293,33.972,5.0293,10.077,5.029,3.009
5.0982,35.516,5.0982,8.788,5.098,2.780
5.1671,39.708,5.1671,7.224,5.167,2.474
5.2360,48.142,5.2360,6.952,5.236,1.893
5.3049,56.191,5.3049,6.217,5.305,2.476
5.3738,65.138,5.3738,6.978,5.374,3.524
5.4427,56.618,5.4427,8.620,5.443,5.613
5.5116,41.552,5.5116,9.942,5.512,6.980
5.5805,34.945,5.5805,10.871,5.580,7.824
5.6493,36.231,5.6493,12.075,5.649,10.115
5.7182,45.445,5.7182,13.762,5.718,9.343
5.7871,51.575,5.7871,15.960,5.787,8.856
5.8560,56.025,5.8560,16.415,5.856,6.114
5.9249,53.500,5.9249,16.689,5.925,4.584
5.9938,45.447,5.9938,14.685,5.994,3.912
6.0627,42.803,6.0627,15.344,6.063,3.768
6.1316,36.727,6.1316,15.896,6.132,2.908
6.2005,34.376,6.2005,15.059,6.201,3.169
6.2694,29.773,6.2694,17.630,6.269,3.659
6.3383,27.948,6.3383,18.042,6.338,3.397
6.4072,28.361,6.4072,16.543,6.407,2.934
6.4761,29.472,6.4761,15.171,6.476,3.368
6.5450,32.266,6.5450,14.558,6.545,3.281
6.6139,31.024,6.6139,11.859,6.614,2.694
6.6828,34.448,6.6828,8.392,6.683,2.759
6.7517,38.254,6.7517,10.820,6.752,3.933
6.8206,35.213,6.8206,10.478,6.821,4.449
