Distance_(microns),Value,X1,Y1,X2,Y2,X3,Y3
0.000,64.679,0.000,82.820,0.0000,45.983,0.0000,72.2505
0.069,67.898,0.069,85.331,0.0689,61.215,0.0689,68.5223
0.138,68.634,0.138,69.941,0.1378,72.151,0.1378,48.4522
0.207,73.225,0.207,51.283,0.2067,70.449,0.2067,43.6998
0.276,82.843,0.276,37.755,0.2756,67.763,0.2756,30.1475
0.344,77.642,0.344,22.749,0.3445,65.050,0.3445,22.5866
0.413,80.476,0.413,18.870,0.4134,56.373,0.4134,23.6829
0.482,77.479,0.482,16.668,0.4823,39.428,0.4823,21.2179
0.551,66.786,0.551,17.618,0.5512,27.375,0.5512,15.9761
0.620,56.594,0.620,15.409,0.6201,21.065,0.6201,14.7413
0.689,47.128,0.689,16.756,0.6889,15.615,0.6889,14.9621
0.758,44.322,0.758,14.739,0.7578,13.372,0.7578,12.7443
0.827,43.299,0.827,12.806,0.8267,11.551,0.8267,11.3643
0.896,49.842,0.896,12.738,0.8956,12.560,0.8956,13.1595
0.965,56.627,0.965,16.294,0.9645,11.747,0.9645,12.9885
1.033,65.670,1.033,16.903,1.0334,14.373,1.0334,12.4181
1.102,65.797,1.102,14.101,1.1023,14.927,1.1023,10.3595
1.171,50.170,1.171,12.174,1.1712,16.311,1.1712,12.5854
1.240,32.347,1.240,8.769,1.2401,20.960,1.2401,12.3938
1.309,26.956,1.309,6.971,1.3090,24.433,1.3090,12.3897
1.378,24.813,1.378,8.339,1.3779,27.232,1.3779,12.8263
1.447,23.904,1.447,10.206,1.4468,28.135,1.4468,12.0281
1.516,24.412,1.516,10.597,1.5157,27.237,1.5157,14.5174
1.585,24.280,1.585,11.400,1.5846,22.501,1.5846,15.4141
1.653,27.001,1.653,7.643,1.6535,21.722,1.6535,16.0259
1.722,21.917,1.722,9.365,1.7224,19.391,1.7224,17.8747
1.791,15.355,1.791,9.435,1.7913,19.367,1.7913,18.0638
1.860,11.670,1.860,9.918,1.8602,14.112,1.8602,19.5064
1.929,10.637,1.929,10.298,1.9290,13.139,1.9290,22.0814
1.998,7.856,1.998,9.781,1.9979,12.495,1.9979,23.4121
2.067,6.933,2.067,7.315,2.0668,14.380,2.0668,23.2024
2.136,5.745,2.136,7.873,2.1357,17.567,2.1357,23.4862
2.205,7.975,2.205,7.829,2.2046,18.950,2.2046,20.7196
2.274,11.424,2.274,9.980,2.2735,16.778,2.2735,18.3543
2.342,13.479,2.342,9.907,2.3424,15.171,2.3424,18.4635
2.411,14.514,2.411,6.552,2.4113,18.745,2.4113,16.2019
2.480,14.650,2.480,7.100,2.4802,15.972,2.4802,17.0861
2.549,12.936,2.549,8.317,2.5491,15.700,2.5491,18.8950
2.618,9.266,2.618,7.986,2.6180,15.613,2.6180,23.7029
2.687,6.696,2.687,7.164,2.6869,10.609,2.6869,27.6042
2.756,6.938,2.756,8.696,2.7558,11.647,2.7558,25.1013
2.825,6.743,2.825,11.960,2.8247,12.799,2.8247,24.5788
2.894,5.817,2.894,15.116,2.8936,11.676,2.8936,22.8435
2.962,5.819,2.962,17.313,2.9625,11.176,2.9625,16.9017
3.031,6.313,3.031,14.448,3.0314,12.729,3.0314,13.0745
3.100,7.398,3.100,11.574,3.1003,14.925,3.1003,11.5157
3.169,9.443,3.169,12.799,3.1691,14.693,3.1691,11.7710
3.238,10.808,3.238,14.491,3.2380,15.980,3.2380,9.3340
3.307,15.098,3.307,16.831,3.3069,14.875,3.3069,8.9664
3.376,15.881,3.376,17.379,3.3758,13.410,3.3758,10.7405
3.445,11.356,3.445,15.115,3.4447,15.031,3.4447,11.7198
3.514,12.237,3.514,13.891,3.5136,14.022,3.5136,13.6233
3.583,13.435,3.583,16.550,3.5825,16.271,3.5825,14.6523
3.651,15.383,3.651,16.446,3.6514,16.634,3.6514,11.0757
3.720,14.753,3.720,18.598,3.7203,10.196,3.7203,12.1267
3.789,13.508,3.789,17.855,3.7892,7.916,3.7892,14.0174
3.858,11.556,3.858,19.162,3.8581,7.506,3.8581,19.9222
3.927,16.230,3.927,19.373,3.9270,9.219,3.9270,20.5420
3.996,22.542,3.996,16.981,3.9959,14.998,3.9959,18.9874
4.065,24.940,4.065,19.819,4.0648,16.925,4.0648,26.1155
4.134,21.653,4.134,22.195,4.1337,16.793,4.1337,29.0728
4.203,19.129,4.203,27.443,4.2026,14.916,4.2026,27.1881
4.271,12.493,4.271,36.334,4.2715,10.802,4.2715,26.5265
4.340,8.132,4.340,38.774,4.3404,6.697,4.3404,22.5024
4.409,6.872,4.409,46.196,4.4092,4.990,4.4092,17.2451
4.478,6.597,4.478,55.603,4.4781,5.008,4.4781,16.0876
4.547,7.728,4.547,67.616,4.5470,4.657,4.5470,14.0545
4.616,8.661,4.616,69.506,4.6159,4.151,4.6159,14.1824
4.685,7.027,4.685,64.889,4.6848,4.433,4.6848,12.5657
4.754,6.113,4.754,60.398,4.7537,6.512,4.7537,13.9896
4.823,4.751,4.823,54.563,4.8226,12.585,4.8226,13.5829
4.892,5.345,4.892,42.020,4.8915,17.757,4.8915,16.0494
4.960,4.693,4.960,38.242,4.9604,15.906,4.9604,18.6236
5.029,4.577,5.029,32.949,5.0293,11.653,5.0293,17.8087
5.098,6.406,5.098,24.037,5.0982,8.469,5.0982,16.0939
5.167,7.494,5.167,18.607,5.1671,7.792,5.1671,18.0003
5.236,10.658,5.236,15.997,5.2360,7.448,5.2360,17.2150
5.305,11.944,5.305,15.868,5.3049,10.688,5.3049,16.4394
5.374,10.797,5.374,14.336,5.3738,14.208,5.3738,18.9727
5.443,8.235,5.443,12.020,5.4427,19.224,5.4427,25.3320
5.512,7.644,5.512,11.194,5.5116,23.834,5.5116,32.3523
5.580,6.149,5.580,14.807,5.5805,27.155,5.5805,42.3578
5.649,6.605,5.649,16.408,5.6493,27.101,5.6493,52.1167
5.718,6.142,5.718,22.123,5.7182,26.611,5.7182,61.1649
5.787,6.188,5.787,24.313,5.7871,20.923,5.7871,67.7608
5.856,7.478,5.856,27.275,5.8560,16.777,5.8560,71.3390
5.925,6.957,5.925,30.107,5.9249,15.206,5.9249,69.8703
5.994,5.596,5.994,23.583,5.9938,16.836,5.9938,56.9885
6.063,5.747,6.063,15.997,6.0627,15.520,6.0627,48.5490
6.132,6.555,6.132,12.449,6.1316,15.013,6.1316,31.9633
6.201,4.189,6.201,10.260,6.2005,18.717,6.2005,23.3018
6.269,4.542,6.269,9.680,6.2694,23.295,6.2694,16.5785
6.338,5.213,6.338,10.993,6.3383,32.582,6.3383,10.6610
6.407,6.284,6.407,12.635,6.4072,36.563,6.4072,7.7696
6.476,4.551,6.476,13.603,6.4761,48.323,6.4761,8.9812
6.545,7.592,6.545,10.230,6.5450,56.637,6.5450,6.1504
6.614,9.834,6.614,8.516,6.6139,59.143,6.6139,6.8454
6.683,9.716,6.683,8.507,6.6828,51.952,6.6828,5.7196
6.752,10.405,6.752,13.808,6.7517,46.248,6.7517,7.2280
6.821,11.876,6.821,17.343,6.8206,51.537,6.8206,8.8541
6.889,12.821,6.889,25.361,6.8894,59.448,6.8894,7.9651
6.958,15.156,6.958,36.459,6.9583,57.369,6.9583,7.3672
7.027,19.199,7.027,40.845,7.0272,29.653,7.0272,7.0772
7.096,21.891,7.096,46.004,7.0961,16.399,7.0961,7.0654
7.165,24.748,7.165,60.300,7.1650,12.732,7.1650,8.5123
7.234,30.358,7.234,64.477,7.2339,10.289,7.2339,8.2280
7.303,39.596,7.303,58.126,7.3028,11.661,7.3028,4.9564
7.372,45.916,7.372,51.286,7.3717,11.277,7.3717,6.3666
7.441,39.524,7.441,39.257,7.4406,15.802,7.4406,4.5386
7.510,35.360,7.510,31.233,7.5095,21.292,7.5095,5.2376
7.578,31.994,7.578,28.929,7.5784,25.816,7.5784,6.0208
7.647,32.139,7.647,26.735,7.6473,27.173,7.6473,5.5463
7.716,33.414,7.716,26.745,7.7162,22.531,7.7162,5.4289
7.785,35.656,7.785,23.212,7.7851,18.699,7.7851,5.0220
7.854,39.941,7.854,18.189,7.8540,15.677,7.8540,5.7969
7.923,39.169,7.923,13.789,7.9229,17.886,7.9229,4.8082
7.992,40.363,7.992,13.020,7.9918,19.691,7.9918,6.6590
8.061,43.075,8.061,12.872,8.0607,17.277,8.0607,7.8953
8.130,47.312,8.130,13.681,8.1296,14.457,8.1296,9.8139
8.198,46.911,8.198,17.200,8.1984,10.527,8.1984,10.2117
8.267,47.857,8.267,18.913,8.2673,8.621,8.2673,11.2402
8.336,47.997,8.336,19.229,8.3362,10.524,8.3362,11.4552
8.405,47.638,8.405,20.302,8.4051,14.053,8.4051,10.0612
