,position (um),Fat2dICD intensity,Abi intensity
0,0.0,62.62,5.4703
1,0.0689,66.458,6.4
2,0.1378,54.554,5.3437
3,0.2067,34.141,5.2708
4,0.2756,27.287,3.4814
5,0.3445,27.675,3.2315
6,0.4134,32.127,3.964
7,0.4823,31.995,3.9001
8,0.5512,35.966,4.926
9,0.6201,35.89,5.5202
10,0.6889,33.226,5.5883
11,0.7578,27.419,4.6302
12,0.8267,16.893,4.4135
13,0.8956,16.089,2.53
14,0.9645,14.536,1.4496
15,1.0334,12.096,1.5983
16,1.1023,9.323,1.5556
17,1.1712,8.055,1.9144
18,1.2401,7.236,1.7288
19,1.309,7.604,2.004
20,1.3779,8.775,1.2623
21,1.4468,11.561,1.1999
22,1.5157,12.836,1.1636
23,1.5846,11.961,1.5722
24,1.6535,11.749,1.5826
25,1.7224,9.14,1.1885
26,1.7913,10.813,1.9125
27,1.8602,11.424,1.9659
28,1.929,8.231,2.3783
29,1.9979,9.832,1.8205
30,2.0668,11.133,1.8262
31,2.1357,12.449,2.3437
32,2.2046,10.434,2.3442
33,2.2735,8.603,2.0168
34,2.3424,5.754,2.0464
35,2.4113,6.351,2.0645
36,2.4802,6.152,2.4023
37,2.5491,9.707,2.4148
38,2.618,12.531,2.125
39,2.6869,15.851,2.1623
40,2.7558,16.65,2.3558
41,2.8247,18.239,3.1346
42,2.8936,20.031,2.949
43,2.9625,15.211,1.7666
44,3.0314,12.312,2.0263
45,3.1003,13.852,2.3442
46,3.1691,16.396,2.4047
47,3.238,21.145,2.4858
48,3.3069,40.743,3.4904
49,3.3758,71.829,4.559
50,3.4447,107.935,6.1745
51,3.5136,117.352,8.8638
52,3.5825,109.987,9.7514
53,3.6514,89.91,9.2005
54,3.7203,77.341,8.8336
55,3.7892,71.217,8.4613
56,3.8581,59.438,8.9585
57,3.927,56.523,7.9103
58,3.9959,48.981,7.2177
59,4.0648,47.045,5.5601
60,4.1337,52.093,4.6205
61,4.2026,58.541,5.7648
62,4.2715,72.834,5.42
63,4.3404,64.474,5.921
64,4.4092,51.377,5.3468
65,4.4781,47.301,4.6593
66,4.547,39.728,4.6648
67,4.6159,27.105,4.4402
68,4.6848,22.87,3.689
69,4.7537,21.045,3.5054
70,4.8226,14.868,2.4899
71,4.8915,15.074,2.6064
72,4.9604,13.21,2.6596
73,5.0293,10.796,2.3548
74,5.0982,13.883,1.9876
75,5.1671,14.699,1.9208
76,5.236,15.964,1.7325
77,5.3049,15.399,2.8995
78,5.3738,16.297,2.6965
79,5.4427,19.934,2.5175
80,5.5116,20.837,3.5922
81,5.5805,22.598,3.1774
82,5.6493,22.797,3.3909
83,5.7182,16.988,1.9986
84,5.7871,14.33,1.9857
85,5.856,13.022,1.8433
86,5.9249,13.179,1.3084
87,5.9938,13.867,1.5248
88,6.0627,17.907,1.3241
89,6.1316,23.517,0.915
90,6.2005,30.974,1.7016
91,6.2694,29.81,1.6356
92,6.3383,27.304,1.9645
93,6.4072,19.619,1.938
94,6.4761,14.744,1.7263
95,6.545,11.892,1.3179
96,6.6139,10.56,1.7698
97,6.6828,9.274,1.8834
98,6.7517,11.164,2.0976
99,6.8206,12.946,2.408
100,6.8894,18.243,2.9475
101,6.9583,20.998,3.2348
102,7.0272,25.685,3.156
103,7.0961,26.413,2.9029
104,7.165,22.289,2.8024
105,7.2339,19.325,2.5087
106,7.3028,19.347,2.1519
107,7.3717,18.664,2.3536
108,7.4406,16.075,2.4283
109,7.5095,16.9,2.4674
110,7.5784,16.44,2.2707
111,7.6473,15.916,2.2848
112,7.7162,18.514,2.9746
113,7.7851,22.372,3.0391
114,7.854,19.93,3.1439
115,7.9229,21.602,3.1858
116,7.9918,21.498,2.5343
117,8.0607,20.92,2.2515
118,8.1296,16.695,1.7771
119,8.1984,15.137,2.3291
120,8.2673,14.135,2.9952
121,8.3362,13.399,3.2589
122,8.4051,13.144,2.087
123,8.474,12.167,1.682
124,8.5429,10.315,2.2134
125,8.6118,14.336,2.5804
126,8.6807,15.745,2.5395
127,8.7496,15.091,3.0321
128,8.8185,13.015,2.1845
129,8.8874,12.501,2.5874
130,8.9563,13.349,2.2329
131,9.0252,16.196,3.1087
132,9.0941,18.537,3.745
133,9.163,21.661,3.452
134,9.2319,20.577,3.4419
135,9.3008,20.035,2.8268
136,9.3697,22.355,2.6731
137,9.4385,18.569,2.3659
138,9.5074,19.196,2.2141
139,9.5763,15.656,0.9328
140,9.6452,11.989,1.1177
141,9.7141,10.626,0.7998
142,9.783,13.253,0.5334
143,9.8519,15.735,0.7362
144,9.9208,11.605,1.1109
145,9.9897,9.713,1.4484
146,10.0586,7.434,1.641
147,10.1275,5.925,1.687
148,10.1964,6.149,1.602
149,10.2653,7.613,1.1386
150,10.3342,6.45,1.8605
151,10.4031,5.37,1.7902
152,10.472,5.117,1.3816
153,10.5409,4.177,1.2576
154,10.6098,5.107,1.4482
155,10.6786,5.347,2.194
156,10.7475,5.159,1.8917
157,10.8164,5.812,2.2188
158,10.8853,4.129,2.0078
159,10.9542,4.336,2.0836
160,11.0231,6.438,2.6591
161,11.092,16.835,3.5199
162,11.1609,23.189,4.1545
163,11.2298,27.565,5.1101
164,11.2987,30.03,5.2351
165,11.3676,27.551,3.501
166,11.4365,25.211,3.6928
167,11.5054,16.673,2.6255
168,11.5743,14.355,2.5227
169,11.6432,14.637,3.1141
170,11.7121,14.924,3.5134
171,11.781,11.904,4.0569
172,11.8499,14.171,2.6198
173,11.9187,16.323,2.6248
174,11.9876,14.362,2.5335
175,12.0565,12.21,2.9596
176,12.1254,13.962,2.6918
177,12.1943,13.545,2.7961
178,12.2632,14.072,3.0166
179,12.3321,14.685,2.3139
180,12.401,14.739,3.7108
181,12.4699,15.181,3.4883
182,12.5388,16.302,3.8655
183,12.6077,12.966,4.0349
184,12.6766,12.664,3.3131
185,12.7455,16.372,2.2272
186,12.8144,19.161,2.9711
187,12.8833,24.045,1.6452
188,12.9522,23.602,2.3849
189,13.0211,23.057,2.6354
190,13.09,19.89,3.4771
191,13.1588,19.384,2.9648
192,13.2277,17.285,2.9451
193,13.2966,14.033,2.8807
194,13.3655,10.682,2.615
195,13.4344,9.811,2.0189
196,13.5033,7.359,1.6106
197,13.5722,8.803,1.4111
198,13.6411,11.498,1.6332
199,13.71,12.481,1.5497
200,13.7789,15.782,1.583
201,13.8478,18.211,1.9803
202,13.9167,19.015,2.2717
203,13.9856,19.426,2.1615
204,14.0545,21.037,2.6597
205,14.1234,21.384,3.3405
206,14.1923,19.845,3.5045
207,14.2612,24.611,3.755
208,14.3301,32.044,4.3786
209,14.3989,42.985,4.6448
210,14.4678,47.047,5.8053
211,14.5367,48.752,5.919
212,14.6056,38.544,5.5732
213,14.6745,32.586,3.2681
214,14.7434,28.436,3.2123
215,14.8123,31.684,4.2988
216,14.8812,33.979,5.1395
217,14.9501,31.65,4.6501
218,15.019,21.315,3.7982
219,15.0879,18.146,3.2968
220,15.1568,20.118,2.6031
221,15.2257,22.369,2.72
222,15.2946,25.307,3.437
223,15.3635,26.05,3.5291
224,15.4324,26.75,4.0471
225,15.5013,28.615,3.6164
226,15.5702,28.349,4.3983
227,15.6391,26.896,3.5886
228,15.7079,23.739,3.8993
229,15.7768,18.934,3.221
230,15.8457,15.881,3.2084
231,15.9146,16.147,1.9509
232,15.9835,14.685,2.1834
233,16.0524,12.459,2.5665
234,16.1213,13.516,1.6671
235,16.1902,13.687,2.2944
236,16.2591,12.326,1.9947
237,16.328,11.293,2.2312
238,16.3969,8.127,2.3753
239,16.4658,8.895,2.5082
240,16.5347,7.812,1.9607
241,16.6036,8.447,1.8325
242,16.6725,7.395,1.4033
243,16.7414,9.629,2.0593
244,16.8103,10.102,2.3436
245,16.8792,11.713,3.1636
246,16.948,16.013,3.0666
247,17.0169,21.702,3.3982
248,17.0858,24.816,3.4828
249,17.1547,26.492,4.0749
250,17.2236,25.415,4.0377
251,17.2925,27.492,3.3368
252,17.3614,24.797,2.6332
253,17.4303,24.35,3.04
254,17.4992,26.693,3.2052
255,17.5681,29.817,3.0937
256,17.637,37.47,4.0021
257,17.7059,43.236,5.0777
258,17.7748,36.524,6.1791
259,17.8437,25.425,5.2157
260,17.9126,19.491,3.7444
261,17.9815,18.374,3.154
262,18.0504,19.085,1.8729
263,18.1193,17.649,2.1033
264,18.1881,16.281,2.4052
265,18.257,16.901,2.3227
266,18.3259,14.458,1.9494
267,18.3948,12.771,2.3643
268,18.4637,10.935,1.9897
269,18.5326,11.29,2.9038
270,18.6015,9.941,3.0527
271,18.6704,13.228,2.0335
272,18.7393,13.626,2.421
273,18.8082,14.183,2.7348
274,18.8771,11.074,3.0383
275,18.946,9.834,2.5671
276,19.0149,10.884,2.2329
277,19.0838,10.658,1.7419
278,19.1527,8.532,1.8684
279,19.2216,8.664,2.4596
280,19.2905,7.602,2.2675
281,19.3594,9.327,2.2618
282,19.4282,9.297,1.7492
283,19.4971,7.09,2.2682
284,19.566,7.584,2.471
285,19.6349,7.345,1.964
286,19.7038,6.74,1.5621
287,19.7727,7.803,1.9058
288,19.8416,9.072,1.8366
289,19.9105,12.117,1.886
290,19.9794,14.734,2.2524
291,20.0483,21.809,2.9484
292,20.1172,25.75,3.2023
293,20.1861,27.831,3.0566
294,20.255,20.454,2.7309
295,20.3239,11.765,2.1872
296,20.3928,8.02,2.6242
297,20.4617,6.136,2.013
298,20.5306,6.384,1.5501
299,20.5995,6.228,1.6218
300,20.6683,5.173,1.3812
301,20.7372,5.905,1.5166
302,20.8061,9.088,1.5432
303,20.875,12.4,1.3106
304,20.9439,10.693,1.7475
305,21.0128,13.353,1.3383
306,21.0817,15.423,1.5078
307,21.1506,13.681,1.6731
308,21.2195,12.581,1.8541
309,21.2884,11.051,1.4455
310,21.3573,10.467,1.4353
311,21.4262,10.885,2.0406
312,21.4951,10.707,2.2729
313,21.564,11.869,2.6295
314,21.6329,9.727,1.9993
315,21.7018,10.97,2.0795
316,21.7707,11.492,2.8201
317,21.8396,10.865,2.3797
318,21.9084,13.572,2.2157
319,21.9773,13.555,2.6739
320,22.0462,10.108,2.8271
321,22.1151,11.812,2.8951
322,22.184,13.125,3.4607
323,22.2529,15.111,3.807
324,22.3218,18.166,2.5496
325,22.3907,18.426,2.6216
326,22.4596,23.486,2.4624
327,22.5285,27.758,2.5352
328,22.5974,30.402,2.4672
329,22.6663,30.075,3.322
330,22.7352,30.629,3.6281
331,22.8041,36.774,3.9554
332,22.873,42.778,3.976
333,22.9419,48.502,4.7733
334,23.0108,49.25,5.1215
335,23.0797,39.296,4.1372
336,23.1486,30.519,4.064
337,23.2174,25.168,4.4898
338,23.2863,22.201,3.8104
339,23.3552,17.609,3.0492
340,23.4241,19.386,2.9776
341,23.493,21.789,3.3733
342,23.5619,34.758,3.8814
343,23.6308,43.737,4.9042
344,23.6997,47.897,4.3077
345,23.7686,53.444,3.829
346,23.8375,45.279,4.0415
347,23.9064,35.195,3.6958
348,23.9753,24.838,3.9169
349,24.0442,15.378,3.4292
350,24.1131,11.446,2.7114
351,24.182,9.839,3.1649
352,24.2509,11.113,2.4532
353,24.3198,12.339,3.7132
354,24.3887,15.137,4.295
355,24.4575,21.512,5.1117
356,24.5264,24.167,5.3037
357,24.5953,28.16,5.551
358,24.6642,27.914,4.2715
359,24.7331,29.961,4.5252
360,24.802,28.53,3.4693
361,24.8709,26.467,3.6785
362,24.9398,28.936,3.3323
363,25.0087,32.553,3.9707
364,25.0776,32.564,3.3807
365,25.1465,28.823,3.3608
366,25.2154,24.477,1.9748
367,25.2843,28.955,3.3993
368,25.3532,35.234,5.5584
369,25.4221,52.771,8.2147
370,25.491,80.512,13.1395
371,25.5599,111.496,16.4009
372,25.6288,125.414,18.2303
