,base_coords,cell_r_area_px,cell_r_lab,cell_s_area_px,cell_s_lab,edge_angle_deg,edge_angle_rad,edge_len_nonstrt_px,edge_len_strt_px,endpoint_1_coords,endpoint_2_coords,hj_area_px2,prot_angle_deg,prot_angle_rad,prot_len_px,tip_coords,t_step,um_per_px,um2_per_px2,prot_len_um,edge_len_strt_um,edge_len_nonstrt_um,cell_r_area_um2,cell_s_area_um2,t_sec,t_min
0,"(287, 334)",3809.0,5.0,4229.0,10.0,75.44642720928745,1.316788563668303,53.60464131944829,53.723830838837245,"(240.0, 321.0)","(292.0, 334.5)",69.0,0.0,0.0,1.5555555555555556,"(287, 336)",0,0.08846580217295011,0.007826198154103544,0.1376134700468113,4.752721790961612,4.742177594518259,29.809988768980396,33.09699199370389,0.0,0.0
1,"(254, 384)",3809.0,5.0,4649.0,12.0,116.13100054493859,2.0268683231445075,59.805650720647,59.033888572581766,"(246.0, 386.0)","(299.0, 360.0)",67.0,-135.0,-2.356194490192345,1.1936977089067367,"(253, 383)",0,0.08846580217295011,0.007826198154103544,0.10560142537044714,5.222480307961999,5.290754865477309,29.809988768980396,36.38399521842737,0.0,0.0
2,"(299, 357)",3809.0,5.0,4003.0,18.0,16.504361381755018,0.28805544705062586,27.874319605101434,28.160255680657446,"(291.0, 334.0)","(299.0, 361.0)",37.0,-90.0,-1.5707963267948966,1.5510423274176344,"(297, 357)",0,0.08846580217295011,0.007826198154103544,0.13721420369920057,2.491219608184736,2.4659240438904884,29.809988768980396,31.328271210876487,0.0,0.0
3,"(261, 507)",3007.0,7.0,2235.0,8.0,86.33221194446858,1.5067813489605526,38.45653448840696,39.080046059338265,"(247.0, 505.5)","(286.0, 508.0)",44.0,180.0,3.141592653589793,1.5555504469058972,"(261, 505)",0,0.08846580217295011,0.007826198154103544,0.13761301810602122,3.4572476235951974,3.4020881723086434,23.533377849389357,17.49155287442142,0.0,0.0
4,"(298, 478)",3007.0,7.0,4427.0,14.0,49.9392155421262,0.8716037370732271,56.83647847901339,57.48912940721924,"(256.0, 443.0)","(300.0, 480.0)",75.0,-26.56505117707799,-0.4636476090008061,1.8597332861387115,"(297, 480)",0,0.08846580217295011,0.007826198154103544,0.16452279698599767,5.085821949234186,5.028084661331534,23.533377849389357,34.64657922821639,0.0,0.0
5,"(287, 507)",3007.0,7.0,3191.0,17.0,153.434948822922,2.677945044588987,31.426784822196453,32.42298567374695,"(285.0, 508.0)","(299.5, 479.0)",41.0,-116.56505117707799,-2.0344439357957027,1.976123668863976,"(285, 506)",0,0.08846580217295011,0.007826198154103544,0.17481936555900487,2.8683254364700934,2.7801957290123025,23.533377849389357,24.973398309744407,0.0,0.0
6,"(278, 507)",2235.0,8.0,3007.0,7.0,86.33221194446858,1.5067813489605526,38.45653448840696,39.080046059338265,"(247.0, 505.5)","(286.0, 508.0)",88.0,0.0,0.0,2.5185185185185177,"(278, 510)",0,0.08846580217295011,0.007826198154103544,0.22280276102817057,3.4572476235951974,3.4020881723086434,17.49155287442142,23.533377849389357,0.0,0.0
7,"(274, 554)",2235.0,8.0,2297.0,15.0,141.84277341263095,2.4756234162106834,35.58294197607176,35.608987629529715,"(273.0, 556.0)","(295.0, 528.0)",49.0,-116.56505117707799,-2.0344439357957027,2.1024542797883177,"(272, 553)",0,0.08846580217295011,0.007826198154103544,0.1859953043934256,3.150177655213003,3.1478735055867264,17.49155287442142,17.97677715997584,0.0,0.0
8,"(294, 527)",2235.0,8.0,3191.0,17.0,23.355564859286005,0.4076315054576269,22.35429627227528,23.96351393264352,"(285.5, 507.0)","(295.0, 529.0)",35.0,-63.43494882292201,-1.1071487177940904,1.9615795740921718,"(292, 528)",0,0.08846580217295011,0.007826198154103544,0.1735327105481378,2.1199514829339754,1.977590751738621,17.49155287442142,24.973398309744407,0.0,0.0
9,"(242, 322)",4229.0,10.0,3809.0,5.0,75.44642720928745,1.316788563668303,53.60464131944829,53.723830838837245,"(240.0, 321.0)","(292.0, 334.5)",114.0,180.0,3.141592653589793,2.5185185185185177,"(242, 319)",0,0.08846580217295011,0.007826198154103544,0.22280276102817057,4.752721790961612,4.742177594518259,33.09699199370389,29.809988768980396,0.0,0.0
