Distance_(microns),Value
0.00000,1.0000
0.07345,2.5089
0.14689,7.5709
0.22034,9.3789
0.29379,4.2777
0.36723,6.0363
0.44068,12.1246
0.51413,15.3043
0.58758,21.8305
0.66102,26.3577
0.73447,17.0242
0.80792,4.8821
0.88136,5.3149
0.95481,3.8389
1.02826,5.1626
1.10170,12.9183
1.17515,5.2119
1.24860,5.0625
1.32204,5.5087
1.39549,0.0032
1.46894,2.6964
1.54239,9.6146
1.61583,2.9239
1.68928,5.1038
1.76273,2.2327
1.83617,0.0000
1.90962,0.6644
1.98307,5.4340
2.05651,2.8962
2.12996,0.0000
2.20341,0.0934
2.27685,1.2885
2.35030,3.1687
2.42375,0.0058
2.49720,2.501E-12
