Distance_(microns),Value
0.00000,22.2500
0.07345,20.1107
0.14689,13.2111
0.22034,12.0642
0.29379,20.2509
0.36723,20.3292
0.44068,22.3183
0.51413,33.4924
0.58758,45.4351
0.66102,58.9808
0.73447,66.4913
0.80792,75.0718
0.88136,86.0528
0.95481,81.9591
1.02826,73.7889
1.10170,81.3772
1.17515,79.9654
1.24860,70.3125
1.32204,73.7889
1.39549,79.2290
1.46894,69.9420
1.54239,53.3782
1.61583,49.0000
1.68928,46.1181
1.76273,36.4585
1.83617,37.7835
1.90962,35.0934
1.98307,37.5177
2.05651,21.2993
2.12996,16.1708
2.20341,9.5433
2.27685,7.4131
2.35030,8.3175
2.42375,9.5580
2.49720,12.0000
