Distance_(microns),Value
0.00000,18.500
0.07345,19.504
0.14689,13.481
0.22034,17.922
0.29379,22.624
0.36723,22.704
0.44068,22.700
0.51413,39.281
0.58758,71.114
0.66102,95.201
0.73447,128.239
0.80792,150.114
0.88136,159.362
0.95481,165.405
1.02826,161.311
1.10170,136.798
1.17515,119.701
1.24860,115.224
1.32204,112.119
1.39549,111.036
1.46894,90.938
1.54239,76.772
1.61583,59.078
1.68928,45.325
1.76273,31.664
1.83617,22.488
1.90962,20.884
1.98307,17.018
2.05651,14.413
2.12996,11.381
2.20341,8.322
2.27685,8.250
