Distance_(microns),Value
0.00000,2.5000
0.07345,4.9210
0.14689,5.9732
0.22034,5.6005
0.29379,6.3837
0.36723,5.6614
0.44068,9.3537
0.51413,23.9814
0.58758,31.3825
0.66102,40.7073
0.73447,49.6990
0.80792,52.3358
0.88136,45.0232
0.95481,43.5843
1.02826,34.3905
1.10170,24.4978
1.17515,17.6312
1.24860,9.8647
1.32204,4.5051
1.39549,6.9093
1.46894,7.2623
1.54239,6.2686
1.61583,6.7585
1.68928,6.9294
1.76273,6.7689
1.83617,8.5272
1.90962,6.6050
1.98307,5.2629
2.05651,6.1466
2.12996,3.9888
2.20341,2.9970
2.27685,4.4756
2.35030,4.9875
2.42375,2.7036
2.49720,2.1002
2.57064,3.0689
2.64409,3.3944
2.71754,4.4865
2.79098,3.5202
2.86443,1.7122
2.93788,1.7192
3.01132,1.2500
