Distance_(microns),Value
0.00000,4.0555
0.07345,2.6313
0.14689,2.4056
0.22034,2.5353
0.29379,7.7044
0.36723,4.2352
0.44068,3.9206
0.51413,3.5654
0.58758,4.5954
0.66102,6.0892
0.73447,14.9339
0.80792,27.0118
0.88136,46.3369
0.95481,60.6400
1.02826,60.2165
1.10170,42.5512
1.17515,31.3649
1.24860,29.2771
1.32204,20.7815
1.39549,13.3725
1.46894,8.3871
1.54239,11.3828
1.61583,4.6646
1.68928,5.8145
1.76273,7.0669
1.83617,6.2370
1.90962,6.4448
1.98307,5.8949
2.05651,9.1474
2.12996,7.0175
2.20341,5.6919
2.27685,8.6459
2.35030,5.0532
2.42375,6.1247
2.49720,8.5035
2.57064,6.2915
2.64409,6.0542
2.71754,1.9489
2.79098,3.6808
2.86443,3.7080
2.93788,3.3383
3.01132,2.0380
3.08477,3.7711
3.15822,0.9585
3.23166,2.9810
3.30511,1.1482
3.37856,2.0211
3.45200,3.0000
