Distance_(microns),Value
0.00000,21.556
0.07345,20.404
0.14689,22.741
0.22034,17.452
0.29379,22.316
0.36723,19.895
0.44068,30.954
0.51413,17.599
0.58758,18.429
0.66102,38.891
0.73447,56.982
0.80792,91.201
0.88136,111.374
0.95481,132.593
1.02826,135.067
1.10170,139.026
1.17515,141.822
1.24860,142.923
1.32204,139.370
1.39549,154.738
1.46894,148.979
1.54239,138.168
1.61583,139.713
1.68928,135.519
1.76273,132.729
1.83617,109.208
1.90962,99.681
1.98307,94.770
2.05651,71.010
2.12996,69.387
2.20341,68.920
2.27685,60.381
2.35030,46.879
2.42375,47.353
2.49720,35.766
2.57064,29.551
2.64409,22.419
2.71754,15.059
2.79098,15.869
2.86443,15.750
