Distance_(microns),Value
0.00000,4.000
0.07345,7.926
0.14689,0.324
0.22034,0.000
0.29379,7.242
0.36723,4.572
0.44068,20.859
0.51413,36.044
0.58758,66.084
0.66102,92.557
0.73447,113.633
0.80792,116.262
0.88136,134.152
0.95481,120.452
1.02826,81.847
1.10170,48.761
1.17515,28.529
1.24860,13.187
1.32204,7.917
1.39549,6.262
1.46894,4.307
1.54239,1.195
1.61583,1.490
1.68928,2.932
1.76273,0.556
1.83617,2.881
1.90962,3.894
1.98307,1.828
2.05651,4.084
2.12996,4.248
2.20341,4.141
2.27685,1.532
2.35030,0.837
2.42375,2.213
2.49720,4.564
2.57064,3.372
2.64409,1.806
