Distance_(microns),Value
0.00000,19.000
0.07345,23.495
0.14689,32.380
0.22034,46.915
0.29379,54.741
0.36723,61.230
0.44068,51.620
0.51413,46.029
0.58758,62.907
0.66102,96.205
0.73447,141.831
0.80792,183.527
0.88136,208.858
0.95481,238.591
1.02826,247.357
1.10170,249.970
1.17515,238.366
1.24860,228.987
1.32204,219.729
1.39549,214.560
1.46894,221.531
1.54239,185.993
1.61583,160.562
1.68928,159.877
1.76273,155.826
1.83617,141.553
1.90962,121.634
1.98307,112.342
2.05651,88.340
2.12996,80.366
2.20341,69.727
2.27685,60.264
2.35030,53.176
2.42375,41.111
2.49720,36.168
2.57064,35.686
2.64409,31.278
