Distance_(microns),Value
0.00000,5.0000
0.07345,3.9714
0.14689,1.9429
0.22034,4.9143
0.29379,4.4571
0.36723,5.8571
0.44068,8.9714
0.51413,7.8000
0.58758,11.6286
0.66102,24.8000
0.73447,31.1429
0.80792,28.8857
0.88136,19.0857
0.95481,13.2571
1.02826,12.0000
1.10170,10.0000
1.17515,7.4571
1.24860,9.0000
1.32204,4.5143
1.39549,6.5429
1.46894,5.5714
1.54239,4.2000
1.61583,2.7429
1.68928,3.0000
1.76273,1.5714
1.83617,3.0000
1.90962,3.7429
1.98307,3.5429
2.05651,2.6000
2.12996,5.0000
2.20341,4.2857
2.27685,1.6857
2.35030,4.7429
2.42375,2.2857
2.49720,1.0286
2.57064,2.0000
