Distance_(microns),Value
0.00000,0.0000
0.07345,1.2857
0.14689,1.1143
0.22034,4.7429
0.29379,14.8857
0.36723,0.2857
0.44068,0.6857
0.51413,3.6000
0.58758,25.4000
0.66102,35.5429
0.73447,61.0000
0.80792,51.0571
0.88136,37.1143
0.95481,26.0286
1.02826,11.8000
1.10170,13.8571
1.17515,5.6286
1.24860,6.3714
1.32204,3.5143
1.39549,0.0000
1.46894,5.8571
1.54239,4.0000
1.61583,2.7429
1.68928,0.6571
1.76273,0.0000
1.83617,0.0000
1.90962,0.0000
1.98307,1.6857
2.05651,0.6000
2.12996,0.8286
2.20341,3.4286
2.27685,4.5429
2.35030,0.3429
2.42375,0.0000
2.49720,0.1143
2.57064,0.0000
