Distance_(microns),Value
0.00000,22.000
0.07345,20.771
0.14689,21.314
0.22034,23.229
0.29379,12.886
0.36723,11.571
0.44068,17.171
0.51413,25.400
0.58758,28.686
0.66102,51.057
0.73447,80.714
0.80792,125.171
0.88136,157.114
0.95481,180.229
1.02826,206.400
1.10170,203.429
1.17515,185.514
1.24860,201.343
1.32204,163.829
1.39549,190.343
1.46894,142.429
1.54239,148.400
1.61583,120.400
1.68928,100.371
1.76273,90.371
1.83617,70.000
1.90962,64.114
1.98307,54.571
2.05651,39.200
2.12996,44.886
2.20341,31.000
2.27685,19.800
2.35030,18.343
2.42375,16.114
2.49720,23.771
2.57064,29.000
