Distance_(microns),Value
0.00000,17.000
0.07345,16.476
0.14689,15.595
0.22034,24.699
0.29379,34.353
0.36723,51.706
0.44068,73.779
0.51413,103.588
0.58758,118.782
0.66102,119.178
0.73447,130.367
0.80792,134.915
0.88136,114.249
0.95481,120.374
1.02826,116.097
1.10170,109.491
1.17515,110.557
1.24860,102.500
1.32204,87.135
1.39549,72.562
1.46894,57.903
1.54239,53.673
1.61583,43.855
1.68928,31.964
1.76273,29.844
1.83617,36.503
1.90962,26.740
1.98307,19.412
2.05651,17.190
2.12996,15.542
2.20341,15.744
2.27685,14.808
2.35030,8.509
2.42375,9.689
2.49720,7.000
