Distance_(microns),Value
0.00000,5.5833
0.07345,5.3766
0.14689,3.6039
0.22034,5.5937
0.29379,7.1356
0.36723,10.7721
0.44068,19.7149
0.51413,30.2746
0.58758,35.0360
0.66102,32.9729
0.73447,36.6990
0.80792,37.8146
0.88136,28.9177
0.95481,18.8684
1.02826,17.2437
1.10170,10.4509
1.17515,8.7272
1.24860,9.7053
1.32204,7.9344
1.39549,3.2291
1.46894,0.4017
1.54239,1.8202
1.61583,3.7683
1.68928,5.8527
1.76273,5.7994
1.83617,4.3480
1.90962,2.7590
1.98307,6.6900
2.05651,3.0637
2.12996,5.1894
2.20341,4.2696
2.27685,2.9556
2.35030,1.5215
2.42375,3.4515
2.49720,5.3343
2.57064,6.5016
2.64409,4.7375
2.71754,1.9138
2.79098,1.637E-11
