Distance_(microns),Value
0.00000,2.3334
0.07345,3.4831
0.14689,0.6317
0.22034,3.9636
0.29379,5.0226
0.36723,13.5259
0.44068,19.5976
0.51413,31.0576
0.58758,45.2195
0.66102,40.6419
0.73447,34.8027
0.80792,51.1034
0.88136,31.4473
0.95481,39.6496
1.02826,15.3185
1.10170,13.2845
1.17515,6.7592
1.24860,5.7997
1.32204,6.8180
1.39549,0.1250
1.46894,1.4231
1.54239,1.5957
1.61583,1.3897
1.68928,4.7683
1.76273,2.1819
1.83617,1.4065
1.90962,0.5596
1.98307,2.4435
2.05651,5.7541
2.12996,0.3947
2.20341,1.3139
2.27685,1.1137
2.35030,1.2133
2.42375,2.3903
2.49720,1.6602
2.57064,0.2337
2.64409,0.0344
2.71754,3.9432
2.79098,4.093E-11
