Distance_(microns),Value
0.00000,16.917
0.07345,16.967
0.14689,17.064
0.22034,9.488
0.29379,11.287
0.36723,13.812
0.44068,32.662
0.51413,49.120
0.58758,60.424
0.66102,94.571
0.73447,124.548
0.80792,134.685
0.88136,184.609
0.95481,201.065
1.02826,164.380
1.10170,204.905
1.17515,199.882
1.24860,198.786
1.32204,177.520
1.39549,169.021
1.46894,159.718
1.54239,151.487
1.61583,143.284
1.68928,116.177
1.76273,92.898
1.83617,96.877
1.90962,100.083
1.98307,88.874
2.05651,85.822
2.12996,63.885
2.20341,64.696
2.27685,55.187
2.35030,47.463
2.42375,30.699
2.49720,28.513
2.57064,27.505
2.64409,20.597
2.71754,16.354
2.79098,16.000
