Distance_(microns),Value
0.00000,8.0000
0.07345,6.3210
0.14689,8.0741
0.22034,12.0000
0.29379,20.9012
0.36723,25.7901
0.44068,30.0000
0.51413,31.0864
0.58758,22.5679
0.66102,16.0000
0.73447,11.9506
0.80792,7.2840
0.88136,5.7778
0.95481,5.6296
1.02826,5.6049
1.10170,6.1111
1.17515,7.0494
1.24860,8.0617
1.32204,9.0000
1.39549,10.5802
1.46894,14.6543
1.54239,14.0000
1.61583,14.0494
1.68928,13.2099
1.76273,10.2222
1.83617,9.5062
1.90962,7.1111
1.98307,4.0000
2.05651,4.3951
2.12996,5.8395
2.20341,5.0000
2.27685,3.9753
2.35030,4.0494
2.42375,3.5556
2.49720,5.7654
2.57064,3.1481
2.64409,3.0000
