Distance_(microns),Value
0.00000,5.0000
0.07345,4.3192
0.14689,3.3652
0.22034,3.5471
0.29379,5.0292
0.36723,5.7692
0.44068,4.9562
0.51413,6.4361
0.58758,8.9533
0.66102,10.2221
0.73447,16.1556
0.80792,15.3842
0.88136,11.3813
0.95481,10.3353
1.02826,5.9591
1.10170,6.7801
1.17515,7.2820
1.24860,4.1760
1.32204,5.6896
1.39549,10.7166
1.46894,5.9204
1.54239,15.9255
1.61583,6.6611
1.68928,7.5573
1.76273,3.6486
1.83617,3.5135
1.90962,4.4953
1.98307,3.8444
2.05651,2.9993
2.12996,4.3908
2.20341,7.7246
2.27685,4.1614
2.35030,4.0248
2.42375,3.1600
2.49720,5.0920
2.57064,4.1651
2.64409,2.5888
2.71754,1.478E-12
