Distance_(microns),Value
0.00000,0.0000
0.07345,16.4332
0.14689,10.2235
0.22034,5.5909
0.29379,8.4916
0.36723,8.8817
0.44068,10.1045
0.51413,5.8422
0.58758,14.7348
0.66102,37.4777
0.73447,53.8313
0.80792,65.7728
0.88136,64.2520
0.95481,38.1921
1.02826,24.4879
1.10170,13.9730
1.17515,2.3324
1.24860,5.0285
1.32204,12.2761
1.39549,5.4112
1.46894,11.3557
1.54239,3.7626
1.61583,2.9708
1.68928,0.8897
1.76273,0.3908
1.83617,0.5844
1.90962,1.5814
1.98307,0.0248
2.05651,0.4865
2.12996,5.8152
2.20341,8.8503
2.27685,3.8809
2.35030,2.2038
2.42375,2.0153
2.49720,1.5851
2.57064,0.1928
2.64409,0.8758
2.71754,4.547E-13
