Distance_(microns),Value
0.00000,0.0000
0.07345,0.2498
0.14689,1.8612
0.22034,1.5412
0.29379,7.9151
0.36723,2.6327
0.44068,4.4163
0.51413,19.0000
0.58758,24.1788
0.66102,28.9820
0.73447,37.7755
0.80792,27.8441
0.88136,21.3673
0.95481,14.7869
1.02826,8.2800
1.10170,5.1633
1.17515,2.7396
1.24860,2.7682
1.32204,2.0392
1.39549,3.0669
1.46894,4.6939
1.54239,5.2000
1.61583,7.8302
1.68928,7.9135
1.76273,14.8482
1.83617,19.5102
1.90962,14.9469
1.98307,9.1959
2.05651,12.7200
2.12996,1.5796
2.20341,1.7755
2.27685,5.3739
2.35030,6.6155
2.42375,3.2057
2.49720,0.0645
2.57064,2.0000
