Distance_(microns),Value
0.00000,2.0000
0.07345,1.9063
0.14689,0.3542
0.22034,0.3749
0.29379,3.3749
0.36723,5.0209
0.44068,5.3125
0.51413,16.0623
0.58758,17.6666
0.66102,18.6038
0.73447,27.3124
0.80792,24.5833
0.88136,19.4167
0.95481,10.1250
1.02826,10.0417
1.10170,9.6354
1.17515,8.2500
1.24860,8.6771
1.32204,10.8750
1.39549,10.1250
1.46894,7.8333
1.54239,13.3020
1.61583,6.8124
1.68928,9.4896
1.76273,7.3334
1.83617,6.5939
1.90962,7.3125
1.98307,2.1251
2.05651,8.6250
2.12996,6.7291
2.20341,11.7497
2.27685,9.4686
2.35030,5.5833
