Distance_(microns),Value
0.00000,5.5000
0.07345,4.4894
0.14689,3.5093
0.22034,5.2033
0.29379,5.3577
0.36723,5.5280
0.44068,10.0350
0.51413,17.4099
0.58758,23.7237
0.66102,27.6203
0.73447,33.5469
0.80792,38.4536
0.88136,37.0814
0.95481,32.6300
1.02826,30.6356
1.10170,20.8754
1.17515,13.1055
1.24860,11.5028
1.32204,11.6152
1.39549,7.2927
1.46894,6.4043
1.54239,7.5400
1.61583,6.7047
1.68928,6.6870
1.76273,4.5117
1.83617,9.0304
1.90962,10.4487
1.98307,11.5957
2.05651,10.6785
2.12996,10.7013
2.20341,9.7921
2.27685,6.5240
2.35030,4.2055
2.42375,4.7054
2.49720,3.4527
2.57064,3.3548
2.64409,4.8102
2.71754,1.6531
2.79098,5.2965
2.86443,5.5430
2.93788,2.9737
3.01132,3.3526
3.08477,2.2628
3.15822,3.3337
3.23166,3.6814
3.30511,4.4372
3.37856,4.1927
3.45200,3.5000
