Distance_(microns),Value
0.00000,1.7500
0.07345,2.6301
0.14689,2.9492
0.22034,3.2643
0.29379,3.7086
0.36723,8.5673
0.44068,18.2035
0.51413,28.6368
0.58758,35.8710
0.66102,44.3057
0.73447,55.1218
0.80792,56.4255
0.88136,68.4014
0.95481,78.4998
1.02826,57.7669
1.10170,22.1699
1.17515,12.3258
1.24860,11.1538
1.32204,10.6801
1.39549,0.7052
1.46894,2.6777
1.54239,4.2885
1.61583,5.6769
1.68928,15.5517
1.76273,5.8227
1.83617,0.1640
1.90962,3.6261
1.98307,2.8510
2.05651,0.9123
2.12996,0.0249
2.20341,2.5851
2.27685,2.6781
2.35030,2.2235
2.42375,0.4967
2.49720,5.3783
2.57064,2.5719
2.64409,1.1893
2.71754,0.9212
2.79098,0.3941
2.86443,3.2546
2.93788,5.5170
3.01132,4.3890
3.08477,2.7537
3.15822,0.8298
3.23166,0.1679
3.30511,2.8397
3.37856,3.0106
3.45200,2.2500
