Distance_(microns),Value
0.00000,5.0000
0.07345,1.8642
0.14689,3.0830
0.22034,2.5502
0.29379,6.3772
0.36723,11.1522
0.44068,11.5502
0.51413,19.1670
0.58758,25.5017
0.66102,32.4559
0.73447,26.2457
0.80792,23.3590
0.88136,17.5156
0.95481,10.3573
1.02826,7.7612
1.10170,6.1955
1.17515,3.1142
1.24860,2.7500
1.32204,3.7266
1.39549,4.3824
1.46894,5.2457
1.54239,6.5882
1.61583,6.5260
1.68928,6.9836
1.76273,9.0692
1.83617,7.3054
1.90962,7.1003
1.98307,5.4758
2.05651,3.5502
2.12996,7.0770
2.20341,3.2180
2.27685,3.9446
2.35030,1.3875
2.42375,3.4230
2.49720,4.0000
