Distance_(microns),Value
0.00000,0.000
0.07345,3.683
0.14689,5.194
0.22034,2.261
0.29379,8.277
0.36723,4.772
0.44068,9.218
0.51413,27.118
0.58758,54.273
0.66102,101.087
0.73447,84.997
0.80792,56.311
0.88136,30.965
0.95481,14.075
1.02826,4.609
1.10170,2.834
1.17515,4.924
1.24860,3.250
1.32204,1.785
1.39549,4.492
1.46894,4.062
1.54239,3.718
1.61583,5.869
1.68928,2.449
1.76273,3.381
1.83617,0.549
1.90962,1.875
1.98307,2.725
2.05651,0.830
2.12996,0.151
2.20341,1.010
2.27685,2.253
2.35030,0.131
2.42375,1.612
2.49720,1.000
